corp,dpto,mpio,name,party,wp_no
Concejo,ATLANTICO,SUAN,ALCIDES AMADOR VILLARREAL BARRIOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74591
Concejo,ATLANTICO,SUAN,ANTONIO MARIA ARAGON RUIZ,PARTIDO CAMBIO RADICAL,74576
Concejo,ATLANTICO,SUAN,BRESNEIDER RAFAEL BARRIOS CAMACHO,NUEVA FUERZA ALTERNATIVA,74596
Concejo,ATLANTICO,SUAN,DAVID ANDRES MOLINA ALMANZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74584
Concejo,ATLANTICO,SUAN,DEBANIS RAFAEL ARRIETA GUERRERO,PARTIDO CAMBIO RADICAL,74581
Concejo,ATLANTICO,SUAN,EDITH DARITH GUETTE TAPIAS,PARTIDO CAMBIO RADICAL,74580
Concejo,ATLANTICO,SUAN,EDITH YANETH CALVO OSPINO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74588
Concejo,ATLANTICO,SUAN,ELLA CECILIA PACHECO OLIVERO,PARTIDO CAMBIO RADICAL,74582
Concejo,ATLANTICO,SUAN,FRANCISCO DE JESUS MOLINARES ORDOÑEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74585
Concejo,ATLANTICO,SUAN,FRANK ALBERTO QUIROZ BARRIOS,PARTIDO CAMBIO RADICAL,74579
Concejo,ATLANTICO,SUAN,HAROLD YESITH RODRIGUEZ PULIDO,PARTIDO LIBERAL COLOMBIANO,74570
Concejo,ATLANTICO,SUAN,HUGOLINA BEATRIZ POLO TAPIAS,PARTIDO LIBERAL COLOMBIANO,74574
Concejo,ATLANTICO,SUAN,JAIME LUIS BROCHERO PALMERA,PARTIDO LIBERAL COLOMBIANO,74572
Concejo,ATLANTICO,SUAN,JAVIER HERNANDO NARVAEZ NARVAEZ,PARTIDO CAMBIO RADICAL,74578
Concejo,ATLANTICO,SUAN,JESUS DEL CARMEN GUERRERO BUSTAMANTE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74589
Concejo,ATLANTICO,SUAN,JONATHAN JAVIER CAMARGO MOYA,NUEVA FUERZA ALTERNATIVA,74595
Concejo,ATLANTICO,SUAN,JOSE DAVID SASTOQUE PACHECO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74590
Concejo,ATLANTICO,SUAN,JOSE DEL CARMEN POLO ALTAHONA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74587
Concejo,ATLANTICO,SUAN,JOSE LUIS RODRIGUEZ PAEZ,PARTIDO CAMBIO RADICAL,74583
Concejo,ATLANTICO,SUAN,LIBARDO RAFAEL BARRAZA ARRIETA,PARTIDO LIBERAL COLOMBIANO,74568
Concejo,ATLANTICO,SUAN,LILIANA MARIA GALLARDO GUTIERREZ,PARTIDO LIBERAL COLOMBIANO,74567
Concejo,ATLANTICO,SUAN,LINDA ESTRELLA NARVAEZ GUERRERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74592
Concejo,ATLANTICO,SUAN,LINDA MELISSA LAFAURIE RIVERA,PARTIDO CAMBIO RADICAL,74575
Concejo,ATLANTICO,SUAN,LISSETH DEL CARMEN RODRIGUEZ LAFAURIE,PARTIDO CAMBIO RADICAL,74577
Concejo,ATLANTICO,SUAN,MARGOTH CECILIA RODRIGUEZ CACHAN,PARTIDO LIBERAL COLOMBIANO,74573
Concejo,ATLANTICO,SUAN,MARIA EMMA URIBE POLO,NUEVA FUERZA ALTERNATIVA,74597
Concejo,ATLANTICO,SUAN,MARTIN ANTONIO RODRIGUEZ MONTERO,PARTIDO LIBERAL COLOMBIANO,74569
Concejo,ATLANTICO,SUAN,ROSMEL ENRIQUE BARRETO FONTALVO,NUEVA FUERZA ALTERNATIVA,74593
Concejo,ATLANTICO,SUAN,SHEYLA MARGARITA PACHECO RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74586
Concejo,ATLANTICO,SUAN,YAMIL ANTONIO SANJUANELO BARRAZA,NUEVA FUERZA ALTERNATIVA,74598
Concejo,ATLANTICO,SUAN,YOJAIDYS DEL CARMEN PAZ TEJEDA,PARTIDO LIBERAL COLOMBIANO,74571
Concejo,ATLANTICO,SUAN,YORDANA ISABEL ARRIETA LAMADRID,NUEVA FUERZA ALTERNATIVA,74594
