corp,dpto,mpio,name,party,wp_no
Concejo,BOGOTA D.C.,BOGOTA D.C.,ABEL FRANCISCO PAEZ SANCHEZ,BOGOTÁ PARA LA GENTE,40540
Concejo,BOGOTA D.C.,BOGOTA D.C.,ADA AMERICA MILLARES ESCAMILLA,COLOMBIA HUMANA,40572
Concejo,BOGOTA D.C.,BOGOTA D.C.,ADRIAN MAURICIO PEÑA MATIZ,PARTIDO CONSERVADOR COLOMBIANO,40273
Concejo,BOGOTA D.C.,BOGOTA D.C.,ADRIANA  SILVA ARBELAEZ,PARTIDO COLOMBIA JUSTA LIBRES,40172
Concejo,BOGOTA D.C.,BOGOTA D.C.,ADRIANA CAROLINA ARBELAEZ GIRALDO,PARTIDO CAMBIO RADICAL,40340
Concejo,BOGOTA D.C.,BOGOTA D.C.,ADRIANA MARIA MEJIA AGUADO,COLOMBIA HUMANA,40588
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALAN YOSIP VILLARRAGA HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,40060
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALBA LUCY OVIEDO MUÑOZ,PARTIDO CENTRO DEMOCRATICO,40128
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALBEIRO  CAMACHO MARTINEZ,PARTIDO COLOMBIA JUSTA LIBRES,40176
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALBERTO BUENAVENTURA VITERI AGUIRRE,BOGOTÁ PARA LA GENTE,40566
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALEJANDRO  BARRERA HUERTAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,40498
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALEXANDER  BARRUETO RODRIGUEZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,40226
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALEXANDER  TRUJILLO LARA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,40401
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALEXANDRA  USECHE CUERVO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,40405
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALFONSO  BECERRA VALDERRAMA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,40238
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALISSON KATHERYN LEON OLAYA,PARTIDO CAMBIO RADICAL,40320
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALIX DEL CARMEN RICARDO PEREZ,PARTIDO CONSERVADOR COLOMBIANO,40276
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALMA DACIA GANTIVA CALDERON,PARTIDO LIBERAL COLOMBIANO,40080
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALVARO  ACEVEDO LEGUIZAMON,PARTIDO LIBERAL COLOMBIANO,40089
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALVARO  SANCHEZ MENDOZA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,40241
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALVARO ALEXIS CACERES PACHECO,PARTIDO LIBERAL COLOMBIANO,40071
Concejo,BOGOTA D.C.,BOGOTA D.C.,ALVARO JOSE ARGOTE MUÑOZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,40532
