corp,dpto,mpio,name,party,wp_no
Concejo,BOLIVAR,ACHI,ABRAHAM  GUERRA GUERRERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87377
Concejo,BOLIVAR,ACHI,ALBERTO JOSE CAÑAVERA ARRIETA,PARTIDO LIBERAL COLOMBIANO,87305
Concejo,BOLIVAR,ACHI,ALEXY  HERNANDEZ RUZ,PARTIDO LIBERAL COLOMBIANO,87307
Concejo,BOLIVAR,ACHI,ALIX MARIA CARDEÑO SANTANA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,87364
Concejo,BOLIVAR,ACHI,ALVARO CECILIO SOTO NOYA,PARTIDO CENTRO DEMOCRATICO,87319
Concejo,BOLIVAR,ACHI,ALVARO MARCELO RUZ BUSTAMANTE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,87323
Concejo,BOLIVAR,ACHI,AMADA ELVIRA VILORIA RAMOS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,87360
Concejo,BOLIVAR,ACHI,ANA MILENA PAREDES CARCAMO,PARTIDO CENTRO DEMOCRATICO,87322
Concejo,BOLIVAR,ACHI,ANDREINA  BEJARANO SIMANCA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87376
Concejo,BOLIVAR,ACHI,ANGEL MANUEL ARAUJO MENDEZ,PARTIDO CAMBIO RADICAL,87347
Concejo,BOLIVAR,ACHI,CARLOS MARIO MERCHAN CARDENAS,PARTIDO LIBERAL COLOMBIANO,87312
Concejo,BOLIVAR,ACHI,CRISTOBAL MANUEL BUENO OLIVERO,PARTIDO CAMBIO RADICAL,87346
Concejo,BOLIVAR,ACHI,CULMA ALFREDO QUIROZ PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87378
Concejo,BOLIVAR,ACHI,DAVID SEGUNDO JEREZ BORRE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,87327
Concejo,BOLIVAR,ACHI,DEIDER MANUEL VANEGAS MENCO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,87324
Concejo,BOLIVAR,ACHI,DEIVYS DIOMEDES GARCIA PEREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,87361
Concejo,BOLIVAR,ACHI,DEMETRIO JOSE ESCAMILLA ATENCIO,PARTIDO LIBERAL COLOMBIANO,87311
Concejo,BOLIVAR,ACHI,DENIS MARIA BUSTAMANTE PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87384
Concejo,BOLIVAR,ACHI,DEYMER JESUS ANAYA DIAZ,PARTIDO LIBERAL COLOMBIANO,87306
