corp,dpto,mpio,name,party,wp_no
Concejo,BOLIVAR,ALTOS DEL ROSARIO,ALBERT ANTONIO PEREZ PINEDA,PARTIDO LIBERAL COLOMBIANO,88029
Concejo,BOLIVAR,ALTOS DEL ROSARIO,ALDAIR  TOZCANO HERRERA,PARTIDO ALIANZA VERDE,88081
Concejo,BOLIVAR,ALTOS DEL ROSARIO,ALVARO  ARDILA GIL,PARTIDO CAMBIO RADICAL,88074
Concejo,BOLIVAR,ALTOS DEL ROSARIO,ANDRES  CAMARGO PEDROZO,PARTIDO ALIANZA VERDE,88076
Concejo,BOLIVAR,ALTOS DEL ROSARIO,ANIS ISABEL DE ARCO ARDILA,PARTIDO LIBERAL COLOMBIANO,88030
Concejo,BOLIVAR,ALTOS DEL ROSARIO,AURA LORENA TRESPALACIOS GUTIERREZ,PARTIDO CENTRO DEMOCRATICO,88045
Concejo,BOLIVAR,ALTOS DEL ROSARIO,BALMIRO  RANGEL GIL,PARTIDO CAMBIO RADICAL,88072
Concejo,BOLIVAR,ALTOS DEL ROSARIO,BERNARDO MANUEL ORTIZ VASQUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,88082
Concejo,BOLIVAR,ALTOS DEL ROSARIO,BOANERGE DE JESUS LOPEZ MENDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,88090
Concejo,BOLIVAR,ALTOS DEL ROSARIO,BREINER DAVID HERNANDEZ JIMENEZ,PARTIDO LIBERAL COLOMBIANO,88028
Concejo,BOLIVAR,ALTOS DEL ROSARIO,CAMILO ANDRES ORTIZ ALANDETE,PARTIDO CENTRO DEMOCRATICO,88037
Concejo,BOLIVAR,ALTOS DEL ROSARIO,CINDY STEFANY JEREZ MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,88084
Concejo,BOLIVAR,ALTOS DEL ROSARIO,CRISTOBAL  CENTENO LEON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,88086
Concejo,BOLIVAR,ALTOS DEL ROSARIO,DAISIS  CAMARGO PEDROZO,PARTIDO CONSERVADOR COLOMBIANO,88061
Concejo,BOLIVAR,ALTOS DEL ROSARIO,DANILO  OJEDA JIMENEZ,PARTIDO LIBERAL COLOMBIANO,88031
Concejo,BOLIVAR,ALTOS DEL ROSARIO,DANIS ESTHER CASTRO RAMIREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,88083
Concejo,BOLIVAR,ALTOS DEL ROSARIO,DELCYS PAOLA CALVO HERRERA,PARTIDO ALIANZA VERDE,88080
Concejo,BOLIVAR,ALTOS DEL ROSARIO,DIANA  PAZ CAMERO,PARTIDO CAMBIO RADICAL,88075
Concejo,BOLIVAR,ALTOS DEL ROSARIO,EDILSON  ALDANA CARDENAS,PARTIDO CAMBIO RADICAL,88069
Concejo,BOLIVAR,ALTOS DEL ROSARIO,EDUIN ALFONSO ORTIZ HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,88063
Concejo,BOLIVAR,ALTOS DEL ROSARIO,EIDER ALBERTO BARROSO RODRIGUEZ,PARTIDO ALIANZA VERDE,88078
Concejo,BOLIVAR,ALTOS DEL ROSARIO,EIDIS  SALAS PALOMINO,PARTIDO CONSERVADOR COLOMBIANO,88059
Concejo,BOLIVAR,ALTOS DEL ROSARIO,EMIL EDUARDO CAMARGO MENDEZ,PARTIDO COLOMBIA JUSTA LIBRES,88046
Concejo,BOLIVAR,ALTOS DEL ROSARIO,EZEQUIEL ENRIQUE HOYOS BOHORQUEZ,PARTIDO LIBERAL COLOMBIANO,88035
Concejo,BOLIVAR,ALTOS DEL ROSARIO,FABIO  OLIVEROS AVENDAÑO,PARTIDO CENTRO DEMOCRATICO,88038
Concejo,BOLIVAR,ALTOS DEL ROSARIO,FARID ELIAS VILLARREAL BARROSO,PARTIDO CONSERVADOR COLOMBIANO,88064
Concejo,BOLIVAR,ALTOS DEL ROSARIO,GILBERTO  PINEDA URIBE,PARTIDO CENTRO DEMOCRATICO,88041
Concejo,BOLIVAR,ALTOS DEL ROSARIO,HAROLD ENRIQUE PEREZ LERMA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,88085
