corp,dpto,mpio,name,party,wp_no
Concejo,BOLIVAR,MAGANGUE,ABEL ANTONIO ORDOSGOITIA MEJIA,PARTIDO CAMBIO RADICAL,87043
Concejo,BOLIVAR,MAGANGUE,ABRAHAM HOMERO DOVALE LOZANO,PARTIDO LIBERAL COLOMBIANO,86948
Concejo,BOLIVAR,MAGANGUE,ADONIS  PABUENA RODELO,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,87155
Concejo,BOLIVAR,MAGANGUE,ADUVIS  CASTRO MARTINEZ,PARTIDO ALIANZA VERDE,87068
Concejo,BOLIVAR,MAGANGUE,ALDEMAR  IRIARTE TAMARA,MAGANGUE REVOLUCIÓN COMUNITARIA,87124
Concejo,BOLIVAR,MAGANGUE,ALEJANDRA MARIA TELLEZ CARO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87108
Concejo,BOLIVAR,MAGANGUE,ALEXANDER ALBERTO ORTIZ MEDRANO,CONVERGENCIA MAGANGUE DECENTE,87138
Concejo,BOLIVAR,MAGANGUE,ALFREDO FIDEL HERNANDEZ VILLALBA,PARTIDO ALIANZA VERDE,87059
Concejo,BOLIVAR,MAGANGUE,ALVARO ANTONIO MEZAMELL MEZAMELL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,87100
Concejo,BOLIVAR,MAGANGUE,AMAURY DE JESUS MONSALVE TORRECILLA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,87023
Concejo,BOLIVAR,MAGANGUE,ANA MARIA CARLEO ATENCIO,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,87146
Concejo,BOLIVAR,MAGANGUE,ANASTACIO DE JESUS GARCIA MENDOZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87104
Concejo,BOLIVAR,MAGANGUE,ANAYS  MARTINEZ MARTINEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,87097
Concejo,BOLIVAR,MAGANGUE,ANDREA  CONTRERAS CASTRO,PARTIDO CONSERVADOR COLOMBIANO,87032
Concejo,BOLIVAR,MAGANGUE,ANDRES ALBERTO BARCHA GUTIERREZ,PARTIDO CONSERVADOR COLOMBIANO,87027
Concejo,BOLIVAR,MAGANGUE,ANDRES CAMILO CATAÑO MARTINEZ,PARTIDO CAMBIO RADICAL,87048
Concejo,BOLIVAR,MAGANGUE,ANGEL  PACHECO POLO,PARTIDO CONSERVADOR COLOMBIANO,87029
Concejo,BOLIVAR,MAGANGUE,ARISTIDES ANTONIO GONZALEZ SANCHEZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,87019
Concejo,BOLIVAR,MAGANGUE,ARMANDO NICOLAS MORA CERPA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,87017
Concejo,BOLIVAR,MAGANGUE,BELIZARDO JOSE ATENCIA HERNANDEZ,PARTIDO ADA,87000
Concejo,BOLIVAR,MAGANGUE,BERNARDO RAFAEL HOSTIA FONSECA,PARTIDO LIBERAL COLOMBIANO,86956
Concejo,BOLIVAR,MAGANGUE,BETTY DEL PILAR HUERTAS CURE,CONVERGENCIA MAGANGUE DECENTE,87132
Concejo,BOLIVAR,MAGANGUE,BRUNO JOSE BRIASCO ROSADO,MAGANGUE REVOLUCIÓN COMUNITARIA,87126
Concejo,BOLIVAR,MAGANGUE,CARLOS ANDRES CARCAMO ALVAREZ,PARTIDO LIBERAL COLOMBIANO,86942
Concejo,BOLIVAR,MAGANGUE,CARLOS ARTURO AGUILAR FERNANDEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,87093
Concejo,BOLIVAR,MAGANGUE,CARLOS AUGUSTO CURE DIAZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,87085
Concejo,BOLIVAR,MAGANGUE,CARLOS GUILLERMO BURCHARDT SERRANO,CONVERGENCIA MAGANGUE DECENTE,87136
Concejo,BOLIVAR,MAGANGUE,CARLOS JOSE ARRIETA SERPA,PARTIDO LIBERAL COLOMBIANO,86955
Concejo,BOLIVAR,MAGANGUE,CARMELO  ORTEGA AGUILERA,PARTIDO ADA,87003
Concejo,BOLIVAR,MAGANGUE,CARMEN EDITH ROMERO TOSCANO,CONVERGENCIA MAGANGUE DECENTE,87134
Concejo,BOLIVAR,MAGANGUE,CESAR DE JESUS CURI CURE,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,87148
Concejo,BOLIVAR,MAGANGUE,CHARIF ALBERTO CURE BENITEZ,PARTIDO ALIANZA VERDE,87055
Concejo,BOLIVAR,MAGANGUE,CINDY DEL CARMEN GUTIERREZ MENCO,PARTIDO COLOMBIA RENACIENTE,86991
Concejo,BOLIVAR,MAGANGUE,CLARA INES MORON JIMENEZ,PARTIDO CONSERVADOR COLOMBIANO,87038
Concejo,BOLIVAR,MAGANGUE,CLAUDIA LILIANA QUINTERO LAMBRAÑO,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,87147
Concejo,BOLIVAR,MAGANGUE,CLAUDIA MARCELA ARRAUTH GORDON,PARTIDO LIBERAL COLOMBIANO,86943
Concejo,BOLIVAR,MAGANGUE,CLEMENTE ANTONIO PINO SAMPAYO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,87015
Concejo,BOLIVAR,MAGANGUE,CONCEPCION  VELASQUEZ HERAZO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,87083
Concejo,BOLIVAR,MAGANGUE,CRISTIAN JOSE MEDRANO CAMARGO,PARTIDO COLOMBIA RENACIENTE,86994
Concejo,BOLIVAR,MAGANGUE,CRISTINA DEL SOCORRO ANAYA RODRIGUEZ,CONVERGENCIA MAGANGUE DECENTE,87139
Concejo,BOLIVAR,MAGANGUE,DADINO  ROJAS ACOSTA,PARTIDO ADA,87012
Concejo,BOLIVAR,MAGANGUE,DAIRO JOSE CONTRERAS URICOECHEA,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,87150
