corp,dpto,mpio,name,party,wp_no
Concejo,BOLIVAR,MOMPOS,ABEL MARIA VILLANUEVA ROCHA,PARTIDO CENTRO DEMOCRATICO,87623
Concejo,BOLIVAR,MOMPOS,ADRIAN  MONTERO LOPEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87678
Concejo,BOLIVAR,MOMPOS,ALEX  ELJADUE JIMENEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,87685
Concejo,BOLIVAR,MOMPOS,ALEX ALBERTO CANTILLO DE LA HOZ,PARTIDO CONSERVADOR COLOMBIANO,87643
Concejo,BOLIVAR,MOMPOS,ALVARO  NAVARRO ROMERO,PARTIDO CONSERVADOR COLOMBIANO,87639
Concejo,BOLIVAR,MOMPOS,ANA ISABEL ARMESTO SUAREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87681
Concejo,BOLIVAR,MOMPOS,ANGEL MARIO HERRERA ORTIZ,PARTIDO CENTRO DEMOCRATICO,87624
Concejo,BOLIVAR,MOMPOS,ARGEMIRO  LAFONT DIAZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,87660
Concejo,BOLIVAR,MOMPOS,ASCANIO  MUÑOZ MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87670
Concejo,BOLIVAR,MOMPOS,CARLOS ALBERTO ZUÑIGA PABA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87675
Concejo,BOLIVAR,MOMPOS,CARMEN CENIA CORRALES CORRALES,PARTIDO CAMBIO RADICAL,87648
Concejo,BOLIVAR,MOMPOS,CLIMACO  PEDROZO CASTRO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,87684
Concejo,BOLIVAR,MOMPOS,CRISTIAN DAVID GULLOSO TORRES,PARTIDO CAMBIO RADICAL,87647
Concejo,BOLIVAR,MOMPOS,CRISTINA ISABEL CARO CARO,PARTIDO CENTRO DEMOCRATICO,87621
Concejo,BOLIVAR,MOMPOS,DAIRO JOSE BARRAZA BAZA,PARTIDO CAMBIO RADICAL,87650
Concejo,BOLIVAR,MOMPOS,DAIRO JOSE CARCAMO SANCHEZ,PARTIDO LIBERAL COLOMBIANO,87613
Concejo,BOLIVAR,MOMPOS,DALADIER JOSE PEDROZO DE FEX,PARTIDO LIBERAL COLOMBIANO,87612
Concejo,BOLIVAR,MOMPOS,DANIS  HERRERA REYES,PARTIDO POLO DEMOCRATICO ALTERNATIVO,87687
Concejo,BOLIVAR,MOMPOS,DANNY  CASTRILLO MORALES,PARTIDO CONSERVADOR COLOMBIANO,87634
Concejo,BOLIVAR,MOMPOS,DAVID  ROJAS VIBANCO,PARTIDO CENTRO DEMOCRATICO,87617
Concejo,BOLIVAR,MOMPOS,DAVID ALBERTO VILARO ALCOCER,PARTIDO COLOMBIA JUSTA LIBRES,87630
Concejo,BOLIVAR,MOMPOS,DAYANA MARCELA NAVARRO CASTRO,PARTIDO CENTRO DEMOCRATICO,87622
Concejo,BOLIVAR,MOMPOS,DEOVANY JOSE ROCHA MEJIA,PARTIDO CAMBIO RADICAL,87651
Concejo,BOLIVAR,MOMPOS,DORA LILIA ABELLO JIMENEZ,PARTIDO LIBERAL COLOMBIANO,87606
Concejo,BOLIVAR,MOMPOS,DORA LUZ AREVALO ABELLO,PARTIDO CONSERVADOR COLOMBIANO,87636
Concejo,BOLIVAR,MOMPOS,EDITH  AREVALO GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87671
