corp,dpto,mpio,name,party,wp_no
Concejo,BOLIVAR,MORALES,ADAIME  DIAZ ORELLANO,PARTIDO COLOMBIA RENACIENTE,87724
Concejo,BOLIVAR,MORALES,AGRIPINA  ESTRADA RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87775
Concejo,BOLIVAR,MORALES,ALVARO  GONZALEZ ,PARTIDO COLOMBIA RENACIENTE,87719
Concejo,BOLIVAR,MORALES,ALVARO  PAYARES ESTRADA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,87759
Concejo,BOLIVAR,MORALES,ALVARO ENRIQUE TORRES MONTES,PARTIDO CONSERVADOR COLOMBIANO,87735
Concejo,BOLIVAR,MORALES,ANGY PAOLA AVILA ALFARO,PARTIDO COLOMBIA JUSTA LIBRES,87712
Concejo,BOLIVAR,MORALES,AURA MARIA PALLARES NUÑEZ,PARTIDO ALIANZA VERDE,87756
Concejo,BOLIVAR,MORALES,BALMAR  LEON LEON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87774
Concejo,BOLIVAR,MORALES,CARLOS ANDRES SIERRA ESTRADA,PARTIDO LIBERAL COLOMBIANO,87688
Concejo,BOLIVAR,MORALES,CARLOS HUMBERTO FLOREZ CARDENAS,PARTIDO CAMBIO RADICAL,87745
Concejo,BOLIVAR,MORALES,CARMEN PAOLA VASQUEZ CAVIEDES,PARTIDO CENTRO DEMOCRATICO,87707
Concejo,BOLIVAR,MORALES,CIPRIANO DE JESUS PALLARES PALLARES,PARTIDO CONSERVADOR COLOMBIANO,87733
Concejo,BOLIVAR,MORALES,DARINEL FAVIANI ALVAREZ DIAZ,PARTIDO CENTRO DEMOCRATICO,87704
Concejo,BOLIVAR,MORALES,DARWIN  SARABIA SANTANA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,87758
Concejo,BOLIVAR,MORALES,DAVID  RODRIGUEZ VASQUEZ,PARTIDO CAMBIO RADICAL,87744
Concejo,BOLIVAR,MORALES,DEINER  ARIAS CRUZADO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,87783
Concejo,BOLIVAR,MORALES,DEIVIS ENRIQUE JIMENEZ RIOS,PARTIDO ALIANZA VERDE,87752
Concejo,BOLIVAR,MORALES,DIAIR  BELEÑO VASQUEZ,PARTIDO CENTRO DEMOCRATICO,87699
Concejo,BOLIVAR,MORALES,DUMAR  CRISTI VASQUEZ,PARTIDO COLOMBIA RENACIENTE,87721
Concejo,BOLIVAR,MORALES,EDGAR  CABALLERO MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,87731
Concejo,BOLIVAR,MORALES,EDINSON  BAYONA GUTIERREZ,PARTIDO COLOMBIA JUSTA LIBRES,87709
Concejo,BOLIVAR,MORALES,EINER JOSE SIDEDOR CUESTA,PARTIDO ALIANZA VERDE,87753
Concejo,BOLIVAR,MORALES,ELISBETH  DELGADO CRUZADO,PARTIDO LIBERAL COLOMBIANO,87697
Concejo,BOLIVAR,MORALES,EMILIANO  PACHECO GRIMALDO,PARTIDO LIBERAL COLOMBIANO,87691
Concejo,BOLIVAR,MORALES,EMY YURANNIS JIMENEZ DIAZ,PARTIDO CONSERVADOR COLOMBIANO,87734
Concejo,BOLIVAR,MORALES,ESMERALDA  REYES HERNANDEZ,PARTIDO COLOMBIA JUSTA LIBRES,87713
Concejo,BOLIVAR,MORALES,FABIO  CONSUEGRA QUIÑONES,PARTIDO POLO DEMOCRATICO ALTERNATIVO,87779
Concejo,BOLIVAR,MORALES,FERMIN  BADILLO MORENO,PARTIDO COLOMBIA JUSTA LIBRES,87711
Concejo,BOLIVAR,MORALES,FRANK  PEÑA PAYARES,PARTIDO ALIANZA VERDE,87755
Concejo,BOLIVAR,MORALES,GABRIEL JAIME RESTREPO ECHEVERRI,PARTIDO CENTRO DEMOCRATICO,87706
Concejo,BOLIVAR,MORALES,GEOVANNI  CONTRERAS PACHECO,PARTIDO ALIANZA VERDE,87751
Concejo,BOLIVAR,MORALES,GIOVANNYS  GONZALEZ BADILLO,PARTIDO LIBERAL COLOMBIANO,87692
Concejo,BOLIVAR,MORALES,HELDENNEVER DE JESUS QUIÑONES FLOREZ,PARTIDO CONSERVADOR COLOMBIANO,87729
Concejo,BOLIVAR,MORALES,HERMES  CAPUANO CHAVEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,87760
