corp,dpto,mpio,name,party,wp_no
Concejo,BOLIVAR,NOROSI,ALBEIRO  BELEÑO JIMENEZ,PARTIDO CONSERVADOR COLOMBIANO,87877
Concejo,BOLIVAR,NOROSI,ALCIRIS  OBREGON MEJIA,PARTIDO CAMBIO RADICAL,87890
Concejo,BOLIVAR,NOROSI,ALEXANDER  MONTALVO ANGEL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,87899
Concejo,BOLIVAR,NOROSI,AMARILDO  CAMPUZANO ROMERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87906
Concejo,BOLIVAR,NOROSI,AMAURI MAURICIO LUNA TIRADO,PARTIDO CAMBIO RADICAL,87881
Concejo,BOLIVAR,NOROSI,AMELIA DEL CARMEN HERRERA VERGARA,PARTIDO COLOMBIA RENACIENTE,87868
Concejo,BOLIVAR,NOROSI,ANA MERCEDES PABA MANCILLA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,87895
Concejo,BOLIVAR,NOROSI,ANDREA  LOPEZ SALAZAR,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,87898
Concejo,BOLIVAR,NOROSI,BLEIDYS MARIA CONTRERAS CASTRO,PARTIDO CAMBIO RADICAL,87882
Concejo,BOLIVAR,NOROSI,CARMEN LORENA ROBLES CRESPO,PARTIDO LIBERAL COLOMBIANO,87858
Concejo,BOLIVAR,NOROSI,CIRO MANUEL URIBE CAMPUZANO,PARTIDO COLOMBIA RENACIENTE,87864
Concejo,BOLIVAR,NOROSI,DANIELA  MENESES HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,87854
Concejo,BOLIVAR,NOROSI,DIANA FERNANDA MARMOLEJO BARBA,PARTIDO LIBERAL COLOMBIANO,87856
Concejo,BOLIVAR,NOROSI,DIANA PAOLA MONROY AGUA,PARTIDO LIBERAL COLOMBIANO,87852
Concejo,BOLIVAR,NOROSI,DUNIS  MUNIVE CASTAÑEDA,PARTIDO COLOMBIA RENACIENTE,87866
Concejo,BOLIVAR,NOROSI,EDINSON  JIMENEZ JIMENEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87903
Concejo,BOLIVAR,NOROSI,ELQUIN  GOMEZ JIMENEZ,PARTIDO COLOMBIA RENACIENTE,87862
Concejo,BOLIVAR,NOROSI,FEIBER  TAPIA POVEDA,PARTIDO LIBERAL COLOMBIANO,87853
Concejo,BOLIVAR,NOROSI,FELIPE  CARRASCAL NAVARRO,PARTIDO LIBERAL COLOMBIANO,87859
Concejo,BOLIVAR,NOROSI,FREDY  AYALA SANMARTIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,87905
Concejo,BOLIVAR,NOROSI,FREDY  SERENO ROMERO,PARTIDO CONSERVADOR COLOMBIANO,87876
