corp,dpto,mpio,name,party,wp_no
Concejo,BOLIVAR,SAN MARTIN DE LOBA,ALBERTO  ARDILA MORA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,88897
Concejo,BOLIVAR,SAN MARTIN DE LOBA,ALIDA YOMAIRA HOLGUIN NIEBLES,PARTIDO CONSERVADOR COLOMBIANO,88849
Concejo,BOLIVAR,SAN MARTIN DE LOBA,ALVARO  SANDOVAL VIDALES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,88874
Concejo,BOLIVAR,SAN MARTIN DE LOBA,ALVARO ANTONIO CASTELLARES BASTIDAS,PARTIDO LIBERAL COLOMBIANO,88827
Concejo,BOLIVAR,SAN MARTIN DE LOBA,ALVARO ENRIQUE MIER ROJAS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,88900
Concejo,BOLIVAR,SAN MARTIN DE LOBA,ANGELICA TATIANA BARROS DIAZ,PARTIDO ALIANZA VERDE,88868
Concejo,BOLIVAR,SAN MARTIN DE LOBA,ARIEL  YEPES CASTRO,PARTIDO ALIANZA VERDE,88871
Concejo,BOLIVAR,SAN MARTIN DE LOBA,ARISTOFANE  RAMOS AMARIS,PARTIDO ALIANZA VERDE,88870
Concejo,BOLIVAR,SAN MARTIN DE LOBA,ARTURO  FLOREZ ARDILA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,88888
Concejo,BOLIVAR,SAN MARTIN DE LOBA,ASMARIS  BENITEZ ROJAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,88892
Concejo,BOLIVAR,SAN MARTIN DE LOBA,ASTOLFO  ESQUIVEL MORENO,PARTIDO ALIANZA VERDE,88864
Concejo,BOLIVAR,SAN MARTIN DE LOBA,AUGUSTO  ROJAS VEGA,PARTIDO CENTRO DEMOCRATICO,88834
Concejo,BOLIVAR,SAN MARTIN DE LOBA,BERENICE  MACHACADO URRUTIA,PARTIDO CAMBIO RADICAL,88853
