corp,dpto,mpio,name,party,wp_no
Concejo,BOLIVAR,SANTA ROSA DEL SUR,ADELAIDA  PINTO VARGAS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,89322
Concejo,BOLIVAR,SANTA ROSA DEL SUR,ALBERTO  MARIN SOSA,PARTIDO LIBERAL COLOMBIANO,89249
Concejo,BOLIVAR,SANTA ROSA DEL SUR,ALEXANDER  PIÑEROS MANRIQUE,PARTIDO CENTRO DEMOCRATICO,89268
Concejo,BOLIVAR,SANTA ROSA DEL SUR,ALVARO  MONSALVE RUEDA,PARTIDO CONSERVADOR COLOMBIANO,89290
Concejo,BOLIVAR,SANTA ROSA DEL SUR,ANYENSON ALBINO PARRA BARRETO,PARTIDO CENTRO DEMOCRATICO,89261
Concejo,BOLIVAR,SANTA ROSA DEL SUR,CAMILO  TORRES JIMENEZ,PARTIDO LIBERAL COLOMBIANO,89248
Concejo,BOLIVAR,SANTA ROSA DEL SUR,CARLOS EDUARDO NAVAS VARGAS,PARTIDO LIBERAL COLOMBIANO,89247
Concejo,BOLIVAR,SANTA ROSA DEL SUR,CARMENZA  MORALES MONDRAGON,PARTIDO ALIANZA VERDE,89305
Concejo,BOLIVAR,SANTA ROSA DEL SUR,CAROLINA  CASTELLANOS ACUÑA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,89320
Concejo,BOLIVAR,SANTA ROSA DEL SUR,CEFERINO  VARGAS VARGAS,PARTIDO CONSERVADOR COLOMBIANO,89288
Concejo,BOLIVAR,SANTA ROSA DEL SUR,CESAR  OSMA TELLEZ,PARTIDO CONSERVADOR COLOMBIANO,89284
Concejo,BOLIVAR,SANTA ROSA DEL SUR,CLARIBEL  VARGAS DIAZ,PARTIDO CAMBIO RADICAL,89299
Concejo,BOLIVAR,SANTA ROSA DEL SUR,DEYNNI JOSE TAMARA BETANCOURT,PARTIDO ALIANZA VERDE,89304
Concejo,BOLIVAR,SANTA ROSA DEL SUR,DIANA MARCELA ORTEGA PEREZ,PARTIDO CENTRO DEMOCRATICO,89257
Concejo,BOLIVAR,SANTA ROSA DEL SUR,DIEGO ERNESTO ROA GALINDO,PARTIDO CONSERVADOR COLOMBIANO,89279
Concejo,BOLIVAR,SANTA ROSA DEL SUR,DIEGO JESUS ROA MARIN,PARTIDO CAMBIO RADICAL,89298
Concejo,BOLIVAR,SANTA ROSA DEL SUR,DIOMAR  VARGAS CALDERON,PARTIDO LIBERAL COLOMBIANO,89252
Concejo,BOLIVAR,SANTA ROSA DEL SUR,EPIFANIO RAFAEL JIMENEZ HOYOS,PARTIDO LIBERAL COLOMBIANO,89254
Concejo,BOLIVAR,SANTA ROSA DEL SUR,ESPERANZA  LOZANO FERIAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,89316
Concejo,BOLIVAR,SANTA ROSA DEL SUR,FRANCISCO JAVIER DAZA FRANCO,PARTIDO COLOMBIA JUSTA LIBRES,89277
Concejo,BOLIVAR,SANTA ROSA DEL SUR,FRANKY JAVIER CASTELLANOS ORTIZ,PARTIDO ALIANZA VERDE,89314
Concejo,BOLIVAR,SANTA ROSA DEL SUR,GLADYS AMANDA RIAÑO CUERVO,PARTIDO LIBERAL COLOMBIANO,89255
Concejo,BOLIVAR,SANTA ROSA DEL SUR,GUSTAVO  DIAZ ACUÑA,PARTIDO CENTRO DEMOCRATICO,89260
Concejo,BOLIVAR,SANTA ROSA DEL SUR,HECTOR HUGO ARGUELLO JIMENEZ,PARTIDO CAMBIO RADICAL,89293
Concejo,BOLIVAR,SANTA ROSA DEL SUR,HEIDYS  NAVARRO SIERRA,PARTIDO LIBERAL COLOMBIANO,89251
Concejo,BOLIVAR,SANTA ROSA DEL SUR,HONORIO  QUINTERO OROZCO,PARTIDO CENTRO DEMOCRATICO,89267
Concejo,BOLIVAR,SANTA ROSA DEL SUR,HUMBERTO  FUENTES MACHADO,PARTIDO CENTRO DEMOCRATICO,89266
Concejo,BOLIVAR,SANTA ROSA DEL SUR,ISAAC  GONZALEZ PAREDES,PARTIDO POLO DEMOCRATICO ALTERNATIVO,89325
Concejo,BOLIVAR,SANTA ROSA DEL SUR,JANEIRIS  RIOS HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,89285
Concejo,BOLIVAR,SANTA ROSA DEL SUR,JAVIER  ROJAS RIVERO,PARTIDO LIBERAL COLOMBIANO,89243
Concejo,BOLIVAR,SANTA ROSA DEL SUR,JORGE ALBEIRO NARANJO VARGAS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,89326
