corp,dpto,mpio,name,party,wp_no
Concejo,BOLIVAR,SANTA ROSA,ABIGAIL  GUZMAN BABILONIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,89151
Concejo,BOLIVAR,SANTA ROSA,ADALBERTO  ORTIZ MIRANDA,PARTIDO CAMBIO RADICAL,89206
Concejo,BOLIVAR,SANTA ROSA,ALFREDO  ORTIZ CASTELLANO,PARTIDO CENTRO DEMOCRATICO,89140
Concejo,BOLIVAR,SANTA ROSA,ALFREDO ENRIQUE PERALTA MATURANA,PARTIDO ADA,89175
Concejo,BOLIVAR,SANTA ROSA,ALONSO JOSE BLANCO NORIEGA,PARTIDO CAMBIO RADICAL,89203
Concejo,BOLIVAR,SANTA ROSA,ALVARO MANUEL GARCIA CHAMORRO,PARTIDO CAMBIO RADICAL,89202
Concejo,BOLIVAR,SANTA ROSA,AMALFY  TATIS DE HORTA,PARTIDO LIBERAL COLOMBIANO,89134
Concejo,BOLIVAR,SANTA ROSA,ANA CAROLINA GOMEZ QUIÑONEZ,PARTIDO CONSERVADOR COLOMBIANO,89193
Concejo,BOLIVAR,SANTA ROSA,ANA CECILIA BLANCO DIAZ,PARTIDO ADA,89169
Concejo,BOLIVAR,SANTA ROSA,ANDREA PAOLA DE HORTA MIRANDA,PARTIDO CAMBIO RADICAL,89209
Concejo,BOLIVAR,SANTA ROSA,ANDRES MIGUEL VILLADIEGO OTERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,89225
Concejo,BOLIVAR,SANTA ROSA,ANGELINA  GUARDO MANJARREZ,PARTIDO CENTRO DEMOCRATICO,89136
Concejo,BOLIVAR,SANTA ROSA,ARLIS  AGRESOT MERCADO,PARTIDO CONSERVADOR COLOMBIANO,89192
Concejo,BOLIVAR,SANTA ROSA,ARNULFO ELIAS GOMEZ AHUMADA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,89147
Concejo,BOLIVAR,SANTA ROSA,ASIZAR JUNIOR SIERRA ARIZA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,89221
Concejo,BOLIVAR,SANTA ROSA,CARLOS  MANJARREZ PINTO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,89177
Concejo,BOLIVAR,SANTA ROSA,CARLOS ENRIQUE GUARDO ALTAMAR,PARTIDO LIBERAL COLOMBIANO,89124
Concejo,BOLIVAR,SANTA ROSA,CESAR AUGUSTO TUÑON NARVAEZ,PARTIDO LIBERAL COLOMBIANO,89132
Concejo,BOLIVAR,SANTA ROSA,CONSUELO DE JESUS SERPA HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,89197
Concejo,BOLIVAR,SANTA ROSA,DENIS MARGARITA MARTINEZ MENDIVIL,PARTIDO CENTRO DEMOCRATICO,89143
Concejo,BOLIVAR,SANTA ROSA,DILIA ESTER BASA CABRERA,PARTIDO ADA,89176
Concejo,BOLIVAR,SANTA ROSA,EDINSON  CARRILLO TORRES,PARTIDO COLOMBIA JUSTA LIBRES,89157
Concejo,BOLIVAR,SANTA ROSA,EDITH YORLEIDIS ALCAZAR GAMARRA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,89186
Concejo,BOLIVAR,SANTA ROSA,EDIVARDO ENRIQUE DE HORTA CANAVAL,PARTIDO COLOMBIA RENACIENTE,89166
Concejo,BOLIVAR,SANTA ROSA,ELIGENIA  MADERO ZABALETA,PARTIDO CONSERVADOR COLOMBIANO,89198
Concejo,BOLIVAR,SANTA ROSA,EMA  CHICO PINTO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,89210
Concejo,BOLIVAR,SANTA ROSA,ENOEL ANTONIO BENITEZ CARVAJAL,PARTIDO LIBERAL COLOMBIANO,89125
Concejo,BOLIVAR,SANTA ROSA,EYWER MANUEL PAYARES GONZALEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,89211
Concejo,BOLIVAR,SANTA ROSA,FELIX ADOLFO GAMARRA SALCEDO,PARTIDO LIBERAL COLOMBIANO,89127
Concejo,BOLIVAR,SANTA ROSA,GEIDY MILENA VIVANCO GUZMAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,89234
Concejo,BOLIVAR,SANTA ROSA,HARVIS  BELLO ELLES,PARTIDO COLOMBIA RENACIENTE,89158
