corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,BELEN,ALEXANDER  OSORIO CORTES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95387
Concejo,BOYACA,BELEN,ALVARO  TOLEDO URIBE,PARTIDO LIBERAL COLOMBIANO,95339
Concejo,BOYACA,BELEN,ANA ELVIA MORENO AMADO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95385
Concejo,BOYACA,BELEN,ANDREA MILENA PACHON OLARTE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95355
Concejo,BOYACA,BELEN,ARTURO  ESPINDOLA MATEUS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95352
Concejo,BOYACA,BELEN,CARLOS EDUARDO QUINTERO RUIZ,PARTIDO ALIANZA VERDE,95374
Concejo,BOYACA,BELEN,CARMEN ROSA ROJAS ANGARITA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95353
Concejo,BOYACA,BELEN,CELINA BEATRIZ MORANTES VALDERRAMA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95386
Concejo,BOYACA,BELEN,DIEGO SEBASTIAN RODRIGUEZ GUERRERO,PARTIDO CONSERVADOR COLOMBIANO,95368
Concejo,BOYACA,BELEN,EDISON JAVIER INFANTE VERDUGO,PARTIDO CONSERVADOR COLOMBIANO,95369
Concejo,BOYACA,BELEN,ERBIN  CASTRO AYALA,PARTIDO LIBERAL COLOMBIANO,95342
Concejo,BOYACA,BELEN,EVELYN DAYANA MOLINA ROJAS,PARTIDO ALIANZA VERDE,95375
Concejo,BOYACA,BELEN,FABIO  RINCON GUERRERO,PARTIDO LIBERAL COLOMBIANO,95340
Concejo,BOYACA,BELEN,FABIO ALEXANDER SISA CASTRO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95383
Concejo,BOYACA,BELEN,FABIO ANTONIO FERNANDEZ BALAGUERA,PARTIDO CONSERVADOR COLOMBIANO,95361
Concejo,BOYACA,BELEN,GABRIELLY ALEJANDRA BALAGUERA CORREA,PARTIDO CENTRO DEMOCRATICO,95349
Concejo,BOYACA,BELEN,GLADYS  GUEVARA ALVAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95358
Concejo,BOYACA,BELEN,HERMES  SILVA ALARCON,PARTIDO CONSERVADOR COLOMBIANO,95366
Concejo,BOYACA,BELEN,IRMA YANETH SANCHEZ CEPEDA,PARTIDO CONSERVADOR COLOMBIANO,95367
Concejo,BOYACA,BELEN,JEFERSON IVAN AMADO PARRA,PARTIDO ALIANZA VERDE,95373
Concejo,BOYACA,BELEN,JEFFER IGNACIO ALVAREZ RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,95347
Concejo,BOYACA,BELEN,JHON ESNEIDER CASTRO GUERRERO,PARTIDO ALIANZA VERDE,95377
Concejo,BOYACA,BELEN,JOHN ALEJANDRO VEGA SANDOVAL,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95357
Concejo,BOYACA,BELEN,JORGE ANDRES PARRA PARRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95382
Concejo,BOYACA,BELEN,JUAN CARLOS MOGOLLON SUAREZ,PARTIDO CENTRO DEMOCRATICO,95348
Concejo,BOYACA,BELEN,JULIANA ISABEL MORENO ALBARRACIN,PARTIDO CENTRO DEMOCRATICO,95351
Concejo,BOYACA,BELEN,JULIO ENRIQUE CELY CARO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95384
Concejo,BOYACA,BELEN,KAREN LICED PAREDES OLARTE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95360
Concejo,BOYACA,BELEN,LESLIEN PAOLA TRILLOS JIMENEZ,PARTIDO LIBERAL COLOMBIANO,95341
Concejo,BOYACA,BELEN,LUIS ADRIAN GALLO PINEDA,PARTIDO LIBERAL COLOMBIANO,95346
Concejo,BOYACA,BELEN,MABEL  ESTUPIÑAN FERNANDEZ,PARTIDO ALIANZA VERDE,95378
Concejo,BOYACA,BELEN,MANUEL ALEJANDRO PORRAS VEGA,PARTIDO CENTRO DEMOCRATICO,95350
Concejo,BOYACA,BELEN,MARIA ALEJANDRA GALLO CASTRO,PARTIDO LIBERAL COLOMBIANO,95345
Concejo,BOYACA,BELEN,MARIA FERNANDA GOMEZ MACHUCA,PARTIDO LIBERAL COLOMBIANO,95343
Concejo,BOYACA,BELEN,MARISOL  CASTRO CASTRO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95379
Concejo,BOYACA,BELEN,NORY AMANDA GALLO CONTRERAS,PARTIDO CONSERVADOR COLOMBIANO,95363
Concejo,BOYACA,BELEN,OMAR DE JESUS DIAZ RINCON,PARTIDO ALIANZA VERDE,95370
Concejo,BOYACA,BELEN,PEDRO HERMES GOMEZ VEGA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95356
Concejo,BOYACA,BELEN,RAFAEL ANTONIO PEREZ SISA,PARTIDO ALIANZA VERDE,95376
Concejo,BOYACA,BELEN,RODRIGO DE JESUS RINCON CASTRO,PARTIDO CONSERVADOR COLOMBIANO,95362
Concejo,BOYACA,BELEN,RUTH MARIBEL RIVERA ,PARTIDO ALIANZA VERDE,95372
Concejo,BOYACA,BELEN,SAUL  PEREZ CASTRO,PARTIDO LIBERAL COLOMBIANO,95344
Concejo,BOYACA,BELEN,VIRLY KARINA GALLO BOCAREJO,PARTIDO CONSERVADOR COLOMBIANO,95364
Concejo,BOYACA,BELEN,WILLTON EMILIO TORRES CASTRO,PARTIDO ALIANZA VERDE,95371
Concejo,BOYACA,BELEN,WILMER ALEXANDER BAUTISTA ALARCON,PARTIDO CONSERVADOR COLOMBIANO,95365
Concejo,BOYACA,BELEN,YAMIT FABIAN RIVERA RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95380
Concejo,BOYACA,BELEN,YEISON RICARDO TRIANA REYES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95381
