corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,BRICEÑO,BLANCA HILDA BUITRAGO MONROY,PARTIDO CENTRO DEMOCRATICO,98823
Concejo,BOYACA,BRICEÑO,BLANCA LILIA PINEDA MONTAÑEZ,PARTIDO ALIANZA VERDE,98844
Concejo,BOYACA,BRICEÑO,CELIO GONZALO RAMIREZ PEÑA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98849
Concejo,BOYACA,BRICEÑO,CRISTOBAL ALFONSO MURCIA HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,98821
Concejo,BOYACA,BRICEÑO,DEINER JULIANA BURGOS VELASQUEZ,PARTIDO ALIANZA VERDE,98843
Concejo,BOYACA,BRICEÑO,DORIS YANIRA ROJAS GOMEZ,PARTIDO CAMBIO RADICAL,98840
Concejo,BOYACA,BRICEÑO,EDITH YANETH WILCHES ORTIZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98850
Concejo,BOYACA,BRICEÑO,ERMES REINEL RODRIGUEZ BALLARES,PARTIDO CAMBIO RADICAL,98836
Concejo,BOYACA,BRICEÑO,ESMERALDA PAOLA BERNAL LUQUE,PARTIDO CONSERVADOR COLOMBIANO,98833
Concejo,BOYACA,BRICEÑO,FABIO ENRIQUE ROCHA PEÑA,PARTIDO ALIANZA VERDE,98841
Concejo,BOYACA,BRICEÑO,FABIO HERNANDO LEON PEÑA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98825
Concejo,BOYACA,BRICEÑO,FAUSTINO  VERANO BENITEZ,PARTIDO ALIANZA VERDE,98842
Concejo,BOYACA,BRICEÑO,GREGORIO HERNANDO SANCHEZ ORTIZ,PARTIDO CAMBIO RADICAL,98839
Concejo,BOYACA,BRICEÑO,HENRY  HERNANDEZ GUTIERREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98826
Concejo,BOYACA,BRICEÑO,INGRID YULIETH BURITICA ,PARTIDO CENTRO DEMOCRATICO,98820
Concejo,BOYACA,BRICEÑO,JEISON ALEXANDER CAÑON CASAS,PARTIDO CONSERVADOR COLOMBIANO,98830
Concejo,BOYACA,BRICEÑO,JHON FREDY ORTIZ TORRES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98828
Concejo,BOYACA,BRICEÑO,JOSE ONOFRE VIRGUEZ ROJAS,PARTIDO CONSERVADOR COLOMBIANO,98835
Concejo,BOYACA,BRICEÑO,JULIO LUVINEL ROJAS ORTIZ,PARTIDO ALIANZA VERDE,98846
Concejo,BOYACA,BRICEÑO,KAREN YESENIA BRAVO CORTES,PARTIDO CENTRO DEMOCRATICO,98822
Concejo,BOYACA,BRICEÑO,LUZ DARY VIRGUEZ MURCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98827
Concejo,BOYACA,BRICEÑO,LUZ MARGOTH RAMOS DAZA,PARTIDO CAMBIO RADICAL,98837
Concejo,BOYACA,BRICEÑO,MARCOS FLORINDO MONTAÑEZ ABRIL,PARTIDO CONSERVADOR COLOMBIANO,98832
Concejo,BOYACA,BRICEÑO,MARIA DULLY PINEDA DE DELGADILLO,PARTIDO CONSERVADOR COLOMBIANO,98834
Concejo,BOYACA,BRICEÑO,MARIA NUBIA LEON AREVALO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98848
Concejo,BOYACA,BRICEÑO,NORBERTO ORLANDO CASTILLO SUAREZ,PARTIDO CENTRO DEMOCRATICO,98824
Concejo,BOYACA,BRICEÑO,PEDRO JOSE CAÑON MORENO,PARTIDO CENTRO DEMOCRATICO,98819
Concejo,BOYACA,BRICEÑO,PEDRO JOSUE SARMIENTO ORTIZ,PARTIDO CONSERVADOR COLOMBIANO,98831
Concejo,BOYACA,BRICEÑO,PEDRONEL  VILLAMIL CASTRO,PARTIDO ALIANZA VERDE,98847
Concejo,BOYACA,BRICEÑO,ROBINSON FABIAN PINEDA PEÑA,PARTIDO CENTRO DEMOCRATICO,98818
Concejo,BOYACA,BRICEÑO,SONIA  MASMELA SIERRA,PARTIDO ALIANZA VERDE,98845
Concejo,BOYACA,BRICEÑO,WAULDINO  PARRA FIGUEREDO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98851
Concejo,BOYACA,BRICEÑO,YERSON ANDRES CASTRO BALLARES,PARTIDO CAMBIO RADICAL,98838
Concejo,BOYACA,BRICEÑO,ZORAIDA  MARTINEZ GONZALEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98829
