corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,CHIQUIZA,AILARDE  ROBELTO ,PARTIDO COLOMBIA RENACIENTE,100920
Concejo,BOYACA,CHIQUIZA,ALCIRA  CARDENAS PACHECO,PARTIDO ALIANZA VERDE,100933
Concejo,BOYACA,CHIQUIZA,ARACELY  QUINTERO RIVERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100904
Concejo,BOYACA,CHIQUIZA,DEISY YANIRA REYES CARDENAS,PARTIDO COLOMBIA RENACIENTE,100916
Concejo,BOYACA,CHIQUIZA,DIANA PATRICIA RUANO CARDENAS,PARTIDO LIBERAL COLOMBIANO,100898
Concejo,BOYACA,CHIQUIZA,ELBER  SUAREZ PINEDA,PARTIDO COLOMBIA RENACIENTE,100915
Concejo,BOYACA,CHIQUIZA,ELIZABETH  RIVERA ,PARTIDO COLOMBIA RENACIENTE,100917
Concejo,BOYACA,CHIQUIZA,ENUVIT  RIVERA GARCIA,PARTIDO LIBERAL COLOMBIANO,100902
Concejo,BOYACA,CHIQUIZA,FABIO SAMUEL CUERVO ROJAS,PARTIDO CAMBIO RADICAL,100923
Concejo,BOYACA,CHIQUIZA,GILBERT YODAN ALVARADO SUAREZ,PARTIDO LIBERAL COLOMBIANO,100895
Concejo,BOYACA,CHIQUIZA,GIOVANNY  RIVERA PACHECO,PARTIDO LIBERAL COLOMBIANO,100896
Concejo,BOYACA,CHIQUIZA,HELVER AUGUSTO VELASQUEZ LOPEZ,PARTIDO CAMBIO RADICAL,100926
Concejo,BOYACA,CHIQUIZA,IVAN CAMILO FORERO ROJAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100906
Concejo,BOYACA,CHIQUIZA,JASBLEIDI  GIL GARCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100905
Concejo,BOYACA,CHIQUIZA,JAVIER MAURICIO SUAREZ LOPEZ,PARTIDO CAMBIO RADICAL,100921
Concejo,BOYACA,CHIQUIZA,JIMER ARMANDO SUAREZ ACOSTA,PARTIDO ALIANZA VERDE,100938
Concejo,BOYACA,CHIQUIZA,JOAN MANUEL RIVERA SUAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100907
Concejo,BOYACA,CHIQUIZA,JORGE ELBERTO RIVERA ROJAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100911
Concejo,BOYACA,CHIQUIZA,JOSE ARLEY GARCIA PACHECO,PARTIDO ALIANZA VERDE,100931
Concejo,BOYACA,CHIQUIZA,JOSE ARNULFO SUAREZ GARCIA,PARTIDO COLOMBIA RENACIENTE,100913
Concejo,BOYACA,CHIQUIZA,JOSE DUBAN REYES CUERVO,PARTIDO CAMBIO RADICAL,100925
Concejo,BOYACA,CHIQUIZA,JOSE JAIRO FONSECA FONSECA,PARTIDO LIBERAL COLOMBIANO,100900
Concejo,BOYACA,CHIQUIZA,JOSE SALOMON AMADO HURTADO,PARTIDO ALIANZA VERDE,100930
Concejo,BOYACA,CHIQUIZA,JOSE YERLY RIVERA PINEDA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100910
Concejo,BOYACA,CHIQUIZA,LAURA JHOANA REYES REYES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100908
Concejo,BOYACA,CHIQUIZA,LINA  AMADO HERNANDEZ,PARTIDO ALIANZA VERDE,100936
Concejo,BOYACA,CHIQUIZA,LUIS ALBERTO RIOS LOPEZ,PARTIDO CAMBIO RADICAL,100924
Concejo,BOYACA,CHIQUIZA,LUIS CARLOS CARDENAS ,PARTIDO LIBERAL COLOMBIANO,100897
Concejo,BOYACA,CHIQUIZA,LUIS FERNANDO CARDENAS LOPEZ,PARTIDO LIBERAL COLOMBIANO,100899
Concejo,BOYACA,CHIQUIZA,LUZ AIDA SUAREZ ROBERTO,PARTIDO ALIANZA VERDE,100935
Concejo,BOYACA,CHIQUIZA,MARIA CRUZ SUAREZ SUAREZ,PARTIDO CAMBIO RADICAL,100927
Concejo,BOYACA,CHIQUIZA,MARINEL  CUERVO LUIS,PARTIDO LIBERAL COLOMBIANO,100901
Concejo,BOYACA,CHIQUIZA,MARTIN EMILIO LOPEZ SUAREZ,PARTIDO ALIANZA VERDE,100934
Concejo,BOYACA,CHIQUIZA,MIGUEL ANGEL FONSECA FONSECA,PARTIDO COLOMBIA RENACIENTE,100912
