corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,CHISCAS,ALVARO  BARON CORREA,PARTIDO ALIANZA VERDE,101009
Concejo,BOYACA,CHISCAS,AURA ALICIA MENDEZ MESA,PARTIDO LIBERAL COLOMBIANO,100981
Concejo,BOYACA,CHISCAS,BLANCA CECILIA ARISMENDI HURTADO,PARTIDO LIBERAL COLOMBIANO,100988
Concejo,BOYACA,CHISCAS,CARLOS EFRAIN CUADROS RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,101024
Concejo,BOYACA,CHISCAS,DAVID RICARDO MENDEZ CAICEDO,PARTIDO CENTRO DEMOCRATICO,100993
Concejo,BOYACA,CHISCAS,DIANA MILENA PEÑA NIÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,101021
Concejo,BOYACA,CHISCAS,DIANA ROCIO SOLANO MONTAÑA,PARTIDO CAMBIO RADICAL,101004
Concejo,BOYACA,CHISCAS,EDILBERTO  HERNANDEZ ZAMBRANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,101016
Concejo,BOYACA,CHISCAS,EDILMA  ZAMBRANO VALBUENA,PARTIDO CENTRO DEMOCRATICO,100991
Concejo,BOYACA,CHISCAS,ELMER  SUESCUN MOLINA,PARTIDO LIBERAL COLOMBIANO,100983
Concejo,BOYACA,CHISCAS,EMILIO  SOLANO HERRERA,PARTIDO LIBERAL COLOMBIANO,100980
Concejo,BOYACA,CHISCAS,EUCLIDES ALBERTO CARREÑO VARGAS,PARTIDO LIBERAL COLOMBIANO,100987
Concejo,BOYACA,CHISCAS,FLORISELDA  PUENTES CORREA,PARTIDO ALIANZA VERDE,101010
Concejo,BOYACA,CHISCAS,GUSTAVO  HERNANDEZ RUIZ,PARTIDO CENTRO DEMOCRATICO,100995
Concejo,BOYACA,CHISCAS,HECTOR MANUEL LOZANO MEDINA,PARTIDO ALIANZA VERDE,101011
Concejo,BOYACA,CHISCAS,HELIODORO  ZUÑIGA CARREÑO,PARTIDO CENTRO DEMOCRATICO,100994
Concejo,BOYACA,CHISCAS,HENRY  DUARTE ORJUELA,PARTIDO ALIANZA VERDE,101007
Concejo,BOYACA,CHISCAS,HILDEBRANDO  BARON ORTIZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,101018
Concejo,BOYACA,CHISCAS,INES  GARCIA CAIRASCO,PARTIDO CAMBIO RADICAL,101003
Concejo,BOYACA,CHISCAS,JHON JAIRO CASTILLO TOPAGA,PARTIDO ALIANZA VERDE,101013
Concejo,BOYACA,CHISCAS,JOSE AGUSTIN DUARTE MORENO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,101017
Concejo,BOYACA,CHISCAS,JOSE ANTONIO PEREZ DUARTE,PARTIDO CAMBIO RADICAL,101001
Concejo,BOYACA,CHISCAS,JOSE ELIBRANDO LOZANO FUENTES,PARTIDO CAMBIO RADICAL,101006
Concejo,BOYACA,CHISCAS,JOSE FRANCISCO MORENO ROSSO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,101027
Concejo,BOYACA,CHISCAS,JOSE MANUEL LEAL PUENTES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,101030
Concejo,BOYACA,CHISCAS,JOSE RODOLFO CORREA CORREA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,101029
Concejo,BOYACA,CHISCAS,JUAN AGUSTIN ESTEBAN DUARTE,PARTIDO CENTRO DEMOCRATICO,100996
Concejo,BOYACA,CHISCAS,LUIS ALFREDO CAICEDO ,PARTIDO CENTRO DEMOCRATICO,100992
Concejo,BOYACA,CHISCAS,LUIS ALFREDO ORTIZ TELLEZ,PARTIDO ALIANZA VERDE,101012
Concejo,BOYACA,CHISCAS,LUIS MIGUEL TIBANA ,PARTIDO CAMBIO RADICAL,101000
Concejo,BOYACA,CHISCAS,LUZ EMILSE PARRA CORREA,PARTIDO LIBERAL COLOMBIANO,100985
Concejo,BOYACA,CHISCAS,LUZ LORALY PUENTES GIL,PARTIDO CENTRO DEMOCRATICO,100989
Concejo,BOYACA,CHISCAS,LUZ MARINA MORA DE DUARTE,PARTIDO CENTRO DEMOCRATICO,100990
Concejo,BOYACA,CHISCAS,MARIA HORTENSIA SUAREZ CARREÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,101031
Concejo,BOYACA,CHISCAS,MARTA CECILIA LEAL SIERRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,101020
Concejo,BOYACA,CHISCAS,MARTIN  CORREA BELLO,PARTIDO LIBERAL COLOMBIANO,100984
Concejo,BOYACA,CHISCAS,MAYERLY  CORREA MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,101028
Concejo,BOYACA,CHISCAS,MERY  SOLANO LOZANO,PARTIDO CENTRO DEMOCRATICO,100997
