corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,CHITA,ALBA MARGARETH GOMEZ BARON,PARTIDO CENTRO DEMOCRATICO,101038
Concejo,BOYACA,CHITA,ALEX FERNANDO FUENTES QUINTERO,PARTIDO CONSERVADOR COLOMBIANO,101061
Concejo,BOYACA,CHITA,ANA ALICIA RISCANEVO ALCANTAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,101086
Concejo,BOYACA,CHITA,ANA ELSA ZARATE ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,101046
Concejo,BOYACA,CHITA,ANA ISABEL VIRACACHA SALAZAR,PARTIDO ALIANZA VERDE,101082
Concejo,BOYACA,CHITA,ANTONY ALEXANDER LEON OICATA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,101085
Concejo,BOYACA,CHITA,ARNULFO  POBLADOR JAIME,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,101050
Concejo,BOYACA,CHITA,CAMPO ABEL NIÑO ,PARTIDO CENTRO DEMOCRATICO,101035
Concejo,BOYACA,CHITA,DEISY YANIRA BAUTISTA GARCIA,PARTIDO CENTRO DEMOCRATICO,101039
Concejo,BOYACA,CHITA,DILMA  CRUZ SALAZAR,PARTIDO CONSERVADOR COLOMBIANO,101056
Concejo,BOYACA,CHITA,FAUSTINO  RISCANEVO DIAZ,PARTIDO ALIANZA VERDE,101077
Concejo,BOYACA,CHITA,FLOR MARINA CUEVAS CUEVAS,PARTIDO CAMBIO RADICAL,101070
Concejo,BOYACA,CHITA,FREDY OMAR LEON ALARCON,PARTIDO CONSERVADOR COLOMBIANO,101062
Concejo,BOYACA,CHITA,GERMAN  OJEDA GOYONECHE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,101051
Concejo,BOYACA,CHITA,GLORIA AMPARO LAVACUDE MONGUI,PARTIDO CONSERVADOR COLOMBIANO,101060
Concejo,BOYACA,CHITA,GLORIA ELSA HERNANDEZ ALVARADO,PARTIDO CAMBIO RADICAL,101073
Concejo,BOYACA,CHITA,GLORIA IMELDA GOMEZ FUENTES,PARTIDO CAMBIO RADICAL,101066
Concejo,BOYACA,CHITA,HENRY  CUEVAS CUEVAS,PARTIDO CONSERVADOR COLOMBIANO,101059
Concejo,BOYACA,CHITA,HERIN  OCHOA RISCANEVO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,101049
Concejo,BOYACA,CHITA,HERMES  GARCIA OCHOA,PARTIDO CAMBIO RADICAL,101072
Concejo,BOYACA,CHITA,HONORIO  FUENTES SANTOS,PARTIDO CENTRO DEMOCRATICO,101034
Concejo,BOYACA,CHITA,HUGO  CORDOBA NIÑO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,101048
Concejo,BOYACA,CHITA,INOCENCIO  HORMAZA SEPULVEDA,PARTIDO CONSERVADOR COLOMBIANO,101057
Concejo,BOYACA,CHITA,JAIME LUIS PORTILLA CERINZA,PARTIDO CONSERVADOR COLOMBIANO,101063
Concejo,BOYACA,CHITA,JAVIER  HERNANDEZ NIÑO,PARTIDO CENTRO DEMOCRATICO,101040
Concejo,BOYACA,CHITA,JAVIER MIGUEL PORTILLA FUENTES,PARTIDO ALIANZA VERDE,101076
Concejo,BOYACA,CHITA,JORGE AMBROSIO CETINA VEGA,PARTIDO CAMBIO RADICAL,101068
Concejo,BOYACA,CHITA,JOSE ABIGAIL CUEVAS ROMERO,PARTIDO CAMBIO RADICAL,101069
Concejo,BOYACA,CHITA,JOSE ALCIDES BOSSA ,PARTIDO ALIANZA VERDE,101078
Concejo,BOYACA,CHITA,JOSE APOLONIO MONGUI FUENTES,PARTIDO CENTRO DEMOCRATICO,101042
Concejo,BOYACA,CHITA,JOSE ARTURO PANQUEVA OCHOA,PARTIDO CENTRO DEMOCRATICO,101033
Concejo,BOYACA,CHITA,JOSE CLODOVEO FUENTES ,PARTIDO CAMBIO RADICAL,101065
Concejo,BOYACA,CHITA,JOSE MIGUEL GALVIS BURGOS,PARTIDO CONSERVADOR COLOMBIANO,101053
Concejo,BOYACA,CHITA,JOSE REYES CALDERON CUEVAS,PARTIDO ALIANZA VERDE,101074
Concejo,BOYACA,CHITA,JUAN CARLOS ALCANTAR ,PARTIDO ALIANZA VERDE,101075
Concejo,BOYACA,CHITA,JUAN DE JESUS CUADROS CUADROS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,101043
Concejo,BOYACA,CHITA,JUAN EVANGELISTA MENDIVELSO SALAMANCA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,101088
Concejo,BOYACA,CHITA,LUIS ENRIQUE FUENTES VIRACACHA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,101044
Concejo,BOYACA,CHITA,LUIS MARIA LOPEZ COTRINA,PARTIDO CAMBIO RADICAL,101071
Concejo,BOYACA,CHITA,LUZ MERY LAVACUDE COMEZAQUIRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,101045
Concejo,BOYACA,CHITA,MARCO ANTONIO PARADA CARO,PARTIDO CENTRO DEMOCRATICO,101036
Concejo,BOYACA,CHITA,MARIA JUVENILIA HERNANDEZ CETINA,PARTIDO ALIANZA VERDE,101079
Concejo,BOYACA,CHITA,NILSA  HERNANDEZ COMEZAQUIRA,PARTIDO CENTRO DEMOCRATICO,101037
