corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,COMBITA,ALBA LUZ RUIZ PACHECO,PARTIDO LIBERAL COLOMBIANO,100363
Concejo,BOYACA,COMBITA,ALEJANDRA  VARGAS GALAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100421
Concejo,BOYACA,COMBITA,ANA MERCEDES ALFONSO ESPITIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,100416
Concejo,BOYACA,COMBITA,ANJIE TATIANA MALAVER AUNTA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100424
Concejo,BOYACA,COMBITA,ARLEY  SAAVEDRA REYES,PARTIDO ALIANZA VERDE,100400
Concejo,BOYACA,COMBITA,AURA NELLY SUAREZ GARCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100382
Concejo,BOYACA,COMBITA,CARLINA  MARTINEZ ZAMBRANO,PARTIDO ALIANZA VERDE,100406
Concejo,BOYACA,COMBITA,CIBEL  SALAZAR GONZALEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100376
Concejo,BOYACA,COMBITA,CRISTIAN DAVID CELY CUCHIVAGUE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100426
Concejo,BOYACA,COMBITA,CRISTIAN VENANCIO SAMACA GARCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100375
Concejo,BOYACA,COMBITA,DAVINSON FELIPE PEÑA SUAREZ,PARTIDO LIBERAL COLOMBIANO,100359
Concejo,BOYACA,COMBITA,DIANA CONSTANZA MATTA SARMIENTO,PARTIDO LIBERAL COLOMBIANO,100364
Concejo,BOYACA,COMBITA,DONNY EDGARDO AVILA VARGAS,PARTIDO LIBERAL COLOMBIANO,100360
Concejo,BOYACA,COMBITA,DORA ESPERANZA SUAREZ GARAVITO,PARTIDO CENTRO DEMOCRATICO,100373
Concejo,BOYACA,COMBITA,DUMAS OMAR CARDENAS BERNAL,PARTIDO ALIANZA VERDE,100401
Concejo,BOYACA,COMBITA,EDGAR  SUARIQUE VARGAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100380
Concejo,BOYACA,COMBITA,EFRAIN  VARGAS RIAÑO,PARTIDO CAMBIO RADICAL,100391
Concejo,BOYACA,COMBITA,EYVER CAMILO AGUILAR PIRATOVA,PARTIDO ADA,118034
Concejo,BOYACA,COMBITA,FLORIBERTO  AUNTA BARRAGAN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,100413
Concejo,BOYACA,COMBITA,FRANCY YAZMIN LOPEZ GALAN,PARTIDO ALIANZA VERDE,100410
Concejo,BOYACA,COMBITA,GUSTAVO  RIOS PINEDA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100379
Concejo,BOYACA,COMBITA,HECTOR SILVINO RODRIGUEZ SUAREZ,PARTIDO CENTRO DEMOCRATICO,100368
Concejo,BOYACA,COMBITA,HENRY FERNANDO CANTOR SANTIAGO,PARTIDO CAMBIO RADICAL,100394
Concejo,BOYACA,COMBITA,IVAN FELIPE URIBE SANDOVAL,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,100418
Concejo,BOYACA,COMBITA,JESUS  FONSECA SANCHEZ,PARTIDO LIBERAL COLOMBIANO,100366
Concejo,BOYACA,COMBITA,JOAQUIN  SUAREZ RAMIREZ,PARTIDO ADA,100386
Concejo,BOYACA,COMBITA,JOHN JAIME MONROY LOPEZ,PARTIDO LIBERAL COLOMBIANO,100358
Concejo,BOYACA,COMBITA,JORGE DUVAN SUSPE GARCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100422
Concejo,BOYACA,COMBITA,JOSE ALBERTO APERADOR TOCARRUNCHO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100377
Concejo,BOYACA,COMBITA,JOSE ANANIAS SALAS BARRAGAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100428
Concejo,BOYACA,COMBITA,JOSE DOMINGO SALAS PACHECO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,100420
Concejo,BOYACA,COMBITA,JOSE MAURICIO SALAS SUAREZ,PARTIDO CENTRO DEMOCRATICO,100369
Concejo,BOYACA,COMBITA,JOSE PARMENIO SARMIENTO SARMIENTO,PARTIDO CENTRO DEMOCRATICO,100371
Concejo,BOYACA,COMBITA,JOSE RODRIGO TOCARRUNCHO AGUILAR,PARTIDO LIBERAL COLOMBIANO,100362
Concejo,BOYACA,COMBITA,JUAN CARLOS GARCIA YANQUEN,PARTIDO LIBERAL COLOMBIANO,100361
Concejo,BOYACA,COMBITA,JUAN MANUEL MORA RUIZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100384
Concejo,BOYACA,COMBITA,JULIAN DAVID SARMIENTO SUAREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,100417
Concejo,BOYACA,COMBITA,KAREN ALEJANDRA RIAÑO BECERRA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,100414
Concejo,BOYACA,COMBITA,LAURA JAZMIN PACHECO CASAS,PARTIDO CAMBIO RADICAL,100396
Concejo,BOYACA,COMBITA,LINA MARCELA MALAVER AUNTA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100425
Concejo,BOYACA,COMBITA,LUIS ALFREDO GARCIA MORALES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100378
Concejo,BOYACA,COMBITA,LUZ DARY MALAVER SARMIENTO,PARTIDO ALIANZA VERDE,100407
Concejo,BOYACA,COMBITA,LUZ YAMILE TRIANA MONTEALEGRE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,100419
Concejo,BOYACA,COMBITA,MARCO TULIO PINEDA CANTOR,PARTIDO CENTRO DEMOCRATICO,100370
Concejo,BOYACA,COMBITA,MARIA HELENA SALAZAR JIMENEZ,PARTIDO CENTRO DEMOCRATICO,100372
Concejo,BOYACA,COMBITA,MARIA HERMINDA BARON SUAREZ,PARTIDO CAMBIO RADICAL,100395
Concejo,BOYACA,COMBITA,MARIA LETICIA HERNANDEZ ,PARTIDO ADA,118036
