corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,CUBARA,ABEL ELIETH SUESCUN SUESCUN,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,100592
Concejo,BOYACA,CUBARA,ANA MILENA CONTRERAS TRUJILLO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100560
Concejo,BOYACA,CUBARA,ANDERSE  MOGOLLON FLOREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100561
Concejo,BOYACA,CUBARA,ARMANDO (BERUA)  TEGRIA RINCONADA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100565
Concejo,BOYACA,CUBARA,ARMANDO BERNABE TEGRIA UNCARIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,100586
Concejo,BOYACA,CUBARA,BLANCA HERMINIA BARAJAS SILVA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100599
Concejo,BOYACA,CUBARA,BLANCA NIEVES VILLAMIZAR GARCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100567
Concejo,BOYACA,CUBARA,CARLOS JACOB VALENCIA MERCHAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100595
Concejo,BOYACA,CUBARA,CIRO CARMELO BARON DAVILA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,100590
Concejo,BOYACA,CUBARA,DABINSON FARID PARADA SALAMANCA,PARTIDO ALIANZA VERDE,100585
Concejo,BOYACA,CUBARA,DANIEL  SUESCUN COBARIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100563
Concejo,BOYACA,CUBARA,DAVISNEL  SEPULVEDA VILLAMIZAR,PARTIDO LIBERAL COLOMBIANO,100557
Concejo,BOYACA,CUBARA,DIANA CAROLINA FRANCO VILLAMIZAR,PARTIDO ALIANZA VERDE,100584
Concejo,BOYACA,CUBARA,DIOCELINA  MANRIQUE BARRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100597
Concejo,BOYACA,CUBARA,ELIESER  COBARIA BOCOTA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100562
Concejo,BOYACA,CUBARA,ELIZABETH  RUBIO ,PARTIDO CONSERVADOR COLOMBIANO,100571
Concejo,BOYACA,CUBARA,ESTEBAN  ROSAS BOCOTA,PARTIDO CONSERVADOR COLOMBIANO,100574
Concejo,BOYACA,CUBARA,FERNEY  PACHECO ,PARTIDO ALIANZA VERDE,100577
Concejo,BOYACA,CUBARA,FRANCY ANTOLINA MORA MORA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,100591
Concejo,BOYACA,CUBARA,FRANKLIN  GARCIA BATECA,PARTIDO LIBERAL COLOMBIANO,100551
Concejo,BOYACA,CUBARA,FREDDY  CAICEDO MORENO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,100603
Concejo,BOYACA,CUBARA,GLADIS CECILIA MARTINEZ VIDES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100600
Concejo,BOYACA,CUBARA,GUSTAVO  APONTE COTE,PARTIDO CONSERVADOR COLOMBIANO,100575
Concejo,BOYACA,CUBARA,HEIBAR JOSE GARCIA SANCHEZ,PARTIDO LIBERAL COLOMBIANO,100550
Concejo,BOYACA,CUBARA,ISBELIA  BERBESI VILLAMIZAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100594
Concejo,BOYACA,CUBARA,JAKELINE  GELVEZ ,PARTIDO LIBERAL COLOMBIANO,100558
Concejo,BOYACA,CUBARA,JOEL  SAENZ SEPULVEDA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100596
Concejo,BOYACA,CUBARA,JORGE ELIECER JEREZ GIL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,100588
Concejo,BOYACA,CUBARA,JOSE ANGEL MINA RINCON,PARTIDO ALIANZA VERDE,100579
Concejo,BOYACA,CUBARA,JOSE FRANCISCO CASTELLANOS RIOS,PARTIDO CONSERVADOR COLOMBIANO,100573
Concejo,BOYACA,CUBARA,LEIDY YURLEY AGUDELO ANGARITA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100598
Concejo,BOYACA,CUBARA,LEONARDO  HERNANDEZ BELTRAN,PARTIDO ALIANZA VERDE,100578
Concejo,BOYACA,CUBARA,LIZANDRO  MORENO ESQUIVEL,PARTIDO LIBERAL COLOMBIANO,100553
Concejo,BOYACA,CUBARA,LIZETH  JURADO VILLAMIZAR,PARTIDO CONSERVADOR COLOMBIANO,100572
Concejo,BOYACA,CUBARA,LUDY ALEJANDRA CASTELLANOS ROSAS,PARTIDO LIBERAL COLOMBIANO,100556
Concejo,BOYACA,CUBARA,LUIS BERNARDO TORRES MOJICA,PARTIDO LIBERAL COLOMBIANO,100552
Concejo,BOYACA,CUBARA,LUIS CARLOS CARRILLO TAMARAN,PARTIDO ALIANZA VERDE,100583
Concejo,BOYACA,CUBARA,LUIS HERNANDO VALENCIA MORA,PARTIDO LIBERAL COLOMBIANO,100554
Concejo,BOYACA,CUBARA,LUZ CELIA AGUIRRE MONTAÑEZ,PARTIDO CONSERVADOR COLOMBIANO,100569
Concejo,BOYACA,CUBARA,LUZ NEYDA PINTO VEGA,PARTIDO LIBERAL COLOMBIANO,100555
Concejo,BOYACA,CUBARA,MARINA  APONTE TORRES,PARTIDO ALIANZA VERDE,100581
Concejo,BOYACA,CUBARA,MARYBEL  ENRIQUE RIO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100564
Concejo,BOYACA,CUBARA,MONICA PAOLA VARGAS TORRES,PARTIDO CONSERVADOR COLOMBIANO,100570
Concejo,BOYACA,CUBARA,NANCY  SILVA VALENCIA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,100605
Concejo,BOYACA,CUBARA,NELSON  VERA MOGOLLON,PARTIDO CONSERVADOR COLOMBIANO,100576
Concejo,BOYACA,CUBARA,OMAR  BECERRA MORA,PARTIDO CONSERVADOR COLOMBIANO,100568
Concejo,BOYACA,CUBARA,ORFA DOLORES NAJAR ROJAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,100589
Concejo,BOYACA,CUBARA,PASCUAL  MENDOZA VERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100559
Concejo,BOYACA,CUBARA,RUBY ESPERANZA MENDOZA ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,100593
Concejo,BOYACA,CUBARA,SAUL  SANCHEZ LEAL,PARTIDO POLO DEMOCRATICO ALTERNATIVO,100604
Concejo,BOYACA,CUBARA,TRINA  COTE FLOREZ,PARTIDO ALIANZA VERDE,100582
Concejo,BOYACA,CUBARA,WACHURU  TEGRIA TEGRIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100566
