corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,CUCAITA,AGUSTIN  VANEGAS OTALORA,PARTIDO ALIANZA VERDE,100635
Concejo,BOYACA,CUCAITA,ALFONSO  BUITRAGO ESPITIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100654
Concejo,BOYACA,CUCAITA,ANDREA CAROLINA BAUTISTA BARON,PARTIDO ALIANZA VERDE,100641
Concejo,BOYACA,CUCAITA,CAMILO ALONSO VANEGAS NOVOA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100622
Concejo,BOYACA,CUCAITA,CARLOS EDUARDO CONTADOR FLOREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100653
Concejo,BOYACA,CUCAITA,CARLOS JAVIER SANABRIA GOMEZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,100614
Concejo,BOYACA,CUCAITA,CLAUDIA  SIERRA LOPEZ,PARTIDO LIBERAL COLOMBIANO,100609
Concejo,BOYACA,CUCAITA,CRISTIAN FERNEY PARRA REYES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,100652
Concejo,BOYACA,CUCAITA,DIANA CAROLINA JIMENEZ CONTADOR,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,100615
Concejo,BOYACA,CUCAITA,DIANA PATRICIA GARCIA BUITRAGO,PARTIDO CAMBIO RADICAL,100633
Concejo,BOYACA,CUCAITA,EDWIN ARMANDO BAUTISTA BUITRAGO,PARTIDO LIBERAL COLOMBIANO,100608
Concejo,BOYACA,CUCAITA,EDWIN FABIAN GARZON CASTRO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100655
Concejo,BOYACA,CUCAITA,ELIZABETH  NIÑO SIERRA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,100617
Concejo,BOYACA,CUCAITA,ELSA BETULIA ESTUPIÑAN ESTUPIÑAN,PARTIDO CONSERVADOR COLOMBIANO,100628
Concejo,BOYACA,CUCAITA,ELSA MARINA SIERRA CELY,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100620
Concejo,BOYACA,CUCAITA,FLOR ANGELA BAUTISTA PARRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,100648
Concejo,BOYACA,CUCAITA,FLOR ANGELA GIL CELY,PARTIDO LIBERAL COLOMBIANO,100611
Concejo,BOYACA,CUCAITA,GLORIA FERNANDA RODRIGUEZ PARRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,100651
Concejo,BOYACA,CUCAITA,GONZALO  CHIVATA ,PARTIDO CAMBIO RADICAL,100630
Concejo,BOYACA,CUCAITA,HAROLD HARVEY GIL CASTILLO,PARTIDO CONSERVADOR COLOMBIANO,100626
Concejo,BOYACA,CUCAITA,HECTOR ALFONSO GARCIA NIÑO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100621
Concejo,BOYACA,CUCAITA,HERICA HERMINIA LA ROTTA BORDA,PARTIDO ALIANZA VERDE,100639
Concejo,BOYACA,CUCAITA,HERNAN DARIO PARRA SUAREZ,PARTIDO LIBERAL COLOMBIANO,100610
Concejo,BOYACA,CUCAITA,INGRID TATIANA RUIZ HURTADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,100658
Concejo,BOYACA,CUCAITA,JAVIER ENRIQUE NIÑO BORDA,PARTIDO CONSERVADOR COLOMBIANO,100624
Concejo,BOYACA,CUCAITA,JOHN AZAEL BORDA VANEGAS,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,100612
Concejo,BOYACA,CUCAITA,JORGE EDUARDO BORDA DAZA,PARTIDO ALIANZA VERDE,100637
Concejo,BOYACA,CUCAITA,JORGE ENRIQUE HERRERA CURREA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,100619
Concejo,BOYACA,CUCAITA,JOSE ALEXANDER GIL RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,100606
Concejo,BOYACA,CUCAITA,JOSE GERMAN BORDA BAUTISTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,100647
Concejo,BOYACA,CUCAITA,JOSE VICENTE ISRAEL ROBLES ALBA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,100646
Concejo,BOYACA,CUCAITA,LILIANA  ISAZA SALCEDO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,100616
Concejo,BOYACA,CUCAITA,LUIS ALBERTO GOMEZ SANCHEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,100644
