corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,EL COCUY,ALBA LETICIA VELANDIA BARRERA,PARTIDO CENTRO DEMOCRATICO,101529
Concejo,BOYACA,EL COCUY,CARLOS JULIO LOPEZ CORREA,PARTIDO CONSERVADOR COLOMBIANO,101540
Concejo,BOYACA,EL COCUY,CRISTIAN FABIAN RUIZ WILCHEZ,PARTIDO LIBERAL COLOMBIANO,101526
Concejo,BOYACA,EL COCUY,DIEGO ALEJANDRO PUENTES BLANCO,PARTIDO CENTRO DEMOCRATICO,101530
Concejo,BOYACA,EL COCUY,ELVIRA  ARCINIEGAS ARCINIEGAS,PARTIDO CENTRO DEMOCRATICO,101536
Concejo,BOYACA,EL COCUY,GLORIA INES CORREDOR VARGAS,PARTIDO LIBERAL COLOMBIANO,101524
Concejo,BOYACA,EL COCUY,ILDER ALBEIRO AVENDAÑO ALARCON,PARTIDO CONSERVADOR COLOMBIANO,101538
Concejo,BOYACA,EL COCUY,JAIRO ALONSO RICO ARAQUE,PARTIDO CONSERVADOR COLOMBIANO,101542
Concejo,BOYACA,EL COCUY,JAIRO HUMBERTO CARREÑO MORA,PARTIDO LIBERAL COLOMBIANO,101525
Concejo,BOYACA,EL COCUY,JHON ALEJANDRO MUÑOZ BAREÑO,PARTIDO LIBERAL COLOMBIANO,101528
Concejo,BOYACA,EL COCUY,JUAN DE JESUS HERRERA PANQUEBA,PARTIDO CENTRO DEMOCRATICO,101531
Concejo,BOYACA,EL COCUY,LEONOR  DIAZ QUINTERO,PARTIDO LIBERAL COLOMBIANO,101522
Concejo,BOYACA,EL COCUY,LUIS ALEJANDRO BLANCO DUARTE,PARTIDO LIBERAL COLOMBIANO,101521
Concejo,BOYACA,EL COCUY,LUIS GERMAN MORA BAREÑO,PARTIDO CENTRO DEMOCRATICO,101532
Concejo,BOYACA,EL COCUY,MARIA ELENA BAEZ MORA,PARTIDO CONSERVADOR COLOMBIANO,101537
Concejo,BOYACA,EL COCUY,MARIA EUGENIA BUITRAGO JAIME,PARTIDO LIBERAL COLOMBIANO,101523
Concejo,BOYACA,EL COCUY,MARTHA LUCIA REYES LEAL,PARTIDO CENTRO DEMOCRATICO,101533
Concejo,BOYACA,EL COCUY,MYRIAM LEONOR LEAL BLANCO,PARTIDO CONSERVADOR COLOMBIANO,101539
Concejo,BOYACA,EL COCUY,OMAR  DIAZ MARTINEZ,PARTIDO LIBERAL COLOMBIANO,101527
Concejo,BOYACA,EL COCUY,PEDRO IGNACIO BARON MORA,PARTIDO CENTRO DEMOCRATICO,101534
Concejo,BOYACA,EL COCUY,WILLIAN ORLANDO ROMERO BAUTISTA,PARTIDO CONSERVADOR COLOMBIANO,101541
Concejo,BOYACA,EL COCUY,WILMER ALEXANDER VELANDIA MORA,PARTIDO CENTRO DEMOCRATICO,101535
