corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,GARAGOA,ALBERT LADINO RODRIGUEZ GONZALEZ,PARTIDO LIBERAL COLOMBIANO,94848
Concejo,BOYACA,GARAGOA,ANA BENILDA CIPRIAN VACCA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94867
Concejo,BOYACA,GARAGOA,ANA GRACIELA CUERVO DE VERGARA,PARTIDO CAMBIO RADICAL,94884
Concejo,BOYACA,GARAGOA,ANGI CATHERIN FERNANDEZ TORRES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94861
Concejo,BOYACA,GARAGOA,AURA ESPERANZA MOJICA GALINDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,94909
Concejo,BOYACA,GARAGOA,AYERIM DANITSSA SANCHEZ CORTES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,94911
Concejo,BOYACA,GARAGOA,BEIMAR  RAMOS PEÑA,PARTIDO ALIANZA VERDE,94898
Concejo,BOYACA,GARAGOA,BETTY  USCATIGUE TORRES,PARTIDO CENTRO DEMOCRATICO,94855
Concejo,BOYACA,GARAGOA,CARLOS ANTONIO PINEDA GAMBA,PARTIDO LIBERAL COLOMBIANO,94849
Concejo,BOYACA,GARAGOA,CAROLINA  HERNANDEZ LONDOÑO,PARTIDO CAMBIO RADICAL,94889
Concejo,BOYACA,GARAGOA,CESAR HUMBERTO DAZA FULA,PARTIDO LIBERAL COLOMBIANO,94845
Concejo,BOYACA,GARAGOA,CLARENA  FARFAN NIÑO,PARTIDO CONSERVADOR COLOMBIANO,94880
Concejo,BOYACA,GARAGOA,CLAUDIA JANETH MONTAÑEZ FERNANDEZ,PARTIDO LIBERAL COLOMBIANO,94842
Concejo,BOYACA,GARAGOA,DIANA MARCELA MARTINEZ ,PARTIDO ADA,94871
Concejo,BOYACA,GARAGOA,DIANA MILEIDY PARRA SUAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94868
Concejo,BOYACA,GARAGOA,DIEGO ALEJANDRO ROA MONTENEGRO,PARTIDO CENTRO DEMOCRATICO,94857
Concejo,BOYACA,GARAGOA,DUBAN ORLANDO RIVERA ROA,PARTIDO ALIANZA VERDE,94894
Concejo,BOYACA,GARAGOA,ELCIDIA  MORA DIAZ,PARTIDO CAMBIO RADICAL,94885
Concejo,BOYACA,GARAGOA,ELENA YORLENY SANCHEZ BOLIVAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,94915
Concejo,BOYACA,GARAGOA,ELIAS ANTONIO CUBIDES MONROY,PARTIDO ALIANZA VERDE,94900
Concejo,BOYACA,GARAGOA,EMMANUEL RICARDO VILLA TEJEDOR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,94916
Concejo,BOYACA,GARAGOA,ERIKA DE YANNIRA RAIGOSO AVILA,PARTIDO LIBERAL COLOMBIANO,94841
Concejo,BOYACA,GARAGOA,FABIO  VARGAS CRISTANCHO,PARTIDO CENTRO DEMOCRATICO,94851
Concejo,BOYACA,GARAGOA,FARITH SAAC GARCIA PORRAS,PARTIDO CENTRO DEMOCRATICO,94856
Concejo,BOYACA,GARAGOA,FRANCY MILENA BOHORQUEZ COLMENARES,PARTIDO ALIANZA VERDE,94901
Concejo,BOYACA,GARAGOA,GILDARWIN ARNOLDO RINCON RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94862
Concejo,BOYACA,GARAGOA,GLADYS YESENIA PINTO MORALES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94869
Concejo,BOYACA,GARAGOA,HARVEY LEONARDO MILLAN CELIS,PARTIDO ALIANZA VERDE,94899
Concejo,BOYACA,GARAGOA,HECTOR JULIO FERNANDEZ ALFONSO,PARTIDO CONSERVADOR COLOMBIANO,94879
Concejo,BOYACA,GARAGOA,HECTOR JULIO SANABRIA VERA,PARTIDO CAMBIO RADICAL,94890
Concejo,BOYACA,GARAGOA,JAIME ALEXANDER LESMES ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,94910
Concejo,BOYACA,GARAGOA,JAIME HUMBERTO GAMBA MORA,PARTIDO ALIANZA VERDE,94892
Concejo,BOYACA,GARAGOA,JORGE  ROA RUIZ,PARTIDO CENTRO DEMOCRATICO,94858
Concejo,BOYACA,GARAGOA,JORGE ENRIQUE LESMES ROMERO,PARTIDO POLITICO MIRA,94903
Concejo,BOYACA,GARAGOA,JORGE HONORIO CUESTA ALFONSO,PARTIDO ALIANZA VERDE,94891
Concejo,BOYACA,GARAGOA,JORGE LUIS VEGA PARRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94863
Concejo,BOYACA,GARAGOA,JOSE ELEUTERIO PEÑA RIVERA,PARTIDO CONSERVADOR COLOMBIANO,94878
Concejo,BOYACA,GARAGOA,JOSE EVANGELISTA GAMBA MORA,PARTIDO CAMBIO RADICAL,94888
Concejo,BOYACA,GARAGOA,JOSE ROBERTO VARGAS TOLOZA,PARTIDO CONSERVADOR COLOMBIANO,94874
Concejo,BOYACA,GARAGOA,JUAN CAMILO BERNAL RUIZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94860
Concejo,BOYACA,GARAGOA,KAREN ASTRID VEGA JIMENEZ,PARTIDO POLITICO MIRA,94902
Concejo,BOYACA,GARAGOA,LAURA JULIANA BERNAL OLMOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,94912
Concejo,BOYACA,GARAGOA,LINA FAIDY VANEGAS FIGUEREDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94864
Concejo,BOYACA,GARAGOA,LUIS EULOGIO NIETO SANCHEZ,PARTIDO CENTRO DEMOCRATICO,94850
Concejo,BOYACA,GARAGOA,LUIS MIGUEL CASTILLO RUBIANO,PARTIDO ADA,94873
Concejo,BOYACA,GARAGOA,MARCO JULIO RAMIREZ FANDIÑO,PARTIDO CENTRO DEMOCRATICO,94853
Concejo,BOYACA,GARAGOA,MARCO TULIO AVILA LEGUIZAMON,PARTIDO ADA,94870
Concejo,BOYACA,GARAGOA,MARIA ALIED GUERRERO SARMIENTO,PARTIDO CONSERVADOR COLOMBIANO,94875
Concejo,BOYACA,GARAGOA,MARIA AURORA PEÑA VILLAMIL,PARTIDO CAMBIO RADICAL,94887
Concejo,BOYACA,GARAGOA,MARIA HERCILIA LEON TORRES,PARTIDO CENTRO DEMOCRATICO,94854
Concejo,BOYACA,GARAGOA,MARIA STELLA VACA MORALES,PARTIDO POLITICO MIRA,94904
Concejo,BOYACA,GARAGOA,MARIA VIVIANA ACOSTA MARTINEZ,PARTIDO ALIANZA VERDE,94897
Concejo,BOYACA,GARAGOA,MARIO HUMBERTO BARRETO VERA,PARTIDO CAMBIO RADICAL,94886
Concejo,BOYACA,GARAGOA,MARTHA JUDITH RODRIGUEZ AVILA,PARTIDO ADA,94872
Concejo,BOYACA,GARAGOA,MARTHA YANETH SEGURA CONTRERAS,PARTIDO ALIANZA VERDE,94896
