corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,GUATEQUE,ALVARO ORLANDO PEREZ GORDILLO,PARTIDO CENTRO DEMOCRATICO,94962
Concejo,BOYACA,GUATEQUE,ANA LUISA ACOSTA PIEDRAHITA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95017
Concejo,BOYACA,GUATEQUE,ANDRES FERNANDO MENDOZA GARZON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95015
Concejo,BOYACA,GUATEQUE,ANGELA MARCELA TORRES PINTO,PARTIDO CAMBIO RADICAL,94995
Concejo,BOYACA,GUATEQUE,ANGELICA JANETH ALFONSO MARROQUIN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94972
Concejo,BOYACA,GUATEQUE,BLANCA CECILIA CARRANZA RUIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95033
Concejo,BOYACA,GUATEQUE,CAMPO ELIAS BERNAL JIMENEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94975
Concejo,BOYACA,GUATEQUE,CARLOS ANDRES HERNANDEZ ,PARTIDO CAMBIO RADICAL,94997
Concejo,BOYACA,GUATEQUE,CARLOS EDUARDO MARTINEZ DONCEL,PARTIDO LIBERAL COLOMBIANO,94952
Concejo,BOYACA,GUATEQUE,CARLOS FABIAN ALDANA TRIBALDOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94976
Concejo,BOYACA,GUATEQUE,CARLOS FABIAN BOHORQUEZ LEON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95029
Concejo,BOYACA,GUATEQUE,CARMENZA  HERMIDA ASTUDILLO,PARTIDO CAMBIO RADICAL,94996
Concejo,BOYACA,GUATEQUE,CLAUDIA  CORREDOR DIAZ,PARTIDO ALIANZA VERDE,95004
Concejo,BOYACA,GUATEQUE,CONCEPCION  ROA LOPEZ,PARTIDO CENTRO DEMOCRATICO,94969
Concejo,BOYACA,GUATEQUE,CRISTIAN ANDRES SANCHEZ ALFONSO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94971
Concejo,BOYACA,GUATEQUE,DARIO ARMANDO FANDIÑO MARTINEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,95034
Concejo,BOYACA,GUATEQUE,DIANA MILENA BERNAL GUACHETA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94980
Concejo,BOYACA,GUATEQUE,EDGAR ORLANDO RODRIGUEZ BERNAL,PARTIDO ALIANZA VERDE,95010
Concejo,BOYACA,GUATEQUE,EDWIN ROLANDO NIETO PINTO,PARTIDO CAMBIO RADICAL,94994
Concejo,BOYACA,GUATEQUE,EMILIANO  PARRA CASTAÑEDA,PARTIDO CENTRO DEMOCRATICO,94961
Concejo,BOYACA,GUATEQUE,ERIKA ALEXANDRA NIETO PRECIADO,PARTIDO LIBERAL COLOMBIANO,94957
Concejo,BOYACA,GUATEQUE,ERNEY GONZALO RAMOS GUATAQUIRA,PARTIDO ALIANZA VERDE,95007
Concejo,BOYACA,GUATEQUE,FABIAN LEONARDO ESQUIVEL RAMIREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95013
Concejo,BOYACA,GUATEQUE,FERNEY YECID NIÑO MONTAÑEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94974
Concejo,BOYACA,GUATEQUE,FLOR NANCY ALVARADO SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95027
Concejo,BOYACA,GUATEQUE,GERMAN ARIEL LOAIZA SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95032
Concejo,BOYACA,GUATEQUE,GIOVANNY  MONTENEGRO CASTRO,PARTIDO CONSERVADOR COLOMBIANO,94988
Concejo,BOYACA,GUATEQUE,GRACIELA  ROA PIRATEQUE,PARTIDO ALIANZA VERDE,95011
Concejo,BOYACA,GUATEQUE,GUSTAVO ARIEL SARMIENTO RUIZ,PARTIDO LIBERAL COLOMBIANO,94955
Concejo,BOYACA,GUATEQUE,HECTOR ELIAS MORALES MORENO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95020
Concejo,BOYACA,GUATEQUE,HEIDA YINNET ALFONSO CELIS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95030
Concejo,BOYACA,GUATEQUE,HOLMAN AURELIO MORALES BALLESTEROS,PARTIDO ALIANZA VERDE,95012
Concejo,BOYACA,GUATEQUE,HUGO HENRY RUIZ VARGAS,PARTIDO ALIANZA VERDE,95003
Concejo,BOYACA,GUATEQUE,IGNACIO ANTONIO SUAREZ SANCHEZ,PARTIDO CONSERVADOR COLOMBIANO,94981
Concejo,BOYACA,GUATEQUE,IVAN DARIO HERNANDEZ MONDRAGON,PARTIDO CENTRO DEMOCRATICO,94965
Concejo,BOYACA,GUATEQUE,IVETH ALEJANDRA CASTAÑEDA VARGAS,PARTIDO ALIANZA VERDE,95008
Concejo,BOYACA,GUATEQUE,JAIME ALIRIO DIAZ MARTIN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,94978
Concejo,BOYACA,GUATEQUE,JAIRO MIGUEL MUÑOZ BUITRAGO,PARTIDO CENTRO DEMOCRATICO,94967
Concejo,BOYACA,GUATEQUE,JEFFERSON DAMIAN GARZON MARTINEZ,PARTIDO CENTRO DEMOCRATICO,94959
