corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,GUAYATA,ALIRIO HERNANDO SANCHEZ GARZON,PARTIDO ALIANZA VERDE,95079
Concejo,BOYACA,GUAYATA,AMPARO  MARTINEZ CASTRO,PARTIDO CAMBIO RADICAL,95071
Concejo,BOYACA,GUAYATA,ANA IRENE BARRETO GUTIERREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95091
Concejo,BOYACA,GUAYATA,ANA JANETH CABALLERO SANCHEZ,PARTIDO LIBERAL COLOMBIANO,95037
Concejo,BOYACA,GUAYATA,ANGIE KATERINE BUITRAGO BUITRAGO,PARTIDO ALIANZA VERDE,95080
Concejo,BOYACA,GUAYATA,ARNULFO  MARTINEZ PRIETO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95088
Concejo,BOYACA,GUAYATA,BERTA BELEN PIÑEROS DE DUEÑAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95086
Concejo,BOYACA,GUAYATA,BLANCA ALICIA ZAMBRANO PINTO,PARTIDO CENTRO DEMOCRATICO,95045
Concejo,BOYACA,GUAYATA,CAMPO ELIAS GUTIERREZ DAZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95090
Concejo,BOYACA,GUAYATA,CLAUDIA MILENA PINTO HERRERA,PARTIDO CONSERVADOR COLOMBIANO,95069
Concejo,BOYACA,GUAYATA,CLAUDIA PAOLA MENDEZ HERNANDEZ,PARTIDO CAMBIO RADICAL,95073
Concejo,BOYACA,GUAYATA,DAGO  VARGAS DIAZ,PARTIDO CONSERVADOR COLOMBIANO,95066
Concejo,BOYACA,GUAYATA,DAVID SANTIAGO PIÑEROS GOMEZ,PARTIDO CENTRO DEMOCRATICO,95047
Concejo,BOYACA,GUAYATA,DIELITH NORALDI CASTRO GUANAY,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95054
Concejo,BOYACA,GUAYATA,DILMA ELSA PIÑEROS ROMERO,PARTIDO LIBERAL COLOMBIANO,95041
Concejo,BOYACA,GUAYATA,DILMA ISABEL RAMIREZ GORDILLO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95053
Concejo,BOYACA,GUAYATA,EDGAR HERNANDO LOPEZ MARTIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95084
Concejo,BOYACA,GUAYATA,ELVIA MARIA NOVOA RAMOS,PARTIDO LIBERAL COLOMBIANO,95039
Concejo,BOYACA,GUAYATA,FAVIAN MAURICIO LEON BUITRAGO,PARTIDO CONSERVADOR COLOMBIANO,95065
Concejo,BOYACA,GUAYATA,FREDY ALBEIRO PINTO ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95085
Concejo,BOYACA,GUAYATA,GERMAN ALIRIO MESA ZAMBRANO,PARTIDO LIBERAL COLOMBIANO,95042
