corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,GUICAN,ADRIANA ROCIO LOPEZ BARRERA,PARTIDO CONSERVADOR COLOMBIANO,95119
Concejo,BOYACA,GUICAN,ALONSO  BARRERA VELANDIA,PARTIDO COLOMBIA JUSTA LIBRES,95116
Concejo,BOYACA,GUICAN,ANDRES GILDARDO SINSIGA PATIÑO,PARTIDO ALIANZA VERDE,95131
Concejo,BOYACA,GUICAN,ANGELA MARCELA SANCHEZ CORREA,PARTIDO ALIANZA VERDE,95135
Concejo,BOYACA,GUICAN,ANJIE PAOLA CARREÑO GARCIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95136
Concejo,BOYACA,GUICAN,ARTURO  VELANDIA MUÑOZ,PARTIDO CENTRO DEMOCRATICO,95096
Concejo,BOYACA,GUICAN,AURA LUCILA COCUNUBO VELANDIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95107
Concejo,BOYACA,GUICAN,BLANCA INES SANTISTEBAN ,PARTIDO CAMBIO RADICAL,95125
Concejo,BOYACA,GUICAN,CARLOS JAVIER NIÑO COCUNUBO,PARTIDO CAMBIO RADICAL,95126
Concejo,BOYACA,GUICAN,CARLOS JULIO BARON SUESCUN,PARTIDO CAMBIO RADICAL,95128
Concejo,BOYACA,GUICAN,CARMEN JULIO ROJAS ,PARTIDO CENTRO DEMOCRATICO,95097
Concejo,BOYACA,GUICAN,CELEDONIO  SANTISTEBAN MUÑOZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95103
Concejo,BOYACA,GUICAN,CLODOMIRO  PEREZ LIZARAZO,PARTIDO CONSERVADOR COLOMBIANO,95123
Concejo,BOYACA,GUICAN,DIANA LISSNELLY HERRERA OLIVOS,PARTIDO ALIANZA VERDE,95130
Concejo,BOYACA,GUICAN,ELMA ROCIO CARRILLO PEREZ,PARTIDO CAMBIO RADICAL,95127
Concejo,BOYACA,GUICAN,ERICK NICOLAS MENDEZ VILLARREAL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95137
Concejo,BOYACA,GUICAN,FRANCY LILIANA BUITRAGO VALBUENA,PARTIDO CENTRO DEMOCRATICO,95095
Concejo,BOYACA,GUICAN,HECTOR  MUÑOZ BRAVO,PARTIDO COLOMBIA JUSTA LIBRES,95110
Concejo,BOYACA,GUICAN,IMELDA DEL PILAR SILVA BLANCO,PARTIDO CONSERVADOR COLOMBIANO,95117
Concejo,BOYACA,GUICAN,JESUS EMILIO NIÑO MUÑOZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95104
Concejo,BOYACA,GUICAN,JORGE HERNANDO CARREÑO NUÑEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95141
Concejo,BOYACA,GUICAN,JOSE ALFREDO CARRERO BARON,PARTIDO CENTRO DEMOCRATICO,95092
Concejo,BOYACA,GUICAN,JUAN FELIX SANTISTEBAN MUÑOZ,PARTIDO CAMBIO RADICAL,95124
