corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,JERICO,BRENDA LILIANA MEDINA GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95283
Concejo,BOYACA,JERICO,CARLOS HUMBERTO NIÑO VILLAMARIN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95244
Concejo,BOYACA,JERICO,CARMEN SAIDA DUARTE FUENTES,PARTIDO ALIANZA VERDE,95268
Concejo,BOYACA,JERICO,CESAR JIMENO ROJAS MEJIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95247
Concejo,BOYACA,JERICO,CLAUDIA ESMIDT JOYA MEJIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95248
Concejo,BOYACA,JERICO,CRISOSTOMO  FONSECA GARCIA,PARTIDO ALIANZA VERDE,95270
Concejo,BOYACA,JERICO,DEICY ELENA OBANDO SANTISTEBAN,PARTIDO CENTRO DEMOCRATICO,95243
Concejo,BOYACA,JERICO,DIRIAN  BARRERA BAEZ,PARTIDO CENTRO DEMOCRATICO,95237
Concejo,BOYACA,JERICO,DORA ELENA SIABATO GOMEZ,PARTIDO ALIANZA VERDE,95267
Concejo,BOYACA,JERICO,EDIL ALFONSO GOMEZ LIZARAZO,PARTIDO CAMBIO RADICAL,95258
Concejo,BOYACA,JERICO,EDWIN  AMAYA TRIANA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95246
Concejo,BOYACA,JERICO,ELKIN ERASMO VARGAS SANDOVAL,PARTIDO ALIANZA VERDE,95269
Concejo,BOYACA,JERICO,EVANGELINA  ORMAZA NIÑO,PARTIDO CENTRO DEMOCRATICO,95242
Concejo,BOYACA,JERICO,FANY CONSUELO SILVA DURAN,PARTIDO CONSERVADOR COLOMBIANO,95256
Concejo,BOYACA,JERICO,GEORGINA  PAREDES CORDERO,PARTIDO CONSERVADOR COLOMBIANO,95253
Concejo,BOYACA,JERICO,HERNANDO ANTONIO CASTAÑEDA SAENZ,PARTIDO ALIANZA VERDE,95266
Concejo,BOYACA,JERICO,JAIME HUMBERTO FUENTES VARGAS,PARTIDO CONSERVADOR COLOMBIANO,95252
Concejo,BOYACA,JERICO,JOAQUIN ALBERTO GOMEZ FUENTES,PARTIDO CENTRO DEMOCRATICO,95240
Concejo,BOYACA,JERICO,JORGE ELIECER RINCON VARGAS,PARTIDO ALIANZA VERDE,95265
Concejo,BOYACA,JERICO,JOSE ADRIANO FUENTES GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95279
Concejo,BOYACA,JERICO,JOSE ALBERTO VARGAS PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95278
Concejo,BOYACA,JERICO,JOSE JOAQUIN GOMEZ MALAGON,PARTIDO CAMBIO RADICAL,95261
Concejo,BOYACA,JERICO,JOSE MIGUEL LOPEZ GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,95254
Concejo,BOYACA,JERICO,JUAN  ROMERO CUEVAS,PARTIDO CAMBIO RADICAL,95260
Concejo,BOYACA,JERICO,LUIS ARGENIS FUENTES GOMEZ,PARTIDO CENTRO DEMOCRATICO,95239
Concejo,BOYACA,JERICO,LUIS ENRIQUE DUARTE DURAN,PARTIDO CENTRO DEMOCRATICO,95238
Concejo,BOYACA,JERICO,LUZ MABEL SIABATO BENITEZ,PARTIDO CONSERVADOR COLOMBIANO,95257
Concejo,BOYACA,JERICO,MARIA DEL CARMEN CUEVAS LIZARAZO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95284
Concejo,BOYACA,JERICO,MARIA ELIZABETH COGOLLO COBOS,PARTIDO CAMBIO RADICAL,95263
Concejo,BOYACA,JERICO,MARYI ALEXIS LAVACUDE SANDOVAL,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95249
Concejo,BOYACA,JERICO,MIREYA  MARIN ROMERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95273
Concejo,BOYACA,JERICO,NANCY DEL CARMEN RAMIREZ ESPINOSA,PARTIDO CENTRO DEMOCRATICO,95241
Concejo,BOYACA,JERICO,NELLY ISABEL ESPINOSA MENDIVELSO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95275
Concejo,BOYACA,JERICO,NUBIA PEPA PEREZ BARRERA,PARTIDO CAMBIO RADICAL,95264
Concejo,BOYACA,JERICO,OMAR ARTURO LIZARAZO MARIN,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95274
Concejo,BOYACA,JERICO,ORLANDO  PELAYO MURILLO,PARTIDO CONSERVADOR COLOMBIANO,95251
Concejo,BOYACA,JERICO,PABLO ENOC PELAYO CUEVAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95277
Concejo,BOYACA,JERICO,SANDRA MILENA CALDERON GOMEZ,PARTIDO CAMBIO RADICAL,95262
Concejo,BOYACA,JERICO,SIBEL  SANTISTEVAN RIAÑO,PARTIDO CONSERVADOR COLOMBIANO,95255
Concejo,BOYACA,JERICO,TANIA BRIGITTE LOPEZ SANDOVAL,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95250
Concejo,BOYACA,JERICO,VICTOR ALFONSO SEPULVEDA PELAYO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95276
Concejo,BOYACA,JERICO,WEIMAR HUMBERTO PAREDES PELAYO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95245
Concejo,BOYACA,JERICO,WILLIAM ALEXANDER SANTIESTEBAN PANQUEVA,PARTIDO CAMBIO RADICAL,95259
Concejo,BOYACA,JERICO,WILLIAM EDILBERTO ROJAS MEJIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95281
Concejo,BOYACA,JERICO,WILMER NICOLAS MONTOYA PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95280
Concejo,BOYACA,JERICO,WILSSON  GOMEZ FONSECA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95272
Concejo,BOYACA,JERICO,YENNY DIORLEY SILVA CETINA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95271
Concejo,BOYACA,JERICO,YENY DANIELA GOMEZ SUA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95282
