corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,MACANAL,ALIRIO  PERILLA GONZALEZ,PARTIDO ALIANZA VERDE,95614
Concejo,BOYACA,MACANAL,DAYANNA LIZETH ARTUNDUAGA MONTAÑEZ,PARTIDO ALIANZA VERDE,95618
Concejo,BOYACA,MACANAL,DORALBA  GARZON PINEDA,PARTIDO CENTRO DEMOCRATICO,95604
Concejo,BOYACA,MACANAL,EDGAR DAVID MORA COLMENARES,PARTIDO CENTRO DEMOCRATICO,95603
Concejo,BOYACA,MACANAL,HENRY  AVILA BARAHONA,PARTIDO CENTRO DEMOCRATICO,95605
Concejo,BOYACA,MACANAL,JOSE ALONSO GONZALEZ ANGEL,PARTIDO ALIANZA VERDE,95617
Concejo,BOYACA,MACANAL,JOSE PORFIRIO MORA ROMERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95624
Concejo,BOYACA,MACANAL,JUAN DE DIOS VACA MARTIN,PARTIDO CENTRO DEMOCRATICO,95608
Concejo,BOYACA,MACANAL,LAURA KATHERINE MONROY CUBIDES,PARTIDO CENTRO DEMOCRATICO,95606
Concejo,BOYACA,MACANAL,LEIDY PATRICIA CANO AVILA,PARTIDO CONSERVADOR COLOMBIANO,95609
Concejo,BOYACA,MACANAL,LIBARDO ANDREY CUBIDES ALFONSO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95621
Concejo,BOYACA,MACANAL,LUIS ALBERTO ALFONSO ROMERO,PARTIDO CONSERVADOR COLOMBIANO,95610
Concejo,BOYACA,MACANAL,LUIS ANTONIO CASTILLO PEÑA,PARTIDO CONSERVADOR COLOMBIANO,95611
Concejo,BOYACA,MACANAL,MELIDA  SALAZAR FRANCO,PARTIDO CONSERVADOR COLOMBIANO,95613
Concejo,BOYACA,MACANAL,MERY  DAZA ROMERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95623
Concejo,BOYACA,MACANAL,MIYER HARVEY SALGUERO SALGADO,PARTIDO CONSERVADOR COLOMBIANO,95612
Concejo,BOYACA,MACANAL,NELSON DARIO VEGA BOHORQUEZ,PARTIDO CENTRO DEMOCRATICO,95607
Concejo,BOYACA,MACANAL,NORBERTO  FORERO TOLOZA,PARTIDO ALIANZA VERDE,95620
Concejo,BOYACA,MACANAL,ROBERTO ANTONIO AVILA SANDOVAL,PARTIDO ALIANZA VERDE,95616
Concejo,BOYACA,MACANAL,ROSALBA  VANEGAS LOPEZ,PARTIDO ALIANZA VERDE,95619
Concejo,BOYACA,MACANAL,YEIMY CATERINE TOLOSA ROA,PARTIDO CENTRO DEMOCRATICO,95602
Concejo,BOYACA,MACANAL,YEIMY LIZETH ACEVEDO DAZA,PARTIDO ALIANZA VERDE,95615
Concejo,BOYACA,MACANAL,YENY CAROLINA LEGUIZAMON PERILLA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95622
