corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,MIRAFLORES,ALICIA JUDITH RUBIANO SIERRA,PARTIDO CAMBIO RADICAL,95689
Concejo,BOYACA,MIRAFLORES,ALVARO  GOMEZ MEJIA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,95669
Concejo,BOYACA,MIRAFLORES,ANA LUCIA GUERRERO GUASCO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95712
Concejo,BOYACA,MIRAFLORES,BEATRIZ  SALAMANCA CASTELBLANCO,PARTIDO ALIANZA VERDE,95699
Concejo,BOYACA,MIRAFLORES,BEYER  PIÑEROS ALFONSO,PARTIDO CAMBIO RADICAL,95685
Concejo,BOYACA,MIRAFLORES,BLANCA INES CRUZ BUITRAGO,PARTIDO ALIANZA VERDE,95697
Concejo,BOYACA,MIRAFLORES,CARLOS ANDRES AREVALO CANO,PARTIDO ALIANZA VERDE,95701
Concejo,BOYACA,MIRAFLORES,CARLOS ANDRES CRISTANCHO ORJUELA,PARTIDO COLOMBIA RENACIENTE,95683
Concejo,BOYACA,MIRAFLORES,CARMEN MILENA LESMES CASTAÑEDA,PARTIDO CAMBIO RADICAL,95687
Concejo,BOYACA,MIRAFLORES,CAROLINA  RUIZ HUERTAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95707
Concejo,BOYACA,MIRAFLORES,CIRO ANTONIO ROA MARTINEZ,PARTIDO ALIANZA VERDE,95700
Concejo,BOYACA,MIRAFLORES,CLAUDIA PATRICIA CUBIDES GUERRA,PARTIDO LIBERAL COLOMBIANO,95659
Concejo,BOYACA,MIRAFLORES,CRISTIAN GUILLERMO ROJAS ESQUIVEL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95716
Concejo,BOYACA,MIRAFLORES,CRISTIAN HUMBERTO ALFONSO LANCHEROS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95708
Concejo,BOYACA,MIRAFLORES,CRISTINA  SANCHEZ ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95714
Concejo,BOYACA,MIRAFLORES,DANEY MILENA ROA RODRIGUEZ,PARTIDO COLOMBIA JUSTA LIBRES,95672
Concejo,BOYACA,MIRAFLORES,DERINCE  OROZCO CORREA,PARTIDO COLOMBIA JUSTA LIBRES,95673
Concejo,BOYACA,MIRAFLORES,DIEGO ALBERTO VEGA SOLER,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95710
Concejo,BOYACA,MIRAFLORES,DIEGO ENRIQUE GARCIA VARGAS,PARTIDO COLOMBIA RENACIENTE,95680
Concejo,BOYACA,MIRAFLORES,EDWIN HERNANDO MARTINEZ DAZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95717
Concejo,BOYACA,MIRAFLORES,EDWIN RAFAEL VARGAS MENDOZA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95702
Concejo,BOYACA,MIRAFLORES,ELSY EMERITA GAMEZ MONTAÑA,PARTIDO COLOMBIA RENACIENTE,95678
Concejo,BOYACA,MIRAFLORES,ERIKA PAOLA BARRERA GAMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95715
