corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,MONIQUIRA,ABEL  ARIZA ANGULO,PARTIDO LIBERAL COLOMBIANO,95892
Concejo,BOYACA,MONIQUIRA,ALBA YANETH SAENZ FORERO,PARTIDO CENTRO DEMOCRATICO,95911
Concejo,BOYACA,MONIQUIRA,ALBERTO  RODRIGUEZ BUITRAGO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95995
Concejo,BOYACA,MONIQUIRA,ALEJANDRO  SOTO ZULETA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95922
Concejo,BOYACA,MONIQUIRA,ANA KATHERINNE VELA BELTRAN,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,95938
Concejo,BOYACA,MONIQUIRA,ANA VICTORIA SAENZ PINZON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95982
Concejo,BOYACA,MONIQUIRA,ANAYIVE  GUERRERO SUAREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95980
Concejo,BOYACA,MONIQUIRA,ANDRES CAMILO MONROY SAAVEDRA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,95933
Concejo,BOYACA,MONIQUIRA,ANGEL ISIDRO GUTIERREZ GUERRERO,PARTIDO CONSERVADOR COLOMBIANO,95954
Concejo,BOYACA,MONIQUIRA,ARISTOBULO  MAYORGA CASTRO,PARTIDO CAMBIO RADICAL,95965
Concejo,BOYACA,MONIQUIRA,BELIN OLIMPO SUAREZ GONZALEZ,ALIANZA POR LA MONIQUIRA QUE QUEREMOS,96002
Concejo,BOYACA,MONIQUIRA,BERCELY  TIPAZOCA MALAGON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95924
Concejo,BOYACA,MONIQUIRA,BETSABE  GAMBOA MARTINEZ,PARTIDO CENTRO DEMOCRATICO,95903
Concejo,BOYACA,MONIQUIRA,BLANCA ESTRELLA BAUTISTA TORRES,PARTIDO CAMBIO RADICAL,95959
Concejo,BOYACA,MONIQUIRA,BRAYAM ANDRES PEREZ LARA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,95936
Concejo,BOYACA,MONIQUIRA,CAMPO ELIAS AMADOR BELTRAN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95913
Concejo,BOYACA,MONIQUIRA,CARLOS ANDRES SOLORZANO RAMIREZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,95940
Concejo,BOYACA,MONIQUIRA,CARLOS ANDRES VELANDIA SUPELANO,PARTIDO LIBERAL COLOMBIANO,95891
Concejo,BOYACA,MONIQUIRA,CARLOS EDUARDO SAENZ VANEGAS,ALIANZA POR LA MONIQUIRA QUE QUEREMOS,96001
Concejo,BOYACA,MONIQUIRA,CARLOS JAVIER ARIZA CHINOME,PARTIDO ALIANZA VERDE,95974
Concejo,BOYACA,MONIQUIRA,CARLOS MAURICIO LEON JIMENEZ,PARTIDO ALIANZA VERDE,95967
Concejo,BOYACA,MONIQUIRA,CARMEN PUREZA QUIROGA ROMERO,PARTIDO ALIANZA VERDE,95977
Concejo,BOYACA,MONIQUIRA,CESAR AUGUSTO ULLOA BUITRAGO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95988
Concejo,BOYACA,MONIQUIRA,CLEMENCIA  SOLORZANO MAYORGA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95918
Concejo,BOYACA,MONIQUIRA,DAVID SANTIAGO ANGARITA MOJICA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,95937
Concejo,BOYACA,MONIQUIRA,DAYANNE  NARCISO URAZAN,PARTIDO CAMBIO RADICAL,95958
Concejo,BOYACA,MONIQUIRA,DEISY  RIVERA RUEDA,PARTIDO CAMBIO RADICAL,95962
Concejo,BOYACA,MONIQUIRA,DEISY YESMITH LEON CASTILLO,PARTIDO LIBERAL COLOMBIANO,95893
Concejo,BOYACA,MONIQUIRA,DEYANIRA  GARAVITO ESPINEL,PARTIDO CENTRO DEMOCRATICO,95912
Concejo,BOYACA,MONIQUIRA,DIANA  GUERRERO RUBIANO,PARTIDO ALIANZA VERDE,95972
Concejo,BOYACA,MONIQUIRA,DIANA CAROLINA PULGARIN COY,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95996
Concejo,BOYACA,MONIQUIRA,DIANA MARIA MOTTA PINZON,PARTIDO CENTRO DEMOCRATICO,95904
Concejo,BOYACA,MONIQUIRA,DIANA PAOLA GUATIBONZA CASTRO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95999
Concejo,BOYACA,MONIQUIRA,EDGAR  LEON FUENTES,ALIANZA POR LA MONIQUIRA QUE QUEREMOS,96010
Concejo,BOYACA,MONIQUIRA,EDWIN FERNANDO DIAGAMA BAUTISTA,ALIANZA POR LA MONIQUIRA QUE QUEREMOS,96007
Concejo,BOYACA,MONIQUIRA,ERIKA JULIETH RIAÑO PARRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95917
Concejo,BOYACA,MONIQUIRA,FABIO ROBERTO ACUÑA SANCHEZ,PARTIDO CENTRO DEMOCRATICO,95907
Concejo,BOYACA,MONIQUIRA,FELIPE  TORRES GONZALEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,95986
Concejo,BOYACA,MONIQUIRA,FERNANDO  PORRAS HURTADO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,95941
Concejo,BOYACA,MONIQUIRA,FRANCISCO ELADIO TELLEZ SANTAMARIA,PARTIDO LIBERAL COLOMBIANO,95888
Concejo,BOYACA,MONIQUIRA,GENFREE CAMILA PARDO PALACIOS,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,95939
Concejo,BOYACA,MONIQUIRA,GENNY LIZETH ESPINOSA SAENZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95916
Concejo,BOYACA,MONIQUIRA,GENNY PAOLA SALAZAR AVILA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,95993
Concejo,BOYACA,MONIQUIRA,GERARDO NICOLAS PINZON RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,95953
Concejo,BOYACA,MONIQUIRA,GIL MARIA PINZON PINZON,PARTIDO LIBERAL COLOMBIANO,95898
Concejo,BOYACA,MONIQUIRA,GONZALO  CADENA GUTIERREZ,PARTIDO CAMBIO RADICAL,95964
Concejo,BOYACA,MONIQUIRA,HAROLD ALEXANDER ARIAS GONZALEZ,PARTIDO CENTRO DEMOCRATICO,95900
Concejo,BOYACA,MONIQUIRA,HECTOR FABIO RENGIFO RENDON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,95914
