corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,PAIPA,ABEL  HOSTOS CORREDOR,PARTIDO ALIANZA VERDE,96658
Concejo,BOYACA,PAIPA,ALEJANDRA  ARIAS MORALES,PAIPA IDEAL,96679
Concejo,BOYACA,PAIPA,ALICIA  RICO MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,96628
Concejo,BOYACA,PAIPA,ANA DELMIRA ROJAS REYES,PARTIDO ALIANZA VERDE,96654
Concejo,BOYACA,PAIPA,ANDRES  CORREDOR PARRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,96608
Concejo,BOYACA,PAIPA,ANGEL YESYD MORALES REINA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,96605
Concejo,BOYACA,PAIPA,ANGELA CONSUELO APONTE MOLINA,PARTIDO CAMBIO RADICAL,96634
Concejo,BOYACA,PAIPA,ANGELA ESTEFANIA TOVA GARCIA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,96586
Concejo,BOYACA,PAIPA,ANGELA MARIA MELO GUTIERREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,96612
Concejo,BOYACA,PAIPA,ANGIE STHEFANNY TELLEZ QUINTERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,96666
Concejo,BOYACA,PAIPA,AURORA VITTORIA GIUSEPPINA MASTROMATTEO CARREÑO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,96588
Concejo,BOYACA,PAIPA,BLANCA ISABEL CAMARGO BONILLA,PAIPA IDEAL,96681
Concejo,BOYACA,PAIPA,BLANCA JOSEFINA PACHECO DE SOLANO,PARTIDO CONSERVADOR COLOMBIANO,96629
Concejo,BOYACA,PAIPA,BRAYAN EDUARDO PACHECO MEDINA,PARTIDO CONSERVADOR COLOMBIANO,96626
Concejo,BOYACA,PAIPA,CAMILO ANDRES LEANDRO SIERRA,PARTIDO CAMBIO RADICAL,96635
Concejo,BOYACA,PAIPA,CARLOS ANDRES AVENDAÑO CHAVES,PAIPA IDEAL,96677
Concejo,BOYACA,PAIPA,CARLOS ANDRES FONSECA AVELLA,PARTIDO CENTRO DEMOCRATICO,96600
Concejo,BOYACA,PAIPA,CLAUDIA MARCELA ROJAS REYES,PAIPA IDEAL,96683
Concejo,BOYACA,PAIPA,CLAUDIA MERCEDES DIAZ TOCARRUNCHO,PARTIDO CONSERVADOR COLOMBIANO,96622
Concejo,BOYACA,PAIPA,DANIEL CAMILO NOSSA BECERRA,PARTIDO ALIANZA VERDE,96647
Concejo,BOYACA,PAIPA,DAVID RICARDO CAMARGO HIGUERA,PARTIDO LIBERAL COLOMBIANO,96576
Concejo,BOYACA,PAIPA,DIANA PAOLA HOSTTOS AYALA,PARTIDO CONSERVADOR COLOMBIANO,96623
