corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,PAYA,ALBARO  FONSECA BAUTISTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,96894
Concejo,BOYACA,PAYA,ANA MIREYA ORTIZ TEATIN,PARTIDO CONSERVADOR COLOMBIANO,96881
Concejo,BOYACA,PAYA,ANA ZUCEL MONTAÑA ROBLEZ,PARTIDO CENTRO DEMOCRATICO,96870
Concejo,BOYACA,PAYA,DORA MARIA LESMES DE WALTEROS,PARTIDO CONSERVADOR COLOMBIANO,96880
Concejo,BOYACA,PAYA,ELIECER  CARO ORTIZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,96875
Concejo,BOYACA,PAYA,FLOR ALICIA MALDONADO CELY,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,96896
Concejo,BOYACA,PAYA,FREDY  GARCES CATAÑO,PARTIDO CAMBIO RADICAL,96887
Concejo,BOYACA,PAYA,FREDY  MONTAÑA PACAGUI,PARTIDO CENTRO DEMOCRATICO,96865
Concejo,BOYACA,PAYA,GERMAN  HIGUERA CARDENAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,96903
Concejo,BOYACA,PAYA,GUILLERMO AARON GARCIA ALFEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,96901
Concejo,BOYACA,PAYA,GUSTAVO  PEREZ VEGA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,96872
Concejo,BOYACA,PAYA,HUGO ALIRIO RIVERA MONTAÑA,PARTIDO CENTRO DEMOCRATICO,96866
Concejo,BOYACA,PAYA,JOANY ANDRES CRISTANCHO PIDIACHE,PARTIDO CONSERVADOR COLOMBIANO,96879
Concejo,BOYACA,PAYA,JORGE  TABACO LARGO,PARTIDO ALIANZA VERDE,96888
Concejo,BOYACA,PAYA,JOSE ALBERTO VERGARA MALDONADO,PARTIDO CAMBIO RADICAL,96883
Concejo,BOYACA,PAYA,JOSE ALIRIO PIRABAN CATAÑO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,96874
Concejo,BOYACA,PAYA,JOSE ELIAS RUIZ COTINCHARA,PARTIDO CENTRO DEMOCRATICO,96867
Concejo,BOYACA,PAYA,JOSE FERNEY GARCIA GALDAMEZ,PARTIDO CONSERVADOR COLOMBIANO,96878
Concejo,BOYACA,PAYA,JOSE GUZMAN ROJAS BARCHILOA,PARTIDO CAMBIO RADICAL,96885
Concejo,BOYACA,PAYA,JUAN DE JESUS ROMERO DIAZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,96895
Concejo,BOYACA,PAYA,LULIO ALMINCAR RIVERA PEREZ,PARTIDO CONSERVADOR COLOMBIANO,96877
Concejo,BOYACA,PAYA,LUZ DARY PEREZ GALDAMEZ,PARTIDO ALIANZA VERDE,96889
Concejo,BOYACA,PAYA,MARIA ANGELICA PEREZ BOTELLO,PARTIDO CENTRO DEMOCRATICO,96868
Concejo,BOYACA,PAYA,MARIA BLANCA TORRES COTINCHARA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,96898
Concejo,BOYACA,PAYA,MARIA DEL CARMEN TORRES PEREIRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,96871
Concejo,BOYACA,PAYA,MARIA JOHANNA PEREZ ROBLES,PARTIDO CAMBIO RADICAL,96886
Concejo,BOYACA,PAYA,MARIA LUCIA ROJAS LARGO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,96902
Concejo,BOYACA,PAYA,MARILU  FIAGA GUAIDIA,PARTIDO ALIANZA VERDE,96892
Concejo,BOYACA,PAYA,NELCY LORENA GARCIA RIVERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,96873
Concejo,BOYACA,PAYA,OMAIRA  PEREZ VEGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,96900
Concejo,BOYACA,PAYA,PABLO ANTONIO CACHAY MOLINA,PARTIDO ALIANZA VERDE,96890
Concejo,BOYACA,PAYA,RENE  GARZON RUIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,96904
Concejo,BOYACA,PAYA,RENE  LUNA NIÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,96897
Concejo,BOYACA,PAYA,ROBERTO  DURAN GOMEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,96876
Concejo,BOYACA,PAYA,RORVIK YSMALDO IVICA ARISMENDY,PARTIDO CENTRO DEMOCRATICO,96869
Concejo,BOYACA,PAYA,SERAFIN  PEÑA CORREDOR,PARTIDO ALIANZA VERDE,96893
Concejo,BOYACA,PAYA,VICTOR HUGO RIOS MALDONADO,PARTIDO CAMBIO RADICAL,96884
Concejo,BOYACA,PAYA,WALTER FERNANDO MONTOYA IBICA,PARTIDO ALIANZA VERDE,96891
Concejo,BOYACA,PAYA,WILMAR  RIVERA GARCIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,96899
Concejo,BOYACA,PAYA,YENY LUCILA MORENO VIVAS,PARTIDO CAMBIO RADICAL,96882
Concejo,BOYACA,PAYA,YORLEY YADIRA MALPICA MENDIVELSO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,96905
