corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,PISBA,ALBA LUCIA GOYENECHE LUNA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97065
Concejo,BOYACA,PISBA,ALVARO  MALDONADO MALDONADO,PARTIDO ALIANZA VERDE,97058
Concejo,BOYACA,PISBA,ANA ELIZABETH LEON DIAZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97072
Concejo,BOYACA,PISBA,ARNULFO  CANTOR PIDIACHE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97067
Concejo,BOYACA,PISBA,CARLOS ROBERTO TABACO PAN,PARTIDO ALIANZA VERDE,97059
Concejo,BOYACA,PISBA,CEIRA EFIGENIA CARDENAS ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97073
Concejo,BOYACA,PISBA,DEISY YUREIDY PUERTO MARTINEZ,PARTIDO CAMBIO RADICAL,97052
Concejo,BOYACA,PISBA,DIANEY FLORENCIO HERRERA GARCIA,PARTIDO CAMBIO RADICAL,97049
Concejo,BOYACA,PISBA,DORALBA  SUA PIDIACHE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97063
Concejo,BOYACA,PISBA,DORELLY  PIDIACHE ESTUPIÑAN,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97064
Concejo,BOYACA,PISBA,EDIGMA  FERNANDEZ TORRES,PARTIDO CONSERVADOR COLOMBIANO,97043
Concejo,BOYACA,PISBA,EMILSE  RAVELO CUEVAS,PARTIDO CENTRO DEMOCRATICO,97038
Concejo,BOYACA,PISBA,FREDI ANTONIO TABACO MALDONADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97070
Concejo,BOYACA,PISBA,HERNAN  LOPEZ TABACO,PARTIDO CENTRO DEMOCRATICO,97035
Concejo,BOYACA,PISBA,HERNANDO  DIAZ PIDIACHE,PARTIDO CENTRO DEMOCRATICO,97034
Concejo,BOYACA,PISBA,ISRRAEL  TABACO MALDONADO,PARTIDO CENTRO DEMOCRATICO,97036
Concejo,BOYACA,PISBA,JAIDUMAR  DURAN TABACO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97071
Concejo,BOYACA,PISBA,JESUS MARIA CARDENAS BARRERA,PARTIDO LIBERAL COLOMBIANO,97029
Concejo,BOYACA,PISBA,JOHN BLADIMIR LEON ESTUPIÑAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97069
Concejo,BOYACA,PISBA,JOSE COSTANTINO MALDONADO DURAN,PARTIDO LIBERAL COLOMBIANO,97031
Concejo,BOYACA,PISBA,JOSE EMIRO ESTEPA MALDONADO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97066
Concejo,BOYACA,PISBA,JOSE GONZALO ESTUPIÑAN ESTUPIÑAN,PARTIDO CONSERVADOR COLOMBIANO,97045
Concejo,BOYACA,PISBA,JOSE ISMAEL MANRIQUE ,PARTIDO ALIANZA VERDE,97055
Concejo,BOYACA,PISBA,JOSE LINARES VERGARA MALDONADO,PARTIDO CAMBIO RADICAL,97048
Concejo,BOYACA,PISBA,JOSE RICARDO MALDONADO TABACO,PARTIDO CAMBIO RADICAL,97050
Concejo,BOYACA,PISBA,KAREN YISELA MALDONADO MALDONADO,PARTIDO CENTRO DEMOCRATICO,97040
Concejo,BOYACA,PISBA,LEIDHER  GARCIA MALDONADO,PARTIDO CONSERVADOR COLOMBIANO,97044
Concejo,BOYACA,PISBA,LERCY YIZHET MALDONADO MALDONADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97068
Concejo,BOYACA,PISBA,LUIS EDUARDO FERNANDEZ GOMEZ,PARTIDO ALIANZA VERDE,97053
Concejo,BOYACA,PISBA,LUIS HERNANDO GOMEZ TABACO,PARTIDO CAMBIO RADICAL,97047
Concejo,BOYACA,PISBA,LUZ NEYLA MILLAN GOMEZ,PARTIDO CENTRO DEMOCRATICO,97039
Concejo,BOYACA,PISBA,MANUEL AUGUSTO FUENTES MOJICA,PARTIDO CONSERVADOR COLOMBIANO,97046
