corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,QUIPAMA,ADELMO  MEDINA HUESO,PARTIDO ALIANZA VERDE,97305
Concejo,BOYACA,QUIPAMA,AGUSTIN ANGEL CARDENAS GOMEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,97308
Concejo,BOYACA,QUIPAMA,ALDEMAR  CASTILLO ROMERO,PARTIDO CAMBIO RADICAL,97296
Concejo,BOYACA,QUIPAMA,ALDEMAR  LEON SALAMANCA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,97311
Concejo,BOYACA,QUIPAMA,ARMANDO  CARDONA CASTILLO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97319
Concejo,BOYACA,QUIPAMA,ASBLEIDY SOLANGIE ALMONACID DIAZ,PARTIDO CONSERVADOR COLOMBIANO,97285
Concejo,BOYACA,QUIPAMA,BLANCA CECILIA ORDOÑEZ GALINDO,PARTIDO ALIANZA VERDE,97301
Concejo,BOYACA,QUIPAMA,CARLOS ALBERTO MOLINA CASTAÑEDA,PARTIDO CONSERVADOR COLOMBIANO,97284
Concejo,BOYACA,QUIPAMA,CARLOS ARNULFO ORJUELA CASTILLO,PARTIDO CENTRO DEMOCRATICO,97270
Concejo,BOYACA,QUIPAMA,CARLOS EDUARDO REAL CARRILLO,PARTIDO ALIANZA VERDE,97304
Concejo,BOYACA,QUIPAMA,CARLOS EFRAIN MARCELO VARELA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97327
Concejo,BOYACA,QUIPAMA,CESAR EDUARDO CARDENAS TORRES,PARTIDO ADA,97275
Concejo,BOYACA,QUIPAMA,CLARA ELSA MENDEZ ROSAS,PARTIDO LIBERAL COLOMBIANO,97265
Concejo,BOYACA,QUIPAMA,DEISY ROSIRIS ORDOÑEZ SAAVEDRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97323
Concejo,BOYACA,QUIPAMA,DIANA LUCERO SOTO VIRGUEZ,PARTIDO ALIANZA VERDE,97302
Concejo,BOYACA,QUIPAMA,EDUAR ANDRES ANZOLA PUERTAS,PARTIDO LIBERAL COLOMBIANO,97267
Concejo,BOYACA,QUIPAMA,EIDER MILENA ANZOLA ,PARTIDO ALIANZA VERDE,97303
Concejo,BOYACA,QUIPAMA,ELIZABETH  REAL LATORRE,PARTIDO CAMBIO RADICAL,97291
Concejo,BOYACA,QUIPAMA,ELVECIA  MAHECHA OBANDO,PARTIDO ALIANZA VERDE,97299
Concejo,BOYACA,QUIPAMA,ELVERARNOLDO  TRIANA CALVO,PARTIDO LIBERAL COLOMBIANO,97260
Concejo,BOYACA,QUIPAMA,ELVIS MAURICIO VANEGAS ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,97315
Concejo,BOYACA,QUIPAMA,ESLEYDER  LINAREZ MONTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97331
Concejo,BOYACA,QUIPAMA,FERNANDO  BASALLO GARCIA,PARTIDO ALIANZA VERDE,97307
Concejo,BOYACA,QUIPAMA,GAVINO  RODRIGUEZ RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,97261
Concejo,BOYACA,QUIPAMA,GEIDY YOVANA MEDINA CANCELADA,PARTIDO CENTRO DEMOCRATICO,97269
Concejo,BOYACA,QUIPAMA,GEIZON ALFREDO RINCON GARCIA,PARTIDO CONSERVADOR COLOMBIANO,97281
Concejo,BOYACA,QUIPAMA,GILDARDO  BAUTISTA ROJAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97318
Concejo,BOYACA,QUIPAMA,GLORIA  BLANCO GALINDO,PARTIDO CONSERVADOR COLOMBIANO,97288
Concejo,BOYACA,QUIPAMA,HAROD ALEJANDRO USECHE SALDAÑA,PARTIDO CAMBIO RADICAL,97294
Concejo,BOYACA,QUIPAMA,JAIRO  FAJARDO GALINDO,PARTIDO ADA,97280
Concejo,BOYACA,QUIPAMA,JOHAN ESTIVEN MIRANDA MOLINA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97329
Concejo,BOYACA,QUIPAMA,JOHN FEDERICO BELTRAN ,PARTIDO CONSERVADOR COLOMBIANO,97289
Concejo,BOYACA,QUIPAMA,JOSE  PEREZ ,PARTIDO ALIANZA VERDE,97306
Concejo,BOYACA,QUIPAMA,JOSE DIOMEDES PEREZ ESPEJO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97332
Concejo,BOYACA,QUIPAMA,JOSE HERNEY SALDAÑA ROGELES,PARTIDO CONSERVADOR COLOMBIANO,97286
Concejo,BOYACA,QUIPAMA,JOSE MAURICIO SILVA RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97320
Concejo,BOYACA,QUIPAMA,JOSE RODRIGO AVILA CASTILLO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,97309
Concejo,BOYACA,QUIPAMA,JOSE YECIT PIÑEROS PACHON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97321
Concejo,BOYACA,QUIPAMA,JUANA VALENTINA GONZALEZ MARIN,PARTIDO CENTRO DEMOCRATICO,97273
Concejo,BOYACA,QUIPAMA,LEIDY YOBANA GOMEZ MURCIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,97312
Concejo,BOYACA,QUIPAMA,LILIANA  SALDAÑA ROJAS,PARTIDO CENTRO DEMOCRATICO,97271
Concejo,BOYACA,QUIPAMA,LUIS OMAR BELTRAN RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,97283
Concejo,BOYACA,QUIPAMA,LUZ ADRIANA TORRES LEON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97322
Concejo,BOYACA,QUIPAMA,LUZ DARY ROGELES MARTINEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97324
Concejo,BOYACA,QUIPAMA,LUZ MARIELA BRAVO MEDINA,PARTIDO CAMBIO RADICAL,97290
Concejo,BOYACA,QUIPAMA,MARCELENDA  MEDINA YEMAYUSA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97330
Concejo,BOYACA,QUIPAMA,MARIA BIYI ALVARADO BARRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97326
Concejo,BOYACA,QUIPAMA,MARIA FABIOLA AGUILAR GOMEZ,PARTIDO LIBERAL COLOMBIANO,97262
Concejo,BOYACA,QUIPAMA,MARIA NIXEN SALDAÑA GARCIA,PARTIDO ADA,97278
Concejo,BOYACA,QUIPAMA,MARTA CECILIA GARZON ALVAREZ,PARTIDO LIBERAL COLOMBIANO,97264
Concejo,BOYACA,QUIPAMA,MAURA  VEGA VEGA,PARTIDO ADA,97277
Concejo,BOYACA,QUIPAMA,MILTON OLMEDO MURCIA CANCELADA,PARTIDO LIBERAL COLOMBIANO,97263
Concejo,BOYACA,QUIPAMA,NANCY  PALACIOS GALINDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97328
Concejo,BOYACA,QUIPAMA,NURY SOCORRO SOLANO PIÑEROS,PARTIDO CAMBIO RADICAL,97295
Concejo,BOYACA,QUIPAMA,OSCAR HERNANDO QUIROGA ANZOLA,PARTIDO ALIANZA VERDE,97300
Concejo,BOYACA,QUIPAMA,OVER HERNANDO BRICEÑO CASTRO,PARTIDO CENTRO DEMOCRATICO,97274
Concejo,BOYACA,QUIPAMA,PEDRO MIGUEL MORENO GOMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97325
