corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,SAMACA,ALBA LILIA MATAMOROS PARRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,97673
Concejo,BOYACA,SAMACA,ALBA SADARY LIMA ROA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97727
Concejo,BOYACA,SAMACA,ALFREDO  RODRIGUEZ LOPEZ,PARTIDO CAMBIO RADICAL,97695
Concejo,BOYACA,SAMACA,ANGEL AUGUSTO LANCHEROS GIL,PARTIDO CAMBIO RADICAL,97689
Concejo,BOYACA,SAMACA,ANTONIO JOSE CEPEDA MONTAÑEZ,PARTIDO ALIANZA VERDE,97700
Concejo,BOYACA,SAMACA,ARCENIO  ESPINOSA RUIZ,PARTIDO ALIANZA VERDE,97702
Concejo,BOYACA,SAMACA,ARNULFO  BETANCOURT LA ROTTA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,97668
Concejo,BOYACA,SAMACA,AURA ROSA CASTIBLANCO ROMERO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,97672
Concejo,BOYACA,SAMACA,BALTAZAR  JEREZ AMADO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,97674
Concejo,BOYACA,SAMACA,CARLOS  QUIROGA SIERRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97713
Concejo,BOYACA,SAMACA,CARLOS HERNANDO MATAMOROS CHINCHILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97726
Concejo,BOYACA,SAMACA,CARLOS JULIO CASTELLANOS ,PARTIDO CENTRO DEMOCRATICO,97658
Concejo,BOYACA,SAMACA,CARLOS YEBRAYN SIERRA SAAVEDRA,PARTIDO CAMBIO RADICAL,97691
Concejo,BOYACA,SAMACA,CLAUDIA ESPERANZA RAMIREZ GALINDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,97670
Concejo,BOYACA,SAMACA,CLAUDIA MARCELA PARRA RODRIGUEZ,PARTIDO ALIANZA VERDE,97706
Concejo,BOYACA,SAMACA,DAFNA FERNANDA BARRERA SIERRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97710
Concejo,BOYACA,SAMACA,DANIELA  MARTINEZ MOJICA,PARTIDO LIBERAL COLOMBIANO,97655
Concejo,BOYACA,SAMACA,DIANA CAROLINA TOBA RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,97684
Concejo,BOYACA,SAMACA,DIANA MARCELA RUIZ GIL,PARTIDO CAMBIO RADICAL,97688
Concejo,BOYACA,SAMACA,DIANA PATRICIA MATAMOROS RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,97656
Concejo,BOYACA,SAMACA,EDUARDO  BUITRAGO CASTIBLANCO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,97667
Concejo,BOYACA,SAMACA,FABIAN RICARDO SIERRA PINILLA,PARTIDO CONSERVADOR COLOMBIANO,97678
Concejo,BOYACA,SAMACA,FLOR ALBA RATIVA SANCHEZ,PARTIDO ALIANZA VERDE,97701
Concejo,BOYACA,SAMACA,FLOR ALBA RODRIGUEZ ZAMORA,PARTIDO ALIANZA VERDE,97698
Concejo,BOYACA,SAMACA,GABRIEL  JIMENEZ CASTELLANOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97724
Concejo,BOYACA,SAMACA,GERMAN  MARTINEZ GIL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97712
Concejo,BOYACA,SAMACA,GLORIA ROSARIO FIRACATIVE APONTE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97728
Concejo,BOYACA,SAMACA,HENRY VLADIMIR CARDENAS SIERRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97721
Concejo,BOYACA,SAMACA,HUGO  ESPITIA PARRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97709
Concejo,BOYACA,SAMACA,IVAN ALIRIO LOPEZ GIL,PARTIDO LIBERAL COLOMBIANO,97649
Concejo,BOYACA,SAMACA,JAVIER  BUITRAGO RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,97675
Concejo,BOYACA,SAMACA,JAVIER  CASTIBLANCO RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO,97661
Concejo,BOYACA,SAMACA,JAVIER ANDRES GOMEZ NEISA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97717
Concejo,BOYACA,SAMACA,JESUS HERNANDO ZUÑIGA ZUÑIGA,PARTIDO ALIANZA VERDE,97707
Concejo,BOYACA,SAMACA,JHON ALEXANDER RAMIREZ RATIVA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97716
Concejo,BOYACA,SAMACA,JHON FERLEY CASTELLANOS CELY,PARTIDO CENTRO DEMOCRATICO,97660
Concejo,BOYACA,SAMACA,JOSE ALEXANDER CELY BUITRAGO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,97671
Concejo,BOYACA,SAMACA,JOSE ANTONIO ESPINOSA RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97725
Concejo,BOYACA,SAMACA,JOSE ANTONIO PARRA BUITRAGO,PARTIDO LIBERAL COLOMBIANO,97648
Concejo,BOYACA,SAMACA,JOSE ARQUIMEDES GIL ESPINO,PARTIDO ALIANZA VERDE,97699
Concejo,BOYACA,SAMACA,JOSE DOMINGO SIERRA CRUZ,PARTIDO ALIANZA VERDE,97697
Concejo,BOYACA,SAMACA,JOSE EVERARDO LARROTA RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,97647
Concejo,BOYACA,SAMACA,JOSE FRANCISCO APONTE GIL,PARTIDO ALIANZA VERDE,97705
