corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,SAN JOSE DE PARE,ALEJANDRA  RODRIGUEZ ZARTA,PARTIDO LIBERAL COLOMBIANO,97772
Concejo,BOYACA,SAN JOSE DE PARE,ALEXANDRO  SUAREZ PARDO,PARTIDO CAMBIO RADICAL,97792
Concejo,BOYACA,SAN JOSE DE PARE,ANA YOLANDA CAMACHO FONTECHE,PARTIDO LIBERAL COLOMBIANO,97775
Concejo,BOYACA,SAN JOSE DE PARE,ANDREA CATHERINE SUAREZ GONZALEZ,PARTIDO CENTRO DEMOCRATICO,97783
Concejo,BOYACA,SAN JOSE DE PARE,BRANDON SMIT PINZON TOVAR,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97815
Concejo,BOYACA,SAN JOSE DE PARE,CAMILO ANDRES GARCIA CAMPOS,PARTIDO ALIANZA VERDE,97800
Concejo,BOYACA,SAN JOSE DE PARE,CARLOS ARTURO SIERRA ARDILA,PARTIDO CENTRO DEMOCRATICO,97782
Concejo,BOYACA,SAN JOSE DE PARE,CLAUDIA ROCIO MONROY SOTOMONTE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,97787
Concejo,BOYACA,SAN JOSE DE PARE,DANNA VALENTINA AGUDELO OLARTE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97821
Concejo,BOYACA,SAN JOSE DE PARE,EDNA CAROLAY VILLAMIL MUÑOZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97814
Concejo,BOYACA,SAN JOSE DE PARE,EDWARD ALONSO MATEUS CAMPOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97816
Concejo,BOYACA,SAN JOSE DE PARE,EFREN  MEDINA NEIRA,PARTIDO LIBERAL COLOMBIANO,97771
Concejo,BOYACA,SAN JOSE DE PARE,ESPERANZA ISABEL BAREÑO MORALES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97818
Concejo,BOYACA,SAN JOSE DE PARE,EXCELINO  FAJARDO GARCES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,97790
Concejo,BOYACA,SAN JOSE DE PARE,FILEMON  NIÑO MARIN,PARTIDO CAMBIO RADICAL,97793
Concejo,BOYACA,SAN JOSE DE PARE,GINA PAOLA VILLAMIL SUAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,97788
Concejo,BOYACA,SAN JOSE DE PARE,HECTOR JESUS CAMPOS CORREDOR,PARTIDO ALIANZA VERDE,97805
Concejo,BOYACA,SAN JOSE DE PARE,JAIME URIEL SALAZAR REYES,PARTIDO ALIANZA VERDE,97802
Concejo,BOYACA,SAN JOSE DE PARE,JAN YURLEY SUAREZ GONZALEZ,PARTIDO CAMBIO RADICAL,97794
Concejo,BOYACA,SAN JOSE DE PARE,JEAN PAUL PINEDA MOSQUERA,PARTIDO CENTRO DEMOCRATICO,97780
Concejo,BOYACA,SAN JOSE DE PARE,JESUS ALBERTO BAUTISTA SAAVEDRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97813
Concejo,BOYACA,SAN JOSE DE PARE,JOHN SANDRO DEL RIO MUÑOZ,PARTIDO CENTRO DEMOCRATICO,97776
Concejo,BOYACA,SAN JOSE DE PARE,JOSE CAMPO ELIAS CASTILLO SUAREZ,PARTIDO CENTRO DEMOCRATICO,97779
Concejo,BOYACA,SAN JOSE DE PARE,JOSE EUSTAQUIO ARIZA PARDO,PARTIDO CENTRO DEMOCRATICO,97777
Concejo,BOYACA,SAN JOSE DE PARE,JOSE HERACLIO GONZALEZ SALAS,PARTIDO LIBERAL COLOMBIANO,97770
Concejo,BOYACA,SAN JOSE DE PARE,JOSE LUIS BUITRAGO REYES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,97785
Concejo,BOYACA,SAN JOSE DE PARE,KENNEDY  ARIZA VASQUEZ,PARTIDO ALIANZA VERDE,97804
Concejo,BOYACA,SAN JOSE DE PARE,LAURA CAMILA ARIZA ARIZA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97810
Concejo,BOYACA,SAN JOSE DE PARE,LEOPOLDO  VILLAMIL MOLINA,PARTIDO LIBERAL COLOMBIANO,97767
Concejo,BOYACA,SAN JOSE DE PARE,LIBIA  ROBELTO LOPEZ,PARTIDO CAMBIO RADICAL,97796
Concejo,BOYACA,SAN JOSE DE PARE,LORENA  VELA FORERO,PARTIDO CAMBIO RADICAL,97795
Concejo,BOYACA,SAN JOSE DE PARE,LUIS FRANCISCO CEPEDA RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,97774
Concejo,BOYACA,SAN JOSE DE PARE,LUIS HERNANDO VELASCO ROBELTO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97811
Concejo,BOYACA,SAN JOSE DE PARE,LUISA AMANDA OLARTE ALCANTAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97820
Concejo,BOYACA,SAN JOSE DE PARE,LUISA FERNANDA ABRIL CADENA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97812
Concejo,BOYACA,SAN JOSE DE PARE,MARIA ANGELICA CAMACHO ALVAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,97786
Concejo,BOYACA,SAN JOSE DE PARE,MARIA ELENA CLAVIJO TABORDA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,97809
Concejo,BOYACA,SAN JOSE DE PARE,MARIA NIDIA HURTADO RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO,97778
Concejo,BOYACA,SAN JOSE DE PARE,MARIA NILGEN ORTIZ CARDENAS,PARTIDO ALIANZA VERDE,97806
Concejo,BOYACA,SAN JOSE DE PARE,MAYFAIR  ABRIL CASTAÑEDA,PARTIDO LIBERAL COLOMBIANO,97768
Concejo,BOYACA,SAN JOSE DE PARE,MIGUEL ANGEL GARCES SANCHEZ,PARTIDO LIBERAL COLOMBIANO,97773
Concejo,BOYACA,SAN JOSE DE PARE,MIGUEL DAVID ALVARADO MOSQUERA,PARTIDO CAMBIO RADICAL,97798
Concejo,BOYACA,SAN JOSE DE PARE,NELSON DAVID HERNANDEZ MORENO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97819
Concejo,BOYACA,SAN JOSE DE PARE,NEVARDO  FINO BECERRA,PARTIDO CAMBIO RADICAL,97791
