corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,SAN PABLO DE BORBUR,ALEXMIN  PABON FORERO,PARTIDO CONSERVADOR COLOMBIANO,97949
Concejo,BOYACA,SAN PABLO DE BORBUR,ALONSO  ROJAS MONTAÑO,PARTIDO ALIANZA VERDE,97965
Concejo,BOYACA,SAN PABLO DE BORBUR,ANA ROSMIRA GUTIERREZ ALVARADO,PARTIDO ALIANZA VERDE,97968
Concejo,BOYACA,SAN PABLO DE BORBUR,ANA YASMIN MURCIA SALINAS,PARTIDO CONSERVADOR COLOMBIANO,97945
Concejo,BOYACA,SAN PABLO DE BORBUR,ANITA  DELGADILLO RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,97950
Concejo,BOYACA,SAN PABLO DE BORBUR,ANYI CATERIN CUELLAR CASTIBLANCO,PARTIDO LIBERAL COLOMBIANO,97933
Concejo,BOYACA,SAN PABLO DE BORBUR,CARLOS ENRIQUE LEON ,PARTIDO LIBERAL COLOMBIANO,97927
Concejo,BOYACA,SAN PABLO DE BORBUR,CARLOS FERNANDO POVEDA DELGADILLO,PARTIDO ALIANZA VERDE,97961
Concejo,BOYACA,SAN PABLO DE BORBUR,CARLOS WILINTON AVILA PEDREROS,PARTIDO LIBERAL COLOMBIANO,97934
Concejo,BOYACA,SAN PABLO DE BORBUR,DEISY LUCILA RODRIGUEZ PINILLA,PARTIDO CENTRO DEMOCRATICO,97937
Concejo,BOYACA,SAN PABLO DE BORBUR,DIANA MARCELA ESPEJO HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,97931
Concejo,BOYACA,SAN PABLO DE BORBUR,DORA ISABEL OCHOA ORTIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97976
Concejo,BOYACA,SAN PABLO DE BORBUR,EDILBERTO  RONCANCIO GARCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97970
Concejo,BOYACA,SAN PABLO DE BORBUR,ELINARCO  ORTIZ PACHON,PARTIDO CENTRO DEMOCRATICO,97942
Concejo,BOYACA,SAN PABLO DE BORBUR,FABIO HERNANDO GUTIERREZ SUAREZ,PARTIDO CENTRO DEMOCRATICO,97938
Concejo,BOYACA,SAN PABLO DE BORBUR,FELIPE  GUTIERREZ SANABRIA,PARTIDO LIBERAL COLOMBIANO,97930
Concejo,BOYACA,SAN PABLO DE BORBUR,FRANCISCO EDUARDO CORDOBA CORDOBA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97975
Concejo,BOYACA,SAN PABLO DE BORBUR,FREDY ALONSO ROJAS HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,97929
Concejo,BOYACA,SAN PABLO DE BORBUR,HERNANDO  CASTILLO GONZALEZ,PARTIDO CAMBIO RADICAL,97952
Concejo,BOYACA,SAN PABLO DE BORBUR,JAIRO CESAR FAJARDO CANCELADO,PARTIDO CONSERVADOR COLOMBIANO,97943
Concejo,BOYACA,SAN PABLO DE BORBUR,JAIRO WILIAM PAEZ CHACON,PARTIDO CENTRO DEMOCRATICO,97939
Concejo,BOYACA,SAN PABLO DE BORBUR,JESUS ALBEIRO RAMOS GUERRERO,PARTIDO CAMBIO RADICAL,97955
Concejo,BOYACA,SAN PABLO DE BORBUR,JESUS ANTONIO SALINAS PAEZ,PARTIDO LIBERAL COLOMBIANO,97932
Concejo,BOYACA,SAN PABLO DE BORBUR,JORGE OSVALDO QUINONEZ BERNAL,PARTIDO ALIANZA VERDE,97967
Concejo,BOYACA,SAN PABLO DE BORBUR,JOSE ANTONIO PORRAS SALAS,PARTIDO ALIANZA VERDE,97962
Concejo,BOYACA,SAN PABLO DE BORBUR,JOSE DOMINGO ORJUELA QUINTERO,PARTIDO CENTRO DEMOCRATICO,97940
Concejo,BOYACA,SAN PABLO DE BORBUR,JOSE FERNANDO DIAZ MUÑOZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97974
Concejo,BOYACA,SAN PABLO DE BORBUR,JOSE MAURICIO PORRAS RAMOS,PARTIDO CONSERVADOR COLOMBIANO,97948
Concejo,BOYACA,SAN PABLO DE BORBUR,JOSE NELSON BARRANTES CARRILLO,PARTIDO CAMBIO RADICAL,97958
Concejo,BOYACA,SAN PABLO DE BORBUR,JOSE ULDARICO PINZON DELGADO,PARTIDO CAMBIO RADICAL,97957
Concejo,BOYACA,SAN PABLO DE BORBUR,JOSE VIDAL CORTES GUERRERO,PARTIDO ALIANZA VERDE,97963
Concejo,BOYACA,SAN PABLO DE BORBUR,LEIDA EDITH PINZON SALINAS,PARTIDO CAMBIO RADICAL,97956
Concejo,BOYACA,SAN PABLO DE BORBUR,LENNIS EULALIA ALFONSO FAJARDO,PARTIDO ALIANZA VERDE,97966
Concejo,BOYACA,SAN PABLO DE BORBUR,LUIS ALFONSO RAMOS PEÑA,PARTIDO CONSERVADOR COLOMBIANO,97947
Concejo,BOYACA,SAN PABLO DE BORBUR,LUIS ARMANDO GONZALEZ ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,97972
Concejo,BOYACA,SAN PABLO DE BORBUR,LUIS SAMUEL RAMOS ROJAS,PARTIDO LIBERAL COLOMBIANO,97936
Concejo,BOYACA,SAN PABLO DE BORBUR,LUZ MERY FAJARDO FAJARDO,PARTIDO CENTRO DEMOCRATICO,97941
