corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,SANTA MARIA,ALBERTO  DAZA RAMIREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98112
Concejo,BOYACA,SANTA MARIA,ALFONSO BENIGNO PERILLA ROMERO,PARTIDO CONSERVADOR COLOMBIANO,98097
Concejo,BOYACA,SANTA MARIA,ALVARO  SANCHEZ CACERES,PARTIDO CAMBIO RADICAL,98101
Concejo,BOYACA,SANTA MARIA,ANA DELIA SALGADO ORTEGA,PARTIDO CONSERVADOR COLOMBIANO,98092
Concejo,BOYACA,SANTA MARIA,CESAR JULIAN CASTAÑEDA PERILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98114
Concejo,BOYACA,SANTA MARIA,DOLY YANETH GIL MORENO,PARTIDO ALIANZA VERDE,98106
Concejo,BOYACA,SANTA MARIA,EDGAR SAMUEL PERILLA FERNANDEZ,PARTIDO CENTRO DEMOCRATICO,98088
Concejo,BOYACA,SANTA MARIA,EDWIN ALEXANDER GARZON BARRERA,PARTIDO CENTRO DEMOCRATICO,98089
Concejo,BOYACA,SANTA MARIA,EMILCE YANIRA VEGA SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98111
Concejo,BOYACA,SANTA MARIA,ERSY MARIEL VARGAS CASTAÑEDA,PARTIDO ALIANZA VERDE,98105
Concejo,BOYACA,SANTA MARIA,ESPERANZA  GALVIS ESCOBAR,PARTIDO CAMBIO RADICAL,98102
Concejo,BOYACA,SANTA MARIA,FAVIO ARISTIDES VARGAS VANEGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98116
Concejo,BOYACA,SANTA MARIA,FLOR ALBA CUERVO RUIZ,PARTIDO LIBERAL COLOMBIANO,98082
Concejo,BOYACA,SANTA MARIA,FULVIA STELLA MORALES FERNANDEZ,PARTIDO CENTRO DEMOCRATICO,98086
Concejo,BOYACA,SANTA MARIA,HUGO ALIRIO SALGADO MORENO,PARTIDO CONSERVADOR COLOMBIANO,98093
Concejo,BOYACA,SANTA MARIA,IBIS YURANI VARGAS MONDRAGON,PARTIDO ALIANZA VERDE,98104
Concejo,BOYACA,SANTA MARIA,INGRID TATIANA MONTENEGRO FULA,PARTIDO CONSERVADOR COLOMBIANO,98096
Concejo,BOYACA,SANTA MARIA,JAIRO DELFIN ZEA ROMERO,PARTIDO CONSERVADOR COLOMBIANO,98095
Concejo,BOYACA,SANTA MARIA,JENNIFER TATIANA MONTAÑEZ DAZA,PARTIDO CENTRO DEMOCRATICO,98087
Concejo,BOYACA,SANTA MARIA,JORGE ANDRES LEON TUQUERREZ,PARTIDO CAMBIO RADICAL,98098
Concejo,BOYACA,SANTA MARIA,JUAN DANIEL SALGADO MORENO,PARTIDO ALIANZA VERDE,98107
Concejo,BOYACA,SANTA MARIA,LUZ DARY VALENCIA DURAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98115
Concejo,BOYACA,SANTA MARIA,LUZ MARINA VALLEJO MARTINEZ,PARTIDO CENTRO DEMOCRATICO,98090
Concejo,BOYACA,SANTA MARIA,MARLY EUNICE LONDOÑO ,PARTIDO CAMBIO RADICAL,98099
Concejo,BOYACA,SANTA MARIA,MARTHA BEATRIZ BELTRAN PEÑA,PARTIDO CONSERVADOR COLOMBIANO,98094
Concejo,BOYACA,SANTA MARIA,MERARDO  GUTIERREZ ALFONSO,PARTIDO CAMBIO RADICAL,98103
Concejo,BOYACA,SANTA MARIA,MILLER ADRIAN CUESTA RAMIREZ,PARTIDO CENTRO DEMOCRATICO,98085
Concejo,BOYACA,SANTA MARIA,MISAEL LUIS BARAHONA LOPEZ,PARTIDO CENTRO DEMOCRATICO,98084
Concejo,BOYACA,SANTA MARIA,MONICA CENAIDA MARTINEZ CANO,PARTIDO LIBERAL COLOMBIANO,98083
Concejo,BOYACA,SANTA MARIA,NEIDY PAOLA CIFUENTES GUTIERREZ,PARTIDO ALIANZA VERDE,98108
Concejo,BOYACA,SANTA MARIA,OMAR ALONSO CASTELLANOS RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,98081
Concejo,BOYACA,SANTA MARIA,WILIAN EFREN LEGUIZAMON PERILLA,PARTIDO CONSERVADOR COLOMBIANO,98091
Concejo,BOYACA,SANTA MARIA,WILSON MANUEL ROMERO QUINTERO,PARTIDO ALIANZA VERDE,98109
Concejo,BOYACA,SANTA MARIA,YANDRI LORENA GUATAQUIRA TEJEDOR,PARTIDO ALIANZA VERDE,98110
Concejo,BOYACA,SANTA MARIA,YEFRY ANDRES DAZA VARGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98113
Concejo,BOYACA,SANTA MARIA,YOHANA  CASTAÑEDA ,PARTIDO CAMBIO RADICAL,98100
