corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,SANTANA,ALBA DINNY CRUZ FANDIÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98079
Concejo,BOYACA,SANTANA,ALVARO  CAMACHO CAMACHO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98072
Concejo,BOYACA,SANTANA,ANA LUCILA OSMA CETINA,PARTIDO LIBERAL COLOMBIANO,98021
Concejo,BOYACA,SANTANA,ANA ROCIO MOSQUERA CUEVAS,PARTIDO LIBERAL COLOMBIANO,98016
Concejo,BOYACA,SANTANA,ANDREA CONSUELO BERMUDEZ SUAREZ,PARTIDO CENTRO DEMOCRATICO,98025
Concejo,BOYACA,SANTANA,ANDRES FELIPE NOGUERA CRUZ,PARTIDO CAMBIO RADICAL,98061
Concejo,BOYACA,SANTANA,ARNULFO  PAEZ TOVAR,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98075
Concejo,BOYACA,SANTANA,BRAYAN DANIEL ARDILA ,PARTIDO ADA,98048
Concejo,BOYACA,SANTANA,BRIGIDA  VARGAS RAMIREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98038
Concejo,BOYACA,SANTANA,CAROLINA  SUAREZ MOYANO,PARTIDO COLOMBIA JUSTA LIBRES,98041
Concejo,BOYACA,SANTANA,CESAR ANDRES AREVALO ,PARTIDO ALIANZA VERDE,98067
Concejo,BOYACA,SANTANA,DIANA ROCIO CARRERO HERNANDEZ,PARTIDO ADA,98047
Concejo,BOYACA,SANTANA,EDUARDO  GONZALEZ ,PARTIDO ALIANZA VERDE,98064
Concejo,BOYACA,SANTANA,EDWARD  HERNANDEZ CHACON,PARTIDO LIBERAL COLOMBIANO,98017
Concejo,BOYACA,SANTANA,FABIAN ALBERTO NOGUERA GAMBOA,PARTIDO LIBERAL COLOMBIANO,98014
Concejo,BOYACA,SANTANA,FABIAN OCTAVIO TELLEZ CUEVAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98074
Concejo,BOYACA,SANTANA,FERNEY HERNANDO GAONA FORERO,PARTIDO ADA,98046
Concejo,BOYACA,SANTANA,GERMAN  CARDENAS FANDIÑO,PARTIDO CAMBIO RADICAL,98057
Concejo,BOYACA,SANTANA,GERONIMO  QUINTERO SAENZ,PARTIDO ADA,98050
Concejo,BOYACA,SANTANA,HORACIO  HERNANDEZ VENTURA,PARTIDO LIBERAL COLOMBIANO,98020
Concejo,BOYACA,SANTANA,ISMAEL  HERNANDEZ CARDENAS,PARTIDO CENTRO DEMOCRATICO,98023
Concejo,BOYACA,SANTANA,JAVIER  SUAREZ AMADO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98078
Concejo,BOYACA,SANTANA,JAVIER ENRIQUE SANCHEZ OLARTE,PARTIDO CAMBIO RADICAL,98054
Concejo,BOYACA,SANTANA,JENSI JAVIER CASTILLO QUIROGA,PARTIDO COLOMBIA JUSTA LIBRES,98043
Concejo,BOYACA,SANTANA,JOSE ALIRIO TOLOSA GUERRERO,PARTIDO ADA,98049
Concejo,BOYACA,SANTANA,JOSE ELADIO TAMAYO PARRA,PARTIDO ADA,98051
Concejo,BOYACA,SANTANA,JOSE JOAQUIN CASTRO GUIZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98033
Concejo,BOYACA,SANTANA,JOSE LUIS SANTOS GARCIA,PARTIDO CAMBIO RADICAL,98059
Concejo,BOYACA,SANTANA,JUAN DE DIOS MURILLO ,PARTIDO COLOMBIA JUSTA LIBRES,98040
Concejo,BOYACA,SANTANA,JULIAN ALBERTO CASTELLANOS GARAVITO,PARTIDO LIBERAL COLOMBIANO,98019
Concejo,BOYACA,SANTANA,LEIDY DANIELA AMADOR DIAZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98032
Concejo,BOYACA,SANTANA,LEONARDO  ZARATE CAMACHO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98073
Concejo,BOYACA,SANTANA,LEONEL  OSMA BAREÑO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98031
Concejo,BOYACA,SANTANA,LEYDI  FONTECHA VARGAS,PARTIDO ADA,98045
Concejo,BOYACA,SANTANA,LIBIA ASTRID SANTOYO DELGADO,PARTIDO LIBERAL COLOMBIANO,98018
Concejo,BOYACA,SANTANA,LINA ROCIO BORRAIS HIGUERA,PARTIDO CAMBIO RADICAL,98062
Concejo,BOYACA,SANTANA,LINDER FRANKLY FONSECA FAJARDO,PARTIDO ALIANZA VERDE,98063
Concejo,BOYACA,SANTANA,LORENZO  CHACON PARDO,PARTIDO LIBERAL COLOMBIANO,98015
Concejo,BOYACA,SANTANA,LUIS ALFONSO MENDIVELSO MENDIVELSO,PARTIDO ALIANZA VERDE,98066
Concejo,BOYACA,SANTANA,LUIS EMIRO GARAVITO ALFONSO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98035
Concejo,BOYACA,SANTANA,LUIS MARIO MORALES ,PARTIDO LIBERAL COLOMBIANO,98022
Concejo,BOYACA,SANTANA,MARCELA  TELLEZ GORDON,PARTIDO CAMBIO RADICAL,98056
Concejo,BOYACA,SANTANA,MARIA EUGENIA GARZON CADENA,PARTIDO CENTRO DEMOCRATICO,98028
Concejo,BOYACA,SANTANA,MARIA GINETH CRISTANCHO RUIZ,PARTIDO COLOMBIA JUSTA LIBRES,98044
Concejo,BOYACA,SANTANA,MARIA JOSE ORTIZ RUBIANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98080
Concejo,BOYACA,SANTANA,MARITZA  ARDILA ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98034
Concejo,BOYACA,SANTANA,MARY LUZ CASTRO ,PARTIDO ALIANZA VERDE,98065
Concejo,BOYACA,SANTANA,MARYORY  BELTRAN SUAREZ,PARTIDO ADA,98053
Concejo,BOYACA,SANTANA,MELQUISEDEC  AGUILAR VARGAS,PARTIDO COLOMBIA JUSTA LIBRES,98042
Concejo,BOYACA,SANTANA,MILCIADES  OLARTE AMADO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98039
Concejo,BOYACA,SANTANA,NANCY EDITH LINARES HURTADO,PARTIDO ALIANZA VERDE,98071
Concejo,BOYACA,SANTANA,NICOLAS  GAONA GRANADOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98037
Concejo,BOYACA,SANTANA,OLGA PATRICIA ANGULO CRUZ,PARTIDO CENTRO DEMOCRATICO,98026
Concejo,BOYACA,SANTANA,OLIMPO  GUIZA AVENDAÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98076
Concejo,BOYACA,SANTANA,OSCAR  TORRES PAEZ,PARTIDO ALIANZA VERDE,98068
Concejo,BOYACA,SANTANA,PEDRO NEL PIZA OLARTE,PARTIDO CENTRO DEMOCRATICO,98027
Concejo,BOYACA,SANTANA,PRUDENCIO  CASTAÑEDA ,PARTIDO CENTRO DEMOCRATICO,98024
Concejo,BOYACA,SANTANA,RAMIRO  NIÑO BENAVIDES,PARTIDO ALIANZA VERDE,98070
Concejo,BOYACA,SANTANA,SANDRA MILENA FORERO JUAGIBIOY,PARTIDO CAMBIO RADICAL,98060
Concejo,BOYACA,SANTANA,SHIRLEY JOHANA ULLOA PEREZ,PARTIDO ALIANZA VERDE,98069
Concejo,BOYACA,SANTANA,VICTOR MANUEL SUA GUZMAN,PARTIDO CAMBIO RADICAL,98055
Concejo,BOYACA,SANTANA,WILLIAM  RUIZ GRANDAS,PARTIDO CENTRO DEMOCRATICO,98030
Concejo,BOYACA,SANTANA,WILLIAM  ULLOA MEDINA,PARTIDO CAMBIO RADICAL,98058
Concejo,BOYACA,SANTANA,WILLIAM FERNEL SANTAMARIA BORRAIZ,PARTIDO ADA,98052
Concejo,BOYACA,SANTANA,WILSON  PEÑA PARDO,PARTIDO CENTRO DEMOCRATICO,98029
Concejo,BOYACA,SANTANA,YEIMI YARLEDY VARGAS SANDOVAL,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98036
Concejo,BOYACA,SANTANA,YESICA LORENA HOLGUIN BORRAIS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98077
