corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,SATIVASUR,ADRIANA CECILIA MACHUCA BARAJAS,PARTIDO CENTRO DEMOCRATICO,98267
Concejo,BOYACA,SATIVASUR,BRAYAN ASDRUBAL GOMEZ ARISMENDI,PARTIDO CONSERVADOR COLOMBIANO,98273
Concejo,BOYACA,SATIVASUR,CARMEN LILIANA ACOSTA VALBUENA,PARTIDO CENTRO DEMOCRATICO,98266
Concejo,BOYACA,SATIVASUR,CESAR DOSITEO GARZON NOVA,PARTIDO CENTRO DEMOCRATICO,98262
Concejo,BOYACA,SATIVASUR,EDGAR WILSON SALAZAR SEQUERA,PARTIDO LIBERAL COLOMBIANO,98259
Concejo,BOYACA,SATIVASUR,HENRY ALDEMAR DIAZ GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,98271
Concejo,BOYACA,SATIVASUR,JOSE IVAN SALAZAR MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,98272
Concejo,BOYACA,SATIVASUR,JUAN PABLO JOYA LEON,PARTIDO CONSERVADOR COLOMBIANO,98274
Concejo,BOYACA,SATIVASUR,LAURA SUSANA APARICIO GARCIA,PARTIDO CONSERVADOR COLOMBIANO,98270
Concejo,BOYACA,SATIVASUR,LUIS GILBERTO PATIÑO BARAJAS,PARTIDO LIBERAL COLOMBIANO,98257
Concejo,BOYACA,SATIVASUR,LUZ MARIELA GOMEZ DELGADO,PARTIDO CONSERVADOR COLOMBIANO,98268
Concejo,BOYACA,SATIVASUR,MARCO AURELIO LOPEZ GOMEZ,PARTIDO CENTRO DEMOCRATICO,98263
Concejo,BOYACA,SATIVASUR,MARITZA YULIETH MEJIA PARRA,PARTIDO LIBERAL COLOMBIANO,98260
Concejo,BOYACA,SATIVASUR,NELLY YASMITH HIGUERA CORREDOR,PARTIDO CONSERVADOR COLOMBIANO,98269
Concejo,BOYACA,SATIVASUR,OSCAR JAVIER GOMEZ LEON,PARTIDO CENTRO DEMOCRATICO,98264
Concejo,BOYACA,SATIVASUR,ROLANDO ALBAN DUARTE ANGARITA,PARTIDO LIBERAL COLOMBIANO,98261
Concejo,BOYACA,SATIVASUR,SANDRA ESPERANZA HIGUERA GOMEZ,PARTIDO LIBERAL COLOMBIANO,98256
Concejo,BOYACA,SATIVASUR,SONIA CAROLINA MOJICA ZUÑIGA,PARTIDO LIBERAL COLOMBIANO,98258
Concejo,BOYACA,SATIVASUR,TATIANA ANDREA AYALA AYALA,PARTIDO CENTRO DEMOCRATICO,98265
Concejo,BOYACA,SATIVASUR,WILLIAM IVAN MANRIQUE MARTINEZ,PARTIDO LIBERAL COLOMBIANO,98255
