corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,SIACHOQUE,ALBA ROCIO AVILA PRIMICIERO,PARTIDO COLOMBIA RENACIENTE,98305
Concejo,BOYACA,SIACHOQUE,ALEXANDER  QUEMBA GARCIA,PARTIDO ALIANZA VERDE,98345
Concejo,BOYACA,SIACHOQUE,ALICIA  SOSA MEDINA,PARTIDO ADA,98312
Concejo,BOYACA,SIACHOQUE,ALVARO ARCENIO GARCIA QUEMBA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98358
Concejo,BOYACA,SIACHOQUE,ANGELA CRISTINA TIBATA CHITIVO,PARTIDO ALIANZA VERDE,98338
Concejo,BOYACA,SIACHOQUE,ANGELA JHOAIRA GARCIA ZIPASUCA,PARTIDO ALIANZA VERDE,98340
Concejo,BOYACA,SIACHOQUE,APULEYO  LA ROTTA RACHEN,PARTIDO LIBERAL COLOMBIANO,98279
Concejo,BOYACA,SIACHOQUE,AURA NELLY CHOCONTA JIMENEZ,PARTIDO COLOMBIA RENACIENTE,98303
Concejo,BOYACA,SIACHOQUE,AURA YANETH GUAMAN MONROY,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98355
Concejo,BOYACA,SIACHOQUE,CARLOS ARTURO LEON PIRA,PARTIDO CENTRO DEMOCRATICO,98289
Concejo,BOYACA,SIACHOQUE,CARLOS HUMBERTO TIBAGAN CALDERON,PARTIDO ALIANZA VERDE,98343
Concejo,BOYACA,SIACHOQUE,CARLOS JAVIER PIRAZAN GUAMAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98360
Concejo,BOYACA,SIACHOQUE,CARLOS JULIO MORENO CASTELBLANCO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98356
Concejo,BOYACA,SIACHOQUE,CLAUDIA MARCELA MONROY JIMENEZ,PARTIDO LIBERAL COLOMBIANO,98276
Concejo,BOYACA,SIACHOQUE,CLEMENCIA  ALVARADO AVILA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98347
Concejo,BOYACA,SIACHOQUE,DANIEL GUILLERMO WILCHEZ LEON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98301
Concejo,BOYACA,SIACHOQUE,EDILSON  VARGAS CARO,PARTIDO CONSERVADOR COLOMBIANO,98319
Concejo,BOYACA,SIACHOQUE,EDISON OSWALDO AGUILAR GRANADOS,PARTIDO ALIANZA VERDE,98339
Concejo,BOYACA,SIACHOQUE,EDUARDO  VALIENTE PIRAZAN,PARTIDO POLO DEMOCRATICO ALTERNATIVO,98368
Concejo,BOYACA,SIACHOQUE,ELVIA HELENA SILVA CORONADO,PARTIDO CENTRO DEMOCRATICO,98291
Concejo,BOYACA,SIACHOQUE,ERNESTO  BORDA LOPEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98346
Concejo,BOYACA,SIACHOQUE,EUGENIO  SANCHEZ TIBATA,PARTIDO CENTRO DEMOCRATICO,98284
Concejo,BOYACA,SIACHOQUE,FABIO ENRIQUE BOYACA DE SALVADOR,PARTIDO CAMBIO RADICAL,98332
Concejo,BOYACA,SIACHOQUE,FELIX ARMANDO CALDERON HERNANDEZ,PARTIDO COLOMBIA RENACIENTE,98304
Concejo,BOYACA,SIACHOQUE,FLOR ALBA AGUILAR QUEMBA,PARTIDO COLOMBIA RENACIENTE,98307
Concejo,BOYACA,SIACHOQUE,FLORALBA  MORENO MORALES,PARTIDO POLO DEMOCRATICO ALTERNATIVO,98366
Concejo,BOYACA,SIACHOQUE,FRANCISCO JAVIER BERNAL QUIROZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98350
Concejo,BOYACA,SIACHOQUE,FREDY ARMANDO CORREALES ACUÑA,PARTIDO ADA,98315
Concejo,BOYACA,SIACHOQUE,GABRIEL  GALINDO AVILA,PARTIDO ADA,98311
Concejo,BOYACA,SIACHOQUE,GLADIS  CATOLICO QUEMBA,PARTIDO ADA,98314
Concejo,BOYACA,SIACHOQUE,HECTOR  GARCIA OCHOA,PARTIDO LIBERAL COLOMBIANO,98277
Concejo,BOYACA,SIACHOQUE,HECTOR JOSE QUINTERO HUERTAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98293
Concejo,BOYACA,SIACHOQUE,HECTOR MARIO CHITIVO ARIAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98354
Concejo,BOYACA,SIACHOQUE,HERIBERTO  CARDENAL ARIAS,PARTIDO ADA,98317
Concejo,BOYACA,SIACHOQUE,IVONE DANIELA PINEDA BONILLA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,98364
Concejo,BOYACA,SIACHOQUE,JAIME  GARCIA ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98349
Concejo,BOYACA,SIACHOQUE,JAIME  LEON SOTO,PARTIDO COLOMBIA RENACIENTE,98302
Concejo,BOYACA,SIACHOQUE,JHON JAIRO ORTEGA FORERO,PARTIDO COLOMBIA RENACIENTE,98306
Concejo,BOYACA,SIACHOQUE,JOAQUIN  FARIAS GARCIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98348
Concejo,BOYACA,SIACHOQUE,JOHN FRANKY PACAVITA AVILA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,98363
Concejo,BOYACA,SIACHOQUE,JORGE ALBEIRO CATOLICO RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,98320
Concejo,BOYACA,SIACHOQUE,JOSE ALIRIO RAMIREZ LOPEZ,PARTIDO CENTRO DEMOCRATICO,98288
Concejo,BOYACA,SIACHOQUE,JOSE DELFIN LOPEZ MONGUA,PARTIDO CONSERVADOR COLOMBIANO,98323
Concejo,BOYACA,SIACHOQUE,JOSE GABRIEL CRUZ ALVARADO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98300
Concejo,BOYACA,SIACHOQUE,JOSE MIGUEL AVILA PUIN,PARTIDO COLOMBIA RENACIENTE,98310
Concejo,BOYACA,SIACHOQUE,JOSE MISAEL ESPITIA BOYACA,PARTIDO ADA,98318
