corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,SOATA,AGUSTIN  PAREDES GALLO,PARTIDO ALIANZA VERDE,98415
Concejo,BOYACA,SOATA,ALBA BERENICE PEÑA HERREÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98434
Concejo,BOYACA,SOATA,ALEXANDRA MILENA CASTRO VASQUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98432
Concejo,BOYACA,SOATA,ALFONSO  LINARES GUEVARA,PARTIDO LIBERAL COLOMBIANO,98378
Concejo,BOYACA,SOATA,ANTONIA DEL PILAR CORREDOR RAMIREZ,PARTIDO CENTRO DEMOCRATICO,98383
Concejo,BOYACA,SOATA,CARLOS  BARRERA ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98431
Concejo,BOYACA,SOATA,CARLOS HUMBERTO ACERO BOTIA,PARTIDO CENTRO DEMOCRATICO,98380
Concejo,BOYACA,SOATA,CARLOS JULIO DIAZ DIAZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98422
Concejo,BOYACA,SOATA,CESAR ALBERTO ANGARITA RINCON,PARTIDO ALIANZA VERDE,98413
Concejo,BOYACA,SOATA,DIANA MILENA SANDOVAL PAREDES,PARTIDO CENTRO DEMOCRATICO,98384
Concejo,BOYACA,SOATA,DIEGO ANDRES PINEDA CORREA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98419
Concejo,BOYACA,SOATA,DUVAN DARIO BARRERA OROZCO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98425
Concejo,BOYACA,SOATA,ESTIVER FERNEY MOJICA BRICEÑO,PARTIDO ALIANZA VERDE,98417
Concejo,BOYACA,SOATA,EVER ALONSO MOJICA MANRIQUE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98426
Concejo,BOYACA,SOATA,FABIO LEONIDAS RODRIGUEZ PINZON,PARTIDO CONSERVADOR COLOMBIANO,98403
Concejo,BOYACA,SOATA,GIOVANNI ANDRES ARCHILA BONILLA,PARTIDO CONSERVADOR COLOMBIANO,98399
Concejo,BOYACA,SOATA,GLORIA YANETH RODRIGUEZ FUENTES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98429
Concejo,BOYACA,SOATA,HEDILBERTO  CHACON JAIMES,PARTIDO ALIANZA VERDE,98418
Concejo,BOYACA,SOATA,HORACIO JOSE MANRIQUE GOMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98420
Concejo,BOYACA,SOATA,HUMBERTO  GARCIA CAMACHO,PARTIDO CENTRO DEMOCRATICO,98386
Concejo,BOYACA,SOATA,INES JULIANA AVILA PERICO,PARTIDO ALIANZA VERDE,98414
Concejo,BOYACA,SOATA,IVAN FELIPE RAMIREZ BARRERA,PARTIDO ALIANZA VERDE,98411
Concejo,BOYACA,SOATA,JAIME  ROJAS MESA,PARTIDO LIBERAL COLOMBIANO,98372
Concejo,BOYACA,SOATA,JAIME ANDRES MARTINEZ FUENTES,PARTIDO LIBERAL COLOMBIANO,98374
Concejo,BOYACA,SOATA,JAIRO EDILBERTO CIFUENTES POVEDA,PARTIDO LIBERAL COLOMBIANO,98376
Concejo,BOYACA,SOATA,JAVIER  PINZON PAEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98430
Concejo,BOYACA,SOATA,JOHN  DIAZ FUENTES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98428
Concejo,BOYACA,SOATA,JOHN LEONARDO SOTELO GARCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98389
Concejo,BOYACA,SOATA,JONATHAN FERNANDO REYES ANGARITA,PARTIDO CAMBIO RADICAL,98404
Concejo,BOYACA,SOATA,JONATHAN JULIAN PRIETO RODRIGUEZ,PARTIDO CAMBIO RADICAL,98409
Concejo,BOYACA,SOATA,JOSE ALEJANDRO LOPEZ MESA,PARTIDO CENTRO DEMOCRATICO,98387
Concejo,BOYACA,SOATA,JOSE ANTONIO BAEZ MOJICA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98427
Concejo,BOYACA,SOATA,JOSE GUILLERMO AMADO LOPEZ,PARTIDO CENTRO DEMOCRATICO,98381
Concejo,BOYACA,SOATA,JUAN SEGUNDO VARGAS SALCEDO,PARTIDO CENTRO DEMOCRATICO,98382
Concejo,BOYACA,SOATA,JULIA  BURGOS DIAZ,PARTIDO LIBERAL COLOMBIANO,98375
Concejo,BOYACA,SOATA,JULIANA ANDREA AYALA DELGADO,PARTIDO LIBERAL COLOMBIANO,98377
Concejo,BOYACA,SOATA,LEONARDO  TORRES CARVAJAL,PARTIDO CAMBIO RADICAL,98406
Concejo,BOYACA,SOATA,LEONARDO ALBERTO CARRILLO PEREZ,PARTIDO LIBERAL COLOMBIANO,98370
Concejo,BOYACA,SOATA,LIBARDO  VIVAS ,PARTIDO CAMBIO RADICAL,98408
Concejo,BOYACA,SOATA,LIDA FABIOLA JIMENEZ BURGOS,PARTIDO CONSERVADOR COLOMBIANO,98400
Concejo,BOYACA,SOATA,LUIS ALIRIO MOJICA RINCON,PARTIDO CONSERVADOR COLOMBIANO,98397
Concejo,BOYACA,SOATA,LUIS EDUARDO GUERRERO CARREÑO,PARTIDO CENTRO DEMOCRATICO,98385
Concejo,BOYACA,SOATA,LUIS JOSE MILLAN COBOS,PARTIDO ALIANZA VERDE,98410
Concejo,BOYACA,SOATA,LUZ STELLA JAIME FLOREZ,PARTIDO LIBERAL COLOMBIANO,98373
Concejo,BOYACA,SOATA,MANUELA  MESA GUTIERREZ,PARTIDO ALIANZA VERDE,98412
Concejo,BOYACA,SOATA,MARCELA  MEDINA LOPEZ,PARTIDO LIBERAL COLOMBIANO,98371
Concejo,BOYACA,SOATA,MARIA CLAUDIA OTALORA ARAQUE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98423
Concejo,BOYACA,SOATA,MARIA GETRUDIS MANRIQUE ESTUPIÑAN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98393
Concejo,BOYACA,SOATA,MARIA SILDANA SANDOVAL SANDOVAL,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98392
Concejo,BOYACA,SOATA,MARTHA INES HERNANDEZ GUTIERREZ,PARTIDO CAMBIO RADICAL,98405
Concejo,BOYACA,SOATA,MARY LUZ HERNANDEZ ARCHILA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98388
Concejo,BOYACA,SOATA,MAURICIO ROGELIO CETINA GARCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98394
Concejo,BOYACA,SOATA,MILDER ASTRID MARTINEZ COMBITA,PARTIDO CONSERVADOR COLOMBIANO,98398
Concejo,BOYACA,SOATA,NANCY LILIANA GUTIERREZ TORRES,PARTIDO CENTRO DEMOCRATICO,98379
Concejo,BOYACA,SOATA,NESTOR YECID BURGOS PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,98433
Concejo,BOYACA,SOATA,OSANA  GOMEZ ALBARRACIN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98390
Concejo,BOYACA,SOATA,OSCAR GENARO BAEZ GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,98396
Concejo,BOYACA,SOATA,OSCAR ORLANDO LLANES BLANCO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98391
Concejo,BOYACA,SOATA,RAMIRO  SALCEDO REYES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,98395
Concejo,BOYACA,SOATA,ROCIO DEL PILAR SALAZAR CIFUENTES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98424
Concejo,BOYACA,SOATA,ROSA BEATRIZ MEDINA APONTE,PARTIDO CONSERVADOR COLOMBIANO,98402
Concejo,BOYACA,SOATA,RUBY MAYERLY LLANES LIZARAZO,PARTIDO CAMBIO RADICAL,98407
Concejo,BOYACA,SOATA,SOCORRO  PATIÑO BASTO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,98421
Concejo,BOYACA,SOATA,SONIA MAYOLY LOPEZ ROJAS,PARTIDO ALIANZA VERDE,98416
Concejo,BOYACA,SOATA,YOLANDA YANIRA GOMEZ MANCHEGO,PARTIDO CONSERVADOR COLOMBIANO,98401
