corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,SUSACON,ALICIA  LIZARAZO PUENTES,PARTIDO ALIANZA VERDE,99072
Concejo,BOYACA,SUSACON,ALIRIO  SUAREZ MESA,PARTIDO CONSERVADOR COLOMBIANO,99056
Concejo,BOYACA,SUSACON,ANGIE KATHERINE MESA SANDOVAL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99078
Concejo,BOYACA,SUSACON,CLARA INES CASTAÑEDA JOYA,PARTIDO CONSERVADOR COLOMBIANO,99058
Concejo,BOYACA,SUSACON,DORA ESPERANZA CASTAÑEDA CARDENAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99079
Concejo,BOYACA,SUSACON,EDGAR ANTONIO SANDOVAL SUAREZ,PARTIDO ALIANZA VERDE,99073
Concejo,BOYACA,SUSACON,ELI  BAEZ BAEZ,PARTIDO CAMBIO RADICAL,99064
Concejo,BOYACA,SUSACON,ESPERANZA  BARRERA SANDOVAL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99077
Concejo,BOYACA,SUSACON,FERNANDO  RINCON ROJAS,PARTIDO ALIANZA VERDE,99071
Concejo,BOYACA,SUSACON,FREDY LAUREANO MEJIA MEDINA,PARTIDO CAMBIO RADICAL,99063
Concejo,BOYACA,SUSACON,GRACIELA  PINZON PINZON,PARTIDO ALIANZA VERDE,99069
Concejo,BOYACA,SUSACON,GREGORIO  SANDOVAL LIZARAZO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99076
Concejo,BOYACA,SUSACON,JAIME ENRIQUE DAVILA BAEZ,PARTIDO CONSERVADOR COLOMBIANO,99055
Concejo,BOYACA,SUSACON,JOSE LUIS MESA VARGAS,PARTIDO ALIANZA VERDE,99075
Concejo,BOYACA,SUSACON,LUIS NEVARDO GOMEZ SANDOVAL,PARTIDO CONSERVADOR COLOMBIANO,99057
Concejo,BOYACA,SUSACON,LUISA MARGARITA ARCINIEGAS MESA,PARTIDO CAMBIO RADICAL,99068
Concejo,BOYACA,SUSACON,MARIA ANTONIA LIZARAZO RIOS,PARTIDO CONSERVADOR COLOMBIANO,99060
Concejo,BOYACA,SUSACON,MARIA ARACELY LEON LEON,PARTIDO CONSERVADOR COLOMBIANO,99061
Concejo,BOYACA,SUSACON,MARIA NORA MESA ,PARTIDO ALIANZA VERDE,99070
Concejo,BOYACA,SUSACON,MILTON  VELASCO MIRANDA,PARTIDO CONSERVADOR COLOMBIANO,99059
Concejo,BOYACA,SUSACON,NELSON ASDRUBAL TOLOSA SUAREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99080
Concejo,BOYACA,SUSACON,NIDIA AZUCENA MARIN MESA,PARTIDO CAMBIO RADICAL,99066
Concejo,BOYACA,SUSACON,NIDIA ROCIO CASTAÑEDA SUAREZ,PARTIDO CAMBIO RADICAL,99067
Concejo,BOYACA,SUSACON,OSCAR MAURICIO HERNANDEZ BARRERA,PARTIDO CAMBIO RADICAL,99062
Concejo,BOYACA,SUSACON,OSCAR URIEL DAVILA DURAN,PARTIDO CAMBIO RADICAL,99065
Concejo,BOYACA,SUSACON,TRANSITO EDITH APONTE LIZARAZO,PARTIDO ALIANZA VERDE,99074
