corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,TIBASOSA,ALVARO FERNANDO CARDENAS CAMARGO,TIBASOSA PRIMERO,99400
Concejo,BOYACA,TIBASOSA,ANA ESTHER CARREÑO APONTE,PARTIDO ALIANZA VERDE,99370
Concejo,BOYACA,TIBASOSA,ANA MARIA DIAZ INFANTE,PARTIDO CENTRO DEMOCRATICO,99327
Concejo,BOYACA,TIBASOSA,ANDREA CATHERIN LUGO CADENA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,99381
Concejo,BOYACA,TIBASOSA,ANGEL MESIAS CAMARGO CAMARGO,PARTIDO CENTRO DEMOCRATICO,99321
Concejo,BOYACA,TIBASOSA,ANSELMO ENRIQUE TALERO ALFONSO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99393
Concejo,BOYACA,TIBASOSA,BLANCA LIGIA GUARIN ZEA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99389
Concejo,BOYACA,TIBASOSA,BRAYAN ALEXIS MORENO PEREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99333
Concejo,BOYACA,TIBASOSA,CAMILO  NEIRA HUERTAS,PARTIDO CONSERVADOR COLOMBIANO,99346
Concejo,BOYACA,TIBASOSA,CARLOS ALBERTO RAMIREZ FONSECA,PARTIDO ALIANZA VERDE,99374
Concejo,BOYACA,TIBASOSA,CARLOS ESTEBAN MOGOLLON MOLANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,99377
Concejo,BOYACA,TIBASOSA,CHRISTIAN CAMILO MONTAÑA CELY,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99386
Concejo,BOYACA,TIBASOSA,CLAUDIA ETELVINA BAYONA BERNAL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99387
Concejo,BOYACA,TIBASOSA,DAYANA LUCIA CORREA CHAPARRO,PARTIDO CONSERVADOR COLOMBIANO,99352
Concejo,BOYACA,TIBASOSA,DIANA MARCELA CADENA GUTIERREZ,PARTIDO ALIANZA VERDE,99369
Concejo,BOYACA,TIBASOSA,DORIS SANDRA HERNANDEZ LEON,PARTIDO CONSERVADOR COLOMBIANO,99349
Concejo,BOYACA,TIBASOSA,EDILBERTO  TELLEZ FERNANDEZ,PARTIDO ALIANZA VERDE,99376
