corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,TOTA,ALONSO  TALERO SANCHEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99739
Concejo,BOYACA,TOTA,ALVARO  LEMUS FORIGUA,PARTIDO LIBERAL COLOMBIANO,99721
Concejo,BOYACA,TOTA,AMIRA MARCELA PEREZ ROJAS,PARTIDO LIBERAL COLOMBIANO,99723
Concejo,BOYACA,TOTA,ANA ELVIRA VARGAS DE LOPEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99740
Concejo,BOYACA,TOTA,ANA PATRICIA MARTINEZ HERRERA,PARTIDO ALIANZA VERDE,99760
Concejo,BOYACA,TOTA,ANDERSON  RIAÑO LEON,PARTIDO CAMBIO RADICAL,99755
Concejo,BOYACA,TOTA,BLANCA ROSIO CAMARGO PULIDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99742
Concejo,BOYACA,TOTA,CARLOS ALBERTO BERNAL ROJAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99779
Concejo,BOYACA,TOTA,CARLOS ARTURO WANUMEN SANCHEZ,PARTIDO CONSERVADOR COLOMBIANO,99745
Concejo,BOYACA,TOTA,CARLOS GABRIEL MORALES MORALES,PARTIDO CAMBIO RADICAL,99752
Concejo,BOYACA,TOTA,CARLOS NELSON RIAÑO ARANGUREN,PARTIDO LIBERAL COLOMBIANO,99720
Concejo,BOYACA,TOTA,CIRO ANTONIO TALERO ,PARTIDO CONSERVADOR COLOMBIANO,99746
Concejo,BOYACA,TOTA,CLAUDIA PATRICIA MARTINEZ DIAZ,PARTIDO LIBERAL COLOMBIANO,99724
Concejo,BOYACA,TOTA,CRISTIAN ALBERTO LOPEZ MARTINEZ,PARTIDO CENTRO DEMOCRATICO,99733
Concejo,BOYACA,TOTA,CRISTIAN ANDRES MARTINEZ ARANGUREN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99735
Concejo,BOYACA,TOTA,DEISY ELIZABETH MARTINEZ ALARCON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99780
