corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,TUNUNGUA,ADELMO ALIRIO PASTRAN PEÑA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99806
Concejo,BOYACA,TUNUNGUA,AIDA RUBIELA SANTAMARIA MURILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99803
Concejo,BOYACA,TUNUNGUA,ARIOLFO MAURICIO SAZA PEÑA,PARTIDO CAMBIO RADICAL,99797
Concejo,BOYACA,TUNUNGUA,BLANCA YOVANA PINEDA DIAZ,PARTIDO CENTRO DEMOCRATICO,99790
Concejo,BOYACA,TUNUNGUA,BRAYAN YESID PORRAS PASTRAN,PARTIDO LIBERAL COLOMBIANO,99788
Concejo,BOYACA,TUNUNGUA,DIEGO FELIPE RIVERA LAITON,PARTIDO CENTRO DEMOCRATICO,99794
Concejo,BOYACA,TUNUNGUA,EDGAR HIPOLITO ORTIZ AVILA,PARTIDO CENTRO DEMOCRATICO,99791
Concejo,BOYACA,TUNUNGUA,EDUIN YANITH DIAZ GUERRERO,PARTIDO CAMBIO RADICAL,99796
Concejo,BOYACA,TUNUNGUA,HEVERSON STIDEN PINEDA BUSTOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99804
Concejo,BOYACA,TUNUNGUA,JAIME ENRIQUE SALAMANCA RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,99786
Concejo,BOYACA,TUNUNGUA,JIMMY GERARDO BARRERA CASAS,PARTIDO CAMBIO RADICAL,99800
Concejo,BOYACA,TUNUNGUA,JORGE ENRIQUE CALDERON TORRES,PARTIDO CENTRO DEMOCRATICO,99795
Concejo,BOYACA,TUNUNGUA,JOSE BALDOMIRO SANCHEZ ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99805
Concejo,BOYACA,TUNUNGUA,JOSUE HUMBERTO LEMUS PEÑA,PARTIDO CENTRO DEMOCRATICO,99792
Concejo,BOYACA,TUNUNGUA,LAURA MARCELA PINZON SANTAMARIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99801
Concejo,BOYACA,TUNUNGUA,LORENA FABIOLA PINEDA VARGAS,PARTIDO CAMBIO RADICAL,99799
Concejo,BOYACA,TUNUNGUA,LYDA MARCELA SANTANA SUAZO,PARTIDO CENTRO DEMOCRATICO,99793
Concejo,BOYACA,TUNUNGUA,MARIA HERLINDA VARELA PINEDA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,99802
Concejo,BOYACA,TUNUNGUA,MARYOLI LIZETH TORRES SAZA,PARTIDO LIBERAL COLOMBIANO,99787
Concejo,BOYACA,TUNUNGUA,SANDRA YAMILE PINEDA BARRERA,PARTIDO CAMBIO RADICAL,99798
Concejo,BOYACA,TUNUNGUA,WILLIAN ALCANTAR ROJAS ,PARTIDO LIBERAL COLOMBIANO,99789
Concejo,BOYACA,TUNUNGUA,YANNY ENITH CORTES ROJAS,PARTIDO LIBERAL COLOMBIANO,99785
