corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,TURMEQUE,ALDO MANUEL VALERO VELOZA,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,99869
Concejo,BOYACA,TURMEQUE,ANGIE XIOMARA PEREZ MUÑOZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,99855
Concejo,BOYACA,TURMEQUE,ARISTIDES  GOMEZ SOBA,PARTIDO ALIANZA VERDE,99838
Concejo,BOYACA,TURMEQUE,AURA CONSUELO JIMENEZ PINZON,PARTIDO LIBERAL COLOMBIANO,99809
Concejo,BOYACA,TURMEQUE,CHRISTIAN DAVID RODRIGUEZ BUSTOS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,99843
Concejo,BOYACA,TURMEQUE,CLAUDIA PATRICIA ROBAYO SIERRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99822
Concejo,BOYACA,TURMEQUE,DEISY LILIANA MUÑOZ MORENO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,99862
Concejo,BOYACA,TURMEQUE,DIANA CAROLINA BELTRAN NOVOA,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,99868
Concejo,BOYACA,TURMEQUE,EDGAR HERNAN ROBAYO MORENO,PARTIDO LIBERAL COLOMBIANO,99815
Concejo,BOYACA,TURMEQUE,EDINZON JULIAN MUÑOZ MUÑOZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99816
Concejo,BOYACA,TURMEQUE,EDITH JOHANA GARCIA LEIVA,PARTIDO ALIANZA VERDE,99842
Concejo,BOYACA,TURMEQUE,EDWIN ELIECER ROMERO CRUZ,PARTIDO LIBERAL COLOMBIANO,99812
Concejo,BOYACA,TURMEQUE,ELIAS ANTONIO MORENO MORENO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99824
Concejo,BOYACA,TURMEQUE,ESMER HERNAN MUÑOZ PUENTES,PARTIDO LIBERAL COLOMBIANO,99814
Concejo,BOYACA,TURMEQUE,FAMINZON SMITH FUQUEN PLAZAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,99845
Concejo,BOYACA,TURMEQUE,FERMIN  HERNANDEZ LANCHEROS,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,99867
Concejo,BOYACA,TURMEQUE,FLOR DELINA SABOYA TORRES,PARTIDO ALIANZA VERDE,99839
Concejo,BOYACA,TURMEQUE,FRANCI DEISY QUINTERO FERNANDEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,99863
