corp,dpto,mpio,name,party,wp_no
Concejo,BOYACA,TUTAZA,ALICIA  ALARCON SISSA,PARTIDO CENTRO DEMOCRATICO,99951
Concejo,BOYACA,TUTAZA,ALIRIO  SACHICA ROJAS,PARTIDO ALIANZA VERDE,99981
Concejo,BOYACA,TUTAZA,ANGELA ROCIO GONZALEZ RAVELO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99958
Concejo,BOYACA,TUTAZA,BLANCA LUCY SISSA SISSA,PARTIDO CENTRO DEMOCRATICO,99950
Concejo,BOYACA,TUTAZA,BRICEIDA  SILVA AYALA,PARTIDO CENTRO DEMOCRATICO,99955
Concejo,BOYACA,TUTAZA,CLAUDIA YANETH VERDUGO OJEDA,PARTIDO CENTRO DEMOCRATICO,99952
Concejo,BOYACA,TUTAZA,CRISTOBAL  PAREDES PINEDA,PARTIDO LIBERAL COLOMBIANO,99948
Concejo,BOYACA,TUTAZA,DENIS  GOMEZ HERNANDEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99960
Concejo,BOYACA,TUTAZA,DIANA CAROLINA ESTUPIÑAN CASTRO,PARTIDO LIBERAL COLOMBIANO,99947
Concejo,BOYACA,TUTAZA,DIOMEDES  RAVELO PINZON,PARTIDO CONSERVADOR COLOMBIANO,99968
Concejo,BOYACA,TUTAZA,ERIBERTO  RONDEROS CACERES,PARTIDO CAMBIO RADICAL,99974
Concejo,BOYACA,TUTAZA,EULISES  CORDOBA APARICIO,PARTIDO CAMBIO RADICAL,99969
Concejo,BOYACA,TUTAZA,FABIO  AMADO PEREZ,PARTIDO CAMBIO RADICAL,99971
Concejo,BOYACA,TUTAZA,FABIO MISAEL CASTRO CARDENAS,PARTIDO LIBERAL COLOMBIANO,99946
Concejo,BOYACA,TUTAZA,FREDY ALBEIRO SISSA SISSA,PARTIDO ALIANZA VERDE,99980
Concejo,BOYACA,TUTAZA,FREDY RODRIGO GOMEZ SISSA,PARTIDO CONSERVADOR COLOMBIANO,99966
Concejo,BOYACA,TUTAZA,GLORIA ESTELA BOLIVAR CHAVES,PARTIDO CONSERVADOR COLOMBIANO,99965
Concejo,BOYACA,TUTAZA,HENRY  ANGARITA JAIME,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99961
Concejo,BOYACA,TUTAZA,JAIRO DELSAR SOLANO CASTRO,PARTIDO CONSERVADOR COLOMBIANO,99964
Concejo,BOYACA,TUTAZA,JOSE GABRIEL JAIME RAVELO,PARTIDO LIBERAL COLOMBIANO,99944
Concejo,BOYACA,TUTAZA,JUAN CAMILO NIÑO AYALA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99956
Concejo,BOYACA,TUTAZA,LEIDY TATIANA ESTUPIÑAN CORDOBA,PARTIDO ALIANZA VERDE,99976
Concejo,BOYACA,TUTAZA,LIDA MAIDE SOLANO CASTRO,PARTIDO ALIANZA VERDE,99977
Concejo,BOYACA,TUTAZA,LUIS EDUARDO MONROY VILLAMARIN,PARTIDO ALIANZA VERDE,99978
Concejo,BOYACA,TUTAZA,LUIS EDUARDO SISA NIÑO,PARTIDO CONSERVADOR COLOMBIANO,99963
Concejo,BOYACA,TUTAZA,LUIS EVER LINARES ESCARRAGA,PARTIDO CENTRO DEMOCRATICO,99954
Concejo,BOYACA,TUTAZA,LUIS MARIA GARCIA GOMEZ,PARTIDO CENTRO DEMOCRATICO,99953
Concejo,BOYACA,TUTAZA,MARCO ALBEIRO VILLAMIZAR ORTIZ,PARTIDO CAMBIO RADICAL,99972
Concejo,BOYACA,TUTAZA,MARILCEN  JAIME GUERRERO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99957
Concejo,BOYACA,TUTAZA,NELSY  ALARCON HERNANDEZ,PARTIDO CAMBIO RADICAL,99970
Concejo,BOYACA,TUTAZA,NERY  GALLO FUENTES,PARTIDO CONSERVADOR COLOMBIANO,99967
Concejo,BOYACA,TUTAZA,OLIVO DE  JESUS TRIANA GARCIA,PARTIDO CENTRO DEMOCRATICO,99949
Concejo,BOYACA,TUTAZA,RAFAEL  SUAN SISA,PARTIDO LIBERAL COLOMBIANO,99943
Concejo,BOYACA,TUTAZA,ROSALBA  MEJIA ROJAS,PARTIDO ALIANZA VERDE,99979
Concejo,BOYACA,TUTAZA,RUBEN DARIO ROJAS VELANDIA,PARTIDO ALIANZA VERDE,99975
Concejo,BOYACA,TUTAZA,WILMER ALBERTO CASTRO FUENTES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99962
Concejo,BOYACA,TUTAZA,YENI PAOLA OJEDA PINEDA,PARTIDO LIBERAL COLOMBIANO,99945
Concejo,BOYACA,TUTAZA,YODARY  TORRES GUERRERO,PARTIDO CAMBIO RADICAL,99973
Concejo,BOYACA,TUTAZA,YORLY JULIETH REYES APARICIO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,99959
