corp,dpto,mpio,name,party,wp_no
Concejo,CALDAS,AGUADAS,ALEIDA  RENDON HERNANDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103525
Concejo,CALDAS,AGUADAS,ALEJANDRA  GIRALDO GIRALDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103528
Concejo,CALDAS,AGUADAS,ALIRIO  QUINTERO ORREGO,PARTIDO CAMBIO RADICAL,103492
Concejo,CALDAS,AGUADAS,ANGELA ANDREA FLOREZ TORRES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103524
Concejo,CALDAS,AGUADAS,ANGELA MARIA BLANDON OSORIO,PARTIDO LIBERAL COLOMBIANO,103462
Concejo,CALDAS,AGUADAS,ANGELA MARIA CARDONA ACEVEDO,PARTIDO LIBERAL COLOMBIANO,103458
Concejo,CALDAS,AGUADAS,ANYI VIVIANA DUQUE AGUDELO,PARTIDO CAMBIO RADICAL,103493
Concejo,CALDAS,AGUADAS,ARIEL  VALENCIA ,PARTIDO CONSERVADOR COLOMBIANO,103484
Concejo,CALDAS,AGUADAS,ARNAUD  GRISALES ARIAS,PARTIDO CENTRO DEMOCRATICO,103469
Concejo,CALDAS,AGUADAS,AYLEEN MARYURI ACEVEDO CASTRO,PARTIDO CENTRO DEMOCRATICO,103473
Concejo,CALDAS,AGUADAS,BLANCA GLORIA ESCOBAR ESCOBAR,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,103509
Concejo,CALDAS,AGUADAS,BLANCA NORELA RESTREPO MONTOYA,PARTIDO CENTRO DEMOCRATICO,103475
Concejo,CALDAS,AGUADAS,CARLOS ALBERTO LOPEZ MARULANDA,PARTIDO CONSERVADOR COLOMBIANO,103485
Concejo,CALDAS,AGUADAS,CARLOS FERNANDO GRISALES GUZMAN,PARTIDO LIBERAL COLOMBIANO,103453
Concejo,CALDAS,AGUADAS,CARLOS MARIO JARAMILLO SANZ,PARTIDO CAMBIO RADICAL,103494
Concejo,CALDAS,AGUADAS,CARLOS MARIO MONTOYA GARCIA,PARTIDO CONSERVADOR COLOMBIANO,103486
Concejo,CALDAS,AGUADAS,CESAR AUGUSTO GONZALEZ AGUIRRE,PARTIDO LIBERAL COLOMBIANO,103455
Concejo,CALDAS,AGUADAS,CLAUDIA PATRICIA VALENCIA FLOREZ,PARTIDO LIBERAL COLOMBIANO,103460
Concejo,CALDAS,AGUADAS,CRISTOBAL  GARCES OSORIO,PARTIDO ALIANZA VERDE,103501
Concejo,CALDAS,AGUADAS,DANIELA  ARIAS CALLE,PARTIDO ALIANZA VERDE,103499
Concejo,CALDAS,AGUADAS,DAVID ANTONIO PATIÑO GUARIN,PARTIDO CENTRO DEMOCRATICO,103464
Concejo,CALDAS,AGUADAS,DIANA MARCELA IGLESIAS LOAIZA,PARTIDO POLITICO MIRA,103512
Concejo,CALDAS,AGUADAS,DIANA PATRICIA MARIN DUQUE,PARTIDO POLO DEMOCRATICO ALTERNATIVO,103536
Concejo,CALDAS,AGUADAS,ECCEDIEL  HERNANDEZ AGUDELO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,103504
Concejo,CALDAS,AGUADAS,EDGAR FABIAN ARIAS GALLEGO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103531
Concejo,CALDAS,AGUADAS,EDISON LEANDRO ARBOLEDA GIL,PARTIDO COLOMBIA JUSTA LIBRES,103478
Concejo,CALDAS,AGUADAS,GERARDO  GRAJALES CARDONA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,103503
Concejo,CALDAS,AGUADAS,GERMAN ADONIS ISAZA GIRALDO,PARTIDO LIBERAL COLOMBIANO,103461
Concejo,CALDAS,AGUADAS,GERMAN AUGUSTO BADILLO MONTOYA,PARTIDO LIBERAL COLOMBIANO,103463
Concejo,CALDAS,AGUADAS,HECTOR JAVIER VILLA SALAZAR,PARTIDO CENTRO DEMOCRATICO,103468
Concejo,CALDAS,AGUADAS,HENRY NELSON MONTOYA LOTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103521
Concejo,CALDAS,AGUADAS,HUGO FERNEY VALENCIA ,PARTIDO CAMBIO RADICAL,103496
Concejo,CALDAS,AGUADAS,HUGO HERNAN CALDERON BLANDON,PARTIDO CONSERVADOR COLOMBIANO,103489
Concejo,CALDAS,AGUADAS,ILDA MARIA POSADA OCAMPO,PARTIDO POLITICO MIRA,103519
Concejo,CALDAS,AGUADAS,JADER DE JESUS RESTREPO BERMUDEZ,PARTIDO LIBERAL COLOMBIANO,103457
Concejo,CALDAS,AGUADAS,JAIRO  GIL GIRALDO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,103507
Concejo,CALDAS,AGUADAS,JAIRO ALONSO MISAS HURTADO,PARTIDO CENTRO DEMOCRATICO,103471
Concejo,CALDAS,AGUADAS,JAQUELINE  VIVAS CARDOZO,PARTIDO POLITICO MIRA,103517
Concejo,CALDAS,AGUADAS,JENNIFER  CALDERON BARCO,PARTIDO CAMBIO RADICAL,103495
Concejo,CALDAS,AGUADAS,JESSICA NATALY ARIAS HERNANDEZ,PARTIDO CAMBIO RADICAL,103497
Concejo,CALDAS,AGUADAS,JOHN JAIRO LOPEZ BETANCUR,PARTIDO CONSERVADOR COLOMBIANO,103487
Concejo,CALDAS,AGUADAS,JORGE IVAN HERRERA OSPINA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103529
Concejo,CALDAS,AGUADAS,JOSE ALBEIRO AGUIRRE HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,103488
Concejo,CALDAS,AGUADAS,JOSE ALCIDES GONZALEZ MARIN,PARTIDO POLITICO MIRA,103513
Concejo,CALDAS,AGUADAS,JOSE ALDEMAR GONZALEZ OBANDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103523
Concejo,CALDAS,AGUADAS,JOSE ANIBAL AGUIRRE MARIN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,103502
Concejo,CALDAS,AGUADAS,JOSE FERNEY LEON FLOREZ,PARTIDO COLOMBIA JUSTA LIBRES,103476
Concejo,CALDAS,AGUADAS,JOSE IBEL ARIAS NARVAEZ,PARTIDO CENTRO DEMOCRATICO,103466
Concejo,CALDAS,AGUADAS,JOSE MANUEL GARCIA CASTAÑEDA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,103537
Concejo,CALDAS,AGUADAS,JOSE OBER MARIN SALAZAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103526
Concejo,CALDAS,AGUADAS,JOSE RUBIEL VILLA ARCILA,PARTIDO LIBERAL COLOMBIANO,103452
Concejo,CALDAS,AGUADAS,JUAN CARLOS FRANCO BETANCUR,PARTIDO COLOMBIA JUSTA LIBRES,103477
Concejo,CALDAS,AGUADAS,JUAN CARLOS GIRALDO CASTRILLON,PARTIDO LIBERAL COLOMBIANO,103454
Concejo,CALDAS,AGUADAS,JUAN DAVID GIRALDO LOPEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,103535
Concejo,CALDAS,AGUADAS,JUAN DAVID GOMEZ GOMEZ,PARTIDO CENTRO DEMOCRATICO,103472
Concejo,CALDAS,AGUADAS,JULIAN ANDRES HINCAPIE LOPEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,103534
Concejo,CALDAS,AGUADAS,JUNIER FERNANDO SANCHEZ ,PARTIDO POLITICO MIRA,103510
Concejo,CALDAS,AGUADAS,LEIDY CAROLINA GRISALES MORALES,PARTIDO CONSERVADOR COLOMBIANO,103481
Concejo,CALDAS,AGUADAS,LEONARDO  GONZALEZ GIL,PARTIDO ALIANZA VERDE,103498
Concejo,CALDAS,AGUADAS,LILIANA  PAREJA PATIÑO,PARTIDO CENTRO DEMOCRATICO,103470
Concejo,CALDAS,AGUADAS,LILIANA  QUINTERO RAMIREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103532
Concejo,CALDAS,AGUADAS,LUISA FERNANDA RODRIGUEZ SUAREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,103506
Concejo,CALDAS,AGUADAS,LUZ CELENE MARIN MARIN,PARTIDO CONSERVADOR COLOMBIANO,103491
Concejo,CALDAS,AGUADAS,LUZ DARY SANCHEZ ZAPATA,PARTIDO POLITICO MIRA,103511
Concejo,CALDAS,AGUADAS,LUZ DENY LOPEZ CARO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103530
Concejo,CALDAS,AGUADAS,LUZ ELENA GOMEZ LOAIZA,PARTIDO COLOMBIA JUSTA LIBRES,103479
Concejo,CALDAS,AGUADAS,MAGDA ALEJANDRA CANDAMIL ALZATE,PARTIDO POLO DEMOCRATICO ALTERNATIVO,103533
Concejo,CALDAS,AGUADAS,MARIA CONSUELO RIOS DE DUQUE,PARTIDO POLITICO MIRA,103514
Concejo,CALDAS,AGUADAS,MARIA LIBIA HERRERA CARDONA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,103538
Concejo,CALDAS,AGUADAS,MARIO DE JESUS TORO FLOREZ,PARTIDO POLITICO MIRA,103518
Concejo,CALDAS,AGUADAS,MARTA DIVA LOAIZA ,PARTIDO POLITICO MIRA,103516
Concejo,CALDAS,AGUADAS,MISAEL  DIAZ HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,103490
Concejo,CALDAS,AGUADAS,NILSON FADER LOPEZ MURILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103520
Concejo,CALDAS,AGUADAS,ORLANDO  PELAEZ SALAZAR,PARTIDO CENTRO DEMOCRATICO,103465
Concejo,CALDAS,AGUADAS,ORLEIDA  QUINTERO RAMIREZ,PARTIDO COLOMBIA JUSTA LIBRES,103480
Concejo,CALDAS,AGUADAS,OSCAR JHONNY ARBELAEZ GALLEGO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103527
Concejo,CALDAS,AGUADAS,OSCAR JHONY MURILLO GARCIA,PARTIDO LIBERAL COLOMBIANO,103459
Concejo,CALDAS,AGUADAS,PAULA ANDREA MOLINA NORENA,PARTIDO CONSERVADOR COLOMBIANO,103483
Concejo,CALDAS,AGUADAS,RAMIRO  PALACIO PALACIO,PARTIDO LIBERAL COLOMBIANO,103451
Concejo,CALDAS,AGUADAS,SORANI  PINEDA ARIAS,PARTIDO CENTRO DEMOCRATICO,103474
Concejo,CALDAS,AGUADAS,TATIANA  GONZALEZ CALDERON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,103505
