corp,dpto,mpio,name,party,wp_no
Concejo,CALDAS,ANSERMA,ALBA LUZ BEDOYA SANCHEZ,PARTIDO LIBERAL COLOMBIANO,104029
Concejo,CALDAS,ANSERMA,ALBERTO DE JESUS VALLEJO CAÑAS,PARTIDO COLOMBIA JUSTA LIBRES,104061
Concejo,CALDAS,ANSERMA,ALEJANDRA  BOTERO OCAMPO,PARTIDO COLOMBIA JUSTA LIBRES,104055
Concejo,CALDAS,ANSERMA,ALEXANDER  OSPINA CUARTAS,PARTIDO CENTRO DEMOCRATICO,104045
Concejo,CALDAS,ANSERMA,AMANDA DE JESUS TEJADA MARIN,PARTIDO CAMBIO RADICAL,104076
Concejo,CALDAS,ANSERMA,ANA MARIA VELEZ GOMEZ,PARTIDO POLITICO MIRA,104096
Concejo,CALDAS,ANSERMA,ANDREA PAULOVI BERMUDEZ RAMIREZ,PARTIDO LIBERAL COLOMBIANO,104028
Concejo,CALDAS,ANSERMA,ARBEY DE JESUS VELEZ BETANCUR,PARTIDO CONSERVADOR COLOMBIANO,104068
Concejo,CALDAS,ANSERMA,ARNEY DE JESUS ARROYAVE VILLA,PARTIDO CAMBIO RADICAL,104082
Concejo,CALDAS,ANSERMA,ARNOBIO ANTONIO ARCILA BETANCURT,PARTIDO CONSERVADOR COLOMBIANO,104064
Concejo,CALDAS,ANSERMA,BERTHA CECILIA SORA BECERRA,PARTIDO POLITICO MIRA,104097
Concejo,CALDAS,ANSERMA,CARLOS ALBERTO OBANDO TABORDA,PARTIDO LIBERAL COLOMBIANO,104031
Concejo,CALDAS,ANSERMA,CARLOS ARIEL CANO HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,104067
Concejo,CALDAS,ANSERMA,CARLOS EDUARDO GARCIA GARCIA,PARTIDO COLOMBIA JUSTA LIBRES,104059
Concejo,CALDAS,ANSERMA,CESAR AUGUSTO DUQUE MUÑOZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,104110
Concejo,CALDAS,ANSERMA,DANIEL FELIPE CASTRILLON CALLE,PARTIDO LIBERAL COLOMBIANO,104035
Concejo,CALDAS,ANSERMA,DIEGO ARMANDO GARCIA LONDOÑO,PARTIDO POLITICO MIRA,104099
Concejo,CALDAS,ANSERMA,EDILSON ANDREY OROZCO SOTO,PARTIDO CONSERVADOR COLOMBIANO,104070
Concejo,CALDAS,ANSERMA,EDUARDO ANTONIO CARVAJAL BARRIOS,PARTIDO COLOMBIA JUSTA LIBRES,104054
Concejo,CALDAS,ANSERMA,ERICA JOHANNA ARCILA BERNAL,PARTIDO CAMBIO RADICAL,104086
