corp,dpto,mpio,name,party,wp_no
Concejo,CALDAS,ARANZAZU,ADALBERTO  VASQUEZ CARDONA,PARTIDO POLITICO MIRA,102962
Concejo,CALDAS,ARANZAZU,ALBA FLORENCIA LOAIZA MARIN,PARTIDO CENTRO DEMOCRATICO,102937
Concejo,CALDAS,ARANZAZU,CAROLINA  GALVEZ ALZATE,PARTIDO LIBERAL COLOMBIANO,102926
Concejo,CALDAS,ARANZAZU,CESAR AUGUSTO LOPEZ GIRALDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,102970
Concejo,CALDAS,ARANZAZU,DIDIANA  CASTAÑO LOPEZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,102944
Concejo,CALDAS,ARANZAZU,EFRAIM  CARVAJAL OCAMPO,PARTIDO LIBERAL COLOMBIANO,102923
Concejo,CALDAS,ARANZAZU,FELIPE  GOMEZ HOYOS,PARTIDO LIBERAL COLOMBIANO,102924
Concejo,CALDAS,ARANZAZU,GLORIA INES JIMENEZ GOMEZ,PARTIDO CENTRO DEMOCRATICO,102932
Concejo,CALDAS,ARANZAZU,HENRY  GONZALEZ CASTAÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,102968
Concejo,CALDAS,ARANZAZU,ISABEL  HOLGUIN HOLGUIN,PARTIDO POLITICO MIRA,102961
Concejo,CALDAS,ARANZAZU,IVAN  ACEVEDO ,PARTIDO LIBERAL COLOMBIANO,102927
Concejo,CALDAS,ARANZAZU,JESSICA MARIA VELASQUEZ LOPEZ,PARTIDO ALIANZA VERDE,102960
Concejo,CALDAS,ARANZAZU,JESUS ANDRES AGUIRRE SERNA,PARTIDO CENTRO DEMOCRATICO,102930
Concejo,CALDAS,ARANZAZU,JESUS MARIA ALZATE GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,102953
Concejo,CALDAS,ARANZAZU,JIMMY ALEXANDER CARDONA MARIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,102967
Concejo,CALDAS,ARANZAZU,JORGE ANDRES LOPEZ VALENCIA,PARTIDO CENTRO DEMOCRATICO,102933
Concejo,CALDAS,ARANZAZU,JORGE EDUARDO HERNANDEZ GOMEZ,PARTIDO ALIANZA VERDE,102959
Concejo,CALDAS,ARANZAZU,JORGE ESTEBAN VILLEGAS QUINTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,102971
Concejo,CALDAS,ARANZAZU,JOSE JESUS ZULUAGA RESTREPO,PARTIDO CONSERVADOR COLOMBIANO,102949
Concejo,CALDAS,ARANZAZU,JUAN DIEGO AGUIRRE HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,102931
Concejo,CALDAS,ARANZAZU,JUAN ESTEBAN QUINTERO MARIN,PARTIDO CENTRO DEMOCRATICO,102936
Concejo,CALDAS,ARANZAZU,JULIO ALBERTO GIRALDO RAMIREZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,102943
Concejo,CALDAS,ARANZAZU,LEIDY JOHANNA LOPEZ ARBOLEDA,PARTIDO CONSERVADOR COLOMBIANO,102946
Concejo,CALDAS,ARANZAZU,LILIANA  VILLA RINCON,PARTIDO CENTRO DEMOCRATICO,102934
Concejo,CALDAS,ARANZAZU,LINA VERONICA RAMOS GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,102950
Concejo,CALDAS,ARANZAZU,LUIS ALFONSO VALENCIA GARCIA,PARTIDO CONSERVADOR COLOMBIANO,102954
Concejo,CALDAS,ARANZAZU,LUZ ADRIANA CASTAÑO ALZATE,PARTIDO CAMBIO RADICAL,102956
Concejo,CALDAS,ARANZAZU,LUZ MARNY NORENA SALAZAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,102963
Concejo,CALDAS,ARANZAZU,MARIA GLADYS GRANADA SERNA,PARTIDO CONSERVADOR COLOMBIANO,102948
Concejo,CALDAS,ARANZAZU,MARIA KATHERINE CASTAÑO FRANCO,PARTIDO LIBERAL COLOMBIANO,102929
