corp,dpto,mpio,name,party,wp_no
Concejo,CALDAS,BELALCAZAR,ADRIAN  MEJIA CARDONA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,103208
Concejo,CALDAS,BELALCAZAR,ALBA MILENA AGUDELO BERMUDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103239
Concejo,CALDAS,BELALCAZAR,ALEXANDER  SUCRE NIAZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103235
Concejo,CALDAS,BELALCAZAR,ANDRES ALBERTO LOPEZ ARANGO,PARTIDO CONSERVADOR COLOMBIANO,103211
Concejo,CALDAS,BELALCAZAR,AURA MARIA BEDOYA AGUDELO,PARTIDO CENTRO DEMOCRATICO,103198
Concejo,CALDAS,BELALCAZAR,BELISARIO ANTONIO CORREA GIRALDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103236
Concejo,CALDAS,BELALCAZAR,CARLOS ADRIAN VILLADA RIOS,PARTIDO CENTRO DEMOCRATICO,103199
Concejo,CALDAS,BELALCAZAR,CATERINE  VALENCIA DUQUE,PARTIDO CONSERVADOR COLOMBIANO,103213
Concejo,CALDAS,BELALCAZAR,DAHIANA ANDREA HERRERA DUARTE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103229
Concejo,CALDAS,BELALCAZAR,DIANA LUDIVIA POSADA CARDONA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103234
Concejo,CALDAS,BELALCAZAR,DIANA MARCELA USMA LOPEZ,PARTIDO LIBERAL COLOMBIANO,103196
Concejo,CALDAS,BELALCAZAR,DIANA YANET ALVAREZ AGUDELO,PARTIDO CAMBIO RADICAL,103227
Concejo,CALDAS,BELALCAZAR,DIEGO DE JESUS AGUDELO MONTOYA,PARTIDO LIBERAL COLOMBIANO,103191
Concejo,CALDAS,BELALCAZAR,EDISON  BENITEZ CARDONA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,103207
Concejo,CALDAS,BELALCAZAR,FRANCIA EDITH MEJIA CERON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103230
Concejo,CALDAS,BELALCAZAR,FRANCISCO JAVIER MEJIA JARAMILLO,PARTIDO CONSERVADOR COLOMBIANO,103215
Concejo,CALDAS,BELALCAZAR,GABRIEL  MORALES VELEZ,PARTIDO CENTRO DEMOCRATICO,103203
Concejo,CALDAS,BELALCAZAR,GLORIA INES SILVA VELANDIA,PARTIDO CENTRO DEMOCRATICO,103197
