corp,dpto,mpio,name,party,wp_no
Concejo,CALDAS,RIOSUCIO,ADALBERTO  HERNANDEZ ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,102470
Concejo,CALDAS,RIOSUCIO,ADIELA  TREJOS DE LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,102419
Concejo,CALDAS,RIOSUCIO,ALEXANDER  GARCIA ,PARTIDO LIBERAL COLOMBIANO,102398
Concejo,CALDAS,RIOSUCIO,ALEXANDER ANTONIO GUERRERO CATAÑO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,102466
Concejo,CALDAS,RIOSUCIO,ALVARO ANTONIO GUAPACHA ,PARTIDO CAMBIO RADICAL,102424
Concejo,CALDAS,RIOSUCIO,ANDRES FELIPE GARCIA UCHIMA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,102465
Concejo,CALDAS,RIOSUCIO,ANGELA MARCELA CASTAÑEDA CAICEDO,PARTIDO LIBERAL COLOMBIANO,102396
Concejo,CALDAS,RIOSUCIO,ARABELLY  MEJIA LOPEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,102444
Concejo,CALDAS,RIOSUCIO,ARAHUGO  GAÑAN BUENO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,102412
Concejo,CALDAS,RIOSUCIO,ASDRUBAL  RIVERA ,PARTIDO LIBERAL COLOMBIANO,102399
Concejo,CALDAS,RIOSUCIO,AUNER DE JESUS GUERRERO HERNANDEZ,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,102486
Concejo,CALDAS,RIOSUCIO,BERTA NELLY MONTOYA AGUDELO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,102440
Concejo,CALDAS,RIOSUCIO,CARMEN AMANDA FRANCO ARBELAEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,102411
Concejo,CALDAS,RIOSUCIO,CARMEN EDILMA ARDILA VILLANEDA,PARTIDO LIBERAL COLOMBIANO,102400
Concejo,CALDAS,RIOSUCIO,DANIEL  CASTAÑEDA ZAPATA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,102439
