corp,dpto,mpio,name,party,wp_no
Concejo,CALDAS,VILLAMARIA,ALDEMAR  OSPINA RAMIREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,103061
Concejo,CALDAS,VILLAMARIA,ALEXANDER  MONTES VALENCIA,PARTIDO ALIANZA VERDE,103049
Concejo,CALDAS,VILLAMARIA,ALPIDIO  VALENCIA LONDOÑO,PARTIDO CONSERVADOR COLOMBIANO,103027
Concejo,CALDAS,VILLAMARIA,ALVARO  CASTELLANOS AVILA,PARTIDO CAMBIO RADICAL,103035
Concejo,CALDAS,VILLAMARIA,ANA MARIA LINCE GOMEZ,VILLAMARIA ALTERNATIVA,103111
Concejo,CALDAS,VILLAMARIA,ANDRES  CASTRO CARDONA,PARTIDO CAMBIO RADICAL,103033
Concejo,CALDAS,VILLAMARIA,ANDRES FELIPE ACOSTA RINCON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103092
Concejo,CALDAS,VILLAMARIA,ANDRES FELIPE ESCOBAR BETANCUR,PARTIDO CAMBIO RADICAL,103039
Concejo,CALDAS,VILLAMARIA,ARIEL  GONZALEZ SALAZAR,PARTIDO CAMBIO RADICAL,103036
Concejo,CALDAS,VILLAMARIA,CARLOS ALBERTO ARIAS FRANCO,PARTIDO CAMBIO RADICAL,103040
Concejo,CALDAS,VILLAMARIA,CARLOS ALBERTO JARAMILLO CASTRILLON,PARTIDO COLOMBIA RENACIENTE,103010
Concejo,CALDAS,VILLAMARIA,CARLOS ARIEL GOMEZ LONDOÑO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,103060
Concejo,CALDAS,VILLAMARIA,CARLOS OVIDIO RESTREPO MESA,VILLAMARIA ALTERNATIVA,103104
Concejo,CALDAS,VILLAMARIA,CRISTIAN CAMILO AGUDELO CASTRO,PARTIDO POLITICO MIRA,103089
Concejo,CALDAS,VILLAMARIA,CRISTIAN DAVID ARANZAZU HERRERA,VILLAMARIA ALTERNATIVA,103109
Concejo,CALDAS,VILLAMARIA,CRISTIAN DAVID RIOS HENAO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,103098
Concejo,CALDAS,VILLAMARIA,DAYANE VANESSA IBAGUE MOICA,PARTIDO COLOMBIA JUSTA LIBRES,103002
Concejo,CALDAS,VILLAMARIA,DIANA BEATRIZ GUTIERREZ CASTRO,PARTIDO LIBERAL COLOMBIANO,102983
Concejo,CALDAS,VILLAMARIA,DIANA MATILDE PRIETO BAQUERO,PARTIDO CENTRO DEMOCRATICO,102988
Concejo,CALDAS,VILLAMARIA,DIANA PAOLA VALDERRAMA CAÑON,PARTIDO ADA,103013
Concejo,CALDAS,VILLAMARIA,DIEGO FERNANDO BOTERO GIRALDO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,103073
Concejo,CALDAS,VILLAMARIA,EDELDIMAR  CANO DUQUE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,103062
