corp,dpto,mpio,name,party,wp_no
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ABRAHAM  RAMIREZ HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,81325
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ALCIDES  LEAL FERNANDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,81430
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ALDEMAR  CASTRILLO CAYLE,PARTIDO POLO DEMOCRATICO ALTERNATIVO,81442
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ALEIDY  FLOREZ OSSA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,81348
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ALEX  VARGAS MARTINEZ,PARTIDO ALIANZA VERDE,81394
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ALEXANDER  CARDOZO LEITON,PARTIDO POLO DEMOCRATICO ALTERNATIVO,81440
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ALEXANDER  MONTERO PRIETO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,81416
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ALEXANDER  ORTIZ RUIZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,81449
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ALFONSO  GARCIA RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,117996
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,AMPARO  MONTOYA HERNANDEZ,PARTIDO ALIANZA VERDE,81397
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ANDERSON  LEMUS MURCIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,81408
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ANELCY YURY VARGAS ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,117997
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ANYELO  LUNA BARGAS,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,81335
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ARACELY  GARZON ALDANA,PARTIDO CAMBIO RADICAL,81391
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ARISTIDES  OIME OCHOA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,81338
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ARISTOBULO  MAYORGA CALDERON,PARTIDO LIBERAL COLOMBIANO,81320
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ASTRID DEL ROCIO GUTIERREZ VILLEGAS,PARTIDO CENTRO DEMOCRATICO,81345
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,AYDA LUCIA ZABALA GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,81429
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,BERNARDO  VELASQUEZ RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,81329
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,BERTULFO  SANCHEZ RAMIREZ,PARTIDO CAMBIO RADICAL,81380
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,BRAYAN ANDRES HERNANDEZ MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,81373
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,CARLOS URIEL OSORIO ARRIGUI,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,81431
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,CARMEN DORIS BERMUDEZ RAMIREZ,PARTIDO COLOMBIA RENACIENTE,81363
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,CAROLINA  MORA RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,81414
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,CRISTIAN DAVID PAEZ CORTES,PARTIDO COLOMBIA RENACIENTE,81365
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,CRUZ EMILIO OYOLA DUCUARA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,81353
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,DEIVIS ANDRES ARGUELLO ,PARTIDO CONSERVADOR COLOMBIANO,81371
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,DIEGO ALEXANDER MONTEALEGRE DIAZ,PARTIDO ALIANZA VERDE,81402
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,DIEGO EDUARDO CALDERON GARZON,PARTIDO COLOMBIA JUSTA LIBRES,81356
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,DIEGO FERNANDO URUEÑA CORDOBA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,81437
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,DISNEY  ESCOBAR TRUJILLO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,81441
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,DORANEY  LUGO GONZALEZ,PARTIDO CONSERVADOR COLOMBIANO,81378
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,DORANY  PEÑA ROSAS,PARTIDO ALIANZA VERDE,81398
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,EDINSON FERNANDO TAFUR DIAZ,PARTIDO COLOMBIA RENACIENTE,81366
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,EDUARDO  ALEY LOPEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,81407
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ELBER  GONZALEZ QUINTERO,PARTIDO LIBERAL COLOMBIANO,81323
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ELBER  QUINTERO OLIVEROS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,81417
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ELIANA MARYURY PERDOMO CONDE,PARTIDO COLOMBIA RENACIENTE,81360
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ELIECER ADRIAN ESCOBAR FLOREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,81433
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ELIZABETH  MORALES TASCON,PARTIDO CONSERVADOR COLOMBIANO,81376
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ELSON  YARCE FLOREZ,PARTIDO ALIANZA VERDE,81393
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,ESMILSON ALEXANDER GARCIA CASTAÑO,PARTIDO ALIANZA VERDE,81401
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,EVILA ERCILA CASTRO VERA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,81336
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,FAUSTINO  YATE IPUZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,81409
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,FELIX MARIA VARGAS CUBILLOS,PARTIDO CAMBIO RADICAL,81381
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,GENTIL  JOVEN ,PARTIDO CENTRO DEMOCRATICO,81346
Concejo,CAQUETA,CARTAGENA DEL CHAIRA,GENTIL  SALDAÑA TRIANA,PARTIDO LIBERAL COLOMBIANO,81319
