corp,dpto,mpio,name,party,wp_no
Concejo,CAQUETA,LA MONTAÑITA,ALDEMAR  TRUJILLO SIERRA,PARTIDO CONSERVADOR COLOMBIANO,81801
Concejo,CAQUETA,LA MONTAÑITA,ALEXANDER  SAMBONI GIL,PARTIDO POLO DEMOCRATICO ALTERNATIVO,81844
Concejo,CAQUETA,LA MONTAÑITA,ANA PATRICIA BRIÑEZ TORRES,PARTIDO LIBERAL COLOMBIANO,81771
Concejo,CAQUETA,LA MONTAÑITA,CARLOS JULIO MORENO COCOMA,PARTIDO ALIANZA VERDE,81813
Concejo,CAQUETA,LA MONTAÑITA,DAMARIS  MONTES SANCHEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,81828
Concejo,CAQUETA,LA MONTAÑITA,DEIBER  PRADA VEGA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,81824
Concejo,CAQUETA,LA MONTAÑITA,DEICY LORENA ARROYAVE OROZCO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,81787
Concejo,CAQUETA,LA MONTAÑITA,DIANA ALEXANDRA CARDOSO VALDERRAMA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,81834
Concejo,CAQUETA,LA MONTAÑITA,DRIGELIO  ARTUNDUAGA CLAROS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,81819
Concejo,CAQUETA,LA MONTAÑITA,DULLY MILENA ARTUNDUAGA MEJIA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,81783
Concejo,CAQUETA,LA MONTAÑITA,EDUAR  MONROY TRILLERA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,81843
Concejo,CAQUETA,LA MONTAÑITA,EIDER ALFONSO PINTO GALINDO,PARTIDO LIBERAL COLOMBIANO,81773
Concejo,CAQUETA,LA MONTAÑITA,EIDER YESID MONTAÑO MARTINEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,81827
Concejo,CAQUETA,LA MONTAÑITA,ELCY  TAPIERO MONROY,PARTIDO CONSERVADOR COLOMBIANO,81809
Concejo,CAQUETA,LA MONTAÑITA,ERNESTOR  VARON BALBUENA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,81842
Concejo,CAQUETA,LA MONTAÑITA,FABER ANDRES LEAL CARVAJAL,PARTIDO CONSERVADOR COLOMBIANO,81810
Concejo,CAQUETA,LA MONTAÑITA,FRANDEY  TAPIA ROJAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,81821
Concejo,CAQUETA,LA MONTAÑITA,FRANKI ALEXI MARTINEZ REINA,PARTIDO COLOMBIA JUSTA LIBRES,81793
Concejo,CAQUETA,LA MONTAÑITA,GENNY PAOLA QUIROGA ALVIRA,PARTIDO ALIANZA VERDE,81816
Concejo,CAQUETA,LA MONTAÑITA,HAROLD  ORTEGA ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,81826
Concejo,CAQUETA,LA MONTAÑITA,HENRY  BECERRA MORA,PARTIDO LIBERAL COLOMBIANO,81769
Concejo,CAQUETA,LA MONTAÑITA,HERNANDO  CANO RAMIREZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,81841
Concejo,CAQUETA,LA MONTAÑITA,ISMAEL  OSPINA MEJIA,PARTIDO COLOMBIA JUSTA LIBRES,81792
Concejo,CAQUETA,LA MONTAÑITA,JAIR  VALENCIA ,PARTIDO CONSERVADOR COLOMBIANO,81812
Concejo,CAQUETA,LA MONTAÑITA,JAIRO  CUMACO PRIETO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,81782
Concejo,CAQUETA,LA MONTAÑITA,JESUS MANUEL MEJIA GUZMAN,PARTIDO POLO DEMOCRATICO ALTERNATIVO,81840
Concejo,CAQUETA,LA MONTAÑITA,JESUS SALVADOR ZAMBRANO ,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,81789
Concejo,CAQUETA,LA MONTAÑITA,JHON JAIRO SOLORZANO ORTIZ,PARTIDO COLOMBIA RENACIENTE,81797
Concejo,CAQUETA,LA MONTAÑITA,JHON KENNEDY PEÑA GUTIERREZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,81838
Concejo,CAQUETA,LA MONTAÑITA,JHONNIER SNEYDER SANCHEZ CHAVARRO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,81823
Concejo,CAQUETA,LA MONTAÑITA,JOHN EDINSON CUELLAR ALVAREZ,PARTIDO CONSERVADOR COLOMBIANO,81805
Concejo,CAQUETA,LA MONTAÑITA,JORGE IVAN VASCO TAMAYO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,81833
Concejo,CAQUETA,LA MONTAÑITA,JOSE HOOVER QUINTERO VERGARA,PARTIDO CONSERVADOR COLOMBIANO,81808
Concejo,CAQUETA,LA MONTAÑITA,JOSE MARIANO CASTRO ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,81785
Concejo,CAQUETA,LA MONTAÑITA,JUAN MANUEL PUYO PLAZAS,PARTIDO LIBERAL COLOMBIANO,81770
Concejo,CAQUETA,LA MONTAÑITA,KELY YOHANA HOYOS SALINAS,PARTIDO CONSERVADOR COLOMBIANO,81811
Concejo,CAQUETA,LA MONTAÑITA,LUIS ALEXANDER VERU YARA,PARTIDO COLOMBIA RENACIENTE,81796
Concejo,CAQUETA,LA MONTAÑITA,LUIS ENRIQUE MONTES AVILA,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,81790
Concejo,CAQUETA,LA MONTAÑITA,LUIS FERNANDO BARRERO YARA,PARTIDO COLOMBIA RENACIENTE,81795
Concejo,CAQUETA,LA MONTAÑITA,LUIS ORLANDO GARNICA YATE,PARTIDO LIBERAL COLOMBIANO,81781
Concejo,CAQUETA,LA MONTAÑITA,LUPE MAGALY GONZALEZ GONZALEZ,PARTIDO LIBERAL COLOMBIANO,81778
Concejo,CAQUETA,LA MONTAÑITA,LUZ AIDA ALAPE GARCES,PARTIDO COLOMBIA RENACIENTE,81799
Concejo,CAQUETA,LA MONTAÑITA,MARIELENA  GOMEZ ORTIZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,81820
Concejo,CAQUETA,LA MONTAÑITA,MARTHA INES MADRIGAL TIQUE,PARTIDO COLOMBIA JUSTA LIBRES,81794
Concejo,CAQUETA,LA MONTAÑITA,MIGUEL ANGEL GARCIA BENAVIDES,PARTIDO LIBERAL COLOMBIANO,81774
