corp,dpto,mpio,name,party,wp_no
Concejo,CAQUETA,MILAN,ABELARDO  CUBILLOS MERA,PARTIDO LIBERAL COLOMBIANO,80954
Concejo,CAQUETA,MILAN,ADRIANO  PIZARRO VALENCIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,80996
Concejo,CAQUETA,MILAN,ALDEMAR  VALDERRAMA VALDIVIA,PARTIDO CONSERVADOR COLOMBIANO,80976
Concejo,CAQUETA,MILAN,ANDREY STEVEN SAAVEDRA FORERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,81003
Concejo,CAQUETA,MILAN,ANGELMIRO  JARAMILLO GUTIERREZ,PARTIDO CAMBIO RADICAL,80979
Concejo,CAQUETA,MILAN,BAUDILIO  VARGAS GRIMALDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,81004
Concejo,CAQUETA,MILAN,BLANCA CECILIA BURGOS MENJURA,PARTIDO LIBERAL COLOMBIANO,80951
Concejo,CAQUETA,MILAN,CARLOS ANDRES MUÑOZ CAMPOS,PARTIDO ALIANZA VERDE,80991
Concejo,CAQUETA,MILAN,CLARA ASUZENA VALENCIA CRUZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,80961
Concejo,CAQUETA,MILAN,DAGOBERTO  GARCIA JIMENEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,80963
Concejo,CAQUETA,MILAN,DARVINSON  PEÑA VALDERRAMA,PARTIDO LIBERAL COLOMBIANO,80952
Concejo,CAQUETA,MILAN,DAVID  ICO SALAZAR,PARTIDO ALIANZA VERDE,80989
Concejo,CAQUETA,MILAN,DEISY  RUIZ GUTIERREZ,PARTIDO LIBERAL COLOMBIANO,80948
Concejo,CAQUETA,MILAN,DIEGO  ILES GUTIERREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,80958
Concejo,CAQUETA,MILAN,DIORMEDIS  MUÑOZ SILVA,PARTIDO ALIANZA VERDE,80988
Concejo,CAQUETA,MILAN,DUBAN  TRUJILLO DUARTE,PARTIDO CAMBIO RADICAL,80981
Concejo,CAQUETA,MILAN,DUVAN  PIRANGA VALENCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,80959
Concejo,CAQUETA,MILAN,ERIKA ANDREA ORTIZ PALOMARES,PARTIDO CONSERVADOR COLOMBIANO,80977
Concejo,CAQUETA,MILAN,ESNEIDER  PARRA GIL,PARTIDO CONSERVADOR COLOMBIANO,80969
Concejo,CAQUETA,MILAN,GUIDO  CUELLAR LOZADA,PARTIDO CONSERVADOR COLOMBIANO,80968
Concejo,CAQUETA,MILAN,HERMAN SANTIAGO TREJOS CASTILLO,PARTIDO LIBERAL COLOMBIANO,80956
Concejo,CAQUETA,MILAN,HUGO ERNESTO GARCIA DIAZ,PARTIDO LIBERAL COLOMBIANO,80950
Concejo,CAQUETA,MILAN,ISMALEISER  GONZALEZ PARRALES,PARTIDO CAMBIO RADICAL,80987
Concejo,CAQUETA,MILAN,JAAN CARLOS MENDEZ MAMIAN,PARTIDO CAMBIO RADICAL,80986
Concejo,CAQUETA,MILAN,JHON JAIRO SILVA LOSADA,PARTIDO CONSERVADOR COLOMBIANO,80978
Concejo,CAQUETA,MILAN,JOHANNA  ORTIZ UNI,PARTIDO LIBERAL COLOMBIANO,80955
Concejo,CAQUETA,MILAN,JOSE ANGEL RUBIO BRIÑEZ,PARTIDO CAMBIO RADICAL,80980
Concejo,CAQUETA,MILAN,JOSE GALINDO CAMACHO PIRANGA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,80962
Concejo,CAQUETA,MILAN,JUAN ANTONIO DIAZ STERLING,PARTIDO CONSERVADOR COLOMBIANO,80974
Concejo,CAQUETA,MILAN,JUAN FRANCISCO PARRA PERDOMO,PARTIDO ALIANZA VERDE,80994
Concejo,CAQUETA,MILAN,JULIO CESAR BERMUDEZ CUBILLOS,PARTIDO CONSERVADOR COLOMBIANO,80972
Concejo,CAQUETA,MILAN,KAMITH ALEJANDRA RAMOS ROJAS,PARTIDO ALIANZA VERDE,80993
Concejo,CAQUETA,MILAN,LEONIDAS  GUTIERREZ PIZARRO,PARTIDO COLOMBIA JUSTA LIBRES,80967
Concejo,CAQUETA,MILAN,LIBIO  GARCIA JIMENEZ,PARTIDO CAMBIO RADICAL,80985
