corp,dpto,mpio,name,party,wp_no
Concejo,CASANARE,CHAMEZA,CAROLINA  PARRA ACOSTA,PARTIDO CENTRO DEMOCRATICO,82175
Concejo,CASANARE,CHAMEZA,CRISTIAN FERNANDO MORENO MORA,PARTIDO CENTRO DEMOCRATICO,82173
Concejo,CASANARE,CHAMEZA,DARIEL  ALFONSO SUAREZ,PARTIDO LIBERAL COLOMBIANO,82169
Concejo,CASANARE,CHAMEZA,DIANA MONICA CARREÑO SUAREZ,PARTIDO LIBERAL COLOMBIANO,82168
Concejo,CASANARE,CHAMEZA,FREDY ALEXANDER BARRERA RAMIREZ,PARTIDO LIBERAL COLOMBIANO,82171
Concejo,CASANARE,CHAMEZA,GILDARDO  ACOSTA HUERTAS,PARTIDO CENTRO DEMOCRATICO,82172
Concejo,CASANARE,CHAMEZA,JESSICA ALEXANDRA MARTINEZ ALFONSO,PARTIDO CENTRO DEMOCRATICO,82174
Concejo,CASANARE,CHAMEZA,JHEISSON ADRIAN CHAPARRO FONSECA,PARTIDO CENTRO DEMOCRATICO,82177
Concejo,CASANARE,CHAMEZA,JUAN PABLO RUIZ MAHECHA,PARTIDO CENTRO DEMOCRATICO,82176
Concejo,CASANARE,CHAMEZA,LUCINDA  CASTAÑEDA HUERTAS,PARTIDO LIBERAL COLOMBIANO,82165
Concejo,CASANARE,CHAMEZA,LUZ MERCEDES CEPEDA IBAÑEZ,PARTIDO LIBERAL COLOMBIANO,82170
Concejo,CASANARE,CHAMEZA,MARTHA ISMENIA CHACON PIRAGUA,PARTIDO CENTRO DEMOCRATICO,82178
Concejo,CASANARE,CHAMEZA,MISAEL  GUERRERO ESPINOSA,PARTIDO LIBERAL COLOMBIANO,82167
Concejo,CASANARE,CHAMEZA,YAMILE ANDREA PINEDA PINEDA,PARTIDO LIBERAL COLOMBIANO,82166
