corp,dpto,mpio,name,party,wp_no
Concejo,CASANARE,HATO COROZAL,ABELARDO  ALVAREZ CUADRA,PARTIDO LIBERAL COLOMBIANO,82183
Concejo,CASANARE,HATO COROZAL,ALIRIO  VANEGAS PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,82260
Concejo,CASANARE,HATO COROZAL,AMELIA  SILVA PEÑA,PARTIDO CENTRO DEMOCRATICO,82197
Concejo,CASANARE,HATO COROZAL,ANA SILENIA ROMERO DIAZ,PARTIDO LIBERAL COLOMBIANO,82184
Concejo,CASANARE,HATO COROZAL,AVIMAEL  SANTANA LOPEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,82233
Concejo,CASANARE,HATO COROZAL,BELKIS TATIANA LALEMA ALCANTARA,PARTIDO CENTRO DEMOCRATICO,82190
Concejo,CASANARE,HATO COROZAL,BEYER ANGEL DE DIOS GUANAY,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,82241
Concejo,CASANARE,HATO COROZAL,BLANCA NIEVES CASTAÑEDA PEREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,82234
Concejo,CASANARE,HATO COROZAL,CARLOS ARIEL FLOREZ CORREA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,82254
Concejo,CASANARE,HATO COROZAL,CERAPIO  MALPICA GAITAN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,82238
Concejo,CASANARE,HATO COROZAL,DIANA YICED SOTO GUTIERREZ,PARTIDO LIBERAL COLOMBIANO,82189
Concejo,CASANARE,HATO COROZAL,DORA YESMIN CHAPARRO TORRES,PARTIDO ALIANZA VERDE,82231
Concejo,CASANARE,HATO COROZAL,DUMAR JAVIER MORENO ACOSTA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,82261
Concejo,CASANARE,HATO COROZAL,EDILBERTO  GAMBOA BARCHILON,PARTIDO COLOMBIA JUSTA LIBRES,82210
Concejo,CASANARE,HATO COROZAL,EDUAR MAURICIO PAZU CAMARGO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,82258
Concejo,CASANARE,HATO COROZAL,EDWIN LEONIDAS GALLO ABRIL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,82246
Concejo,CASANARE,HATO COROZAL,EDWIN YUSEY VIVAS FLOREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82206
Concejo,CASANARE,HATO COROZAL,ELDUAR EXLID GARCIA RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO,82191
Concejo,CASANARE,HATO COROZAL,ELIECER ANTONIO GARCIA GOMEZ,PARTIDO ALIANZA VERDE,82226
Concejo,CASANARE,HATO COROZAL,ELIO OBED HEREDIA PARADA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82204
Concejo,CASANARE,HATO COROZAL,ELIZABETH  LOPEZ LOPEZ,PARTIDO ALIANZA VERDE,82230
Concejo,CASANARE,HATO COROZAL,FAUNER  CORDOBA CRISTIANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,82249
Concejo,CASANARE,HATO COROZAL,GINA YORAIMA MARIN VARGAS,PARTIDO CAMBIO RADICAL,82219
Concejo,CASANARE,HATO COROZAL,GIOVANY  SANCHEZ FLOREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,82250
Concejo,CASANARE,HATO COROZAL,GLORIA  SANTOS CACERES,PARTIDO CENTRO DEMOCRATICO,82196
Concejo,CASANARE,HATO COROZAL,GRACIELA  ESCOVAR GOYENECHE,PARTIDO COLOMBIA JUSTA LIBRES,82211
Concejo,CASANARE,HATO COROZAL,HUGO FERNANDO MARTINEZ CISNEROS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,82259
Concejo,CASANARE,HATO COROZAL,HUMBERTO  JARA RINCON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82208
Concejo,CASANARE,HATO COROZAL,HUMBERTO  SERRANO GIL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,82248
Concejo,CASANARE,HATO COROZAL,INGRID TATIANA VEGA SIBO,PARTIDO ALIANZA VERDE,82228
Concejo,CASANARE,HATO COROZAL,JAIR  MORALES CARVAJAL,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,82237
Concejo,CASANARE,HATO COROZAL,JAMES ALEJANDRO GUAIS ADAN,PARTIDO CENTRO DEMOCRATICO,82200
Concejo,CASANARE,HATO COROZAL,JESUS DAVID GARCIA SALCEDO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,82235
Concejo,CASANARE,HATO COROZAL,JHON ALEXANDER FERREIRA MESA,PARTIDO ALIANZA VERDE,82227
Concejo,CASANARE,HATO COROZAL,JOSE LUIS BENITES BURUSI,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82203
Concejo,CASANARE,HATO COROZAL,JOSE MARIA FERNANDEZ DELGADO,PARTIDO ALIANZA VERDE,82222
Concejo,CASANARE,HATO COROZAL,JOSUE  BAUTISTA ,PARTIDO CAMBIO RADICAL,82217
Concejo,CASANARE,HATO COROZAL,JOSUE ALDEMAR MORALES PARADA,PARTIDO ALIANZA VERDE,82224
Concejo,CASANARE,HATO COROZAL,JUAN  BACCA GUTIERREZ,PARTIDO CAMBIO RADICAL,82218
Concejo,CASANARE,HATO COROZAL,LIBARDO  DELGADO RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,82185
Concejo,CASANARE,HATO COROZAL,LIGIA MARITZA VARGAS MONTAÑEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82207
