corp,dpto,mpio,name,party,wp_no
Concejo,CASANARE,MANI,AMELIDA  MARTINEZ GROSSO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82474
Concejo,CASANARE,MANI,ANA PATRICIA ANGARITA FIGUEROA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,82517
Concejo,CASANARE,MANI,ANGEL CUSTODIO RINCON SILVA,PARTIDO ADA,82494
Concejo,CASANARE,MANI,ANIBAL  GARCIA GARCIA,PARTIDO LIBERAL COLOMBIANO,82452
Concejo,CASANARE,MANI,ARIEL FERNANDO HIGUERA ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,82519
Concejo,CASANARE,MANI,ARMANDO  GOMEZ FIERRO,PARTIDO CENTRO DEMOCRATICO,82463
Concejo,CASANARE,MANI,BERNA SONIA UNDA HIGUERA,PARTIDO COLOMBIA RENACIENTE,82488
Concejo,CASANARE,MANI,BLANCA YARMET CAHUEÑO CANO,PARTIDO COLOMBIA RENACIENTE,82487
Concejo,CASANARE,MANI,CAMILO  REYES TORRES,PARTIDO COLOMBIA RENACIENTE,82479
Concejo,CASANARE,MANI,CARLOS ALFREDO ROMERO QUINTERO,PARTIDO ADA,82493
Concejo,CASANARE,MANI,CARLOS ANDRES PEREZ NARANJO,PARTIDO ALIANZA VERDE,82504
Concejo,CASANARE,MANI,CARLOS JULIO VALDERRAMA PEREZ,PARTIDO COLOMBIA RENACIENTE,82480
Concejo,CASANARE,MANI,CARLOS MARIO RIAÑO PLAZAS,PARTIDO LIBERAL COLOMBIANO,82446
Concejo,CASANARE,MANI,CAROLINA  FERNANDEZ GAITAN,PARTIDO ALIANZA VERDE,82498
Concejo,CASANARE,MANI,CAROLINA  HERNANDEZ CHAVITA,PARTIDO CENTRO DEMOCRATICO,82460
Concejo,CASANARE,MANI,CEBELINDA  CHIPIAJE RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,82444
Concejo,CASANARE,MANI,CLARA ESPERANZA BARRERA BLANCO,PARTIDO LIBERAL COLOMBIANO,82445
Concejo,CASANARE,MANI,CLAUDIA CARLELIS URBANO GARRIDO,PARTIDO CENTRO DEMOCRATICO,82458
Concejo,CASANARE,MANI,DIANA ISABEL ORTIZ GARZON,PARTIDO ADA,82491
Concejo,CASANARE,MANI,DIANA MARCELA SANTIAGO ROLDAN,PARTIDO COLOMBIA JUSTA LIBRES,82475
Concejo,CASANARE,MANI,DIEGO ARMANDO LANDETA GOMEZ,PARTIDO COLOMBIA RENACIENTE,82484
Concejo,CASANARE,MANI,DIEGO RUBEN GARCIA GONZALEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,82521
Concejo,CASANARE,MANI,DIVER ALFONSO RINCON MOSQUERA,PARTIDO ALIANZA VERDE,82497
Concejo,CASANARE,MANI,DOLCEY JULIAN PEREZ RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,82443
Concejo,CASANARE,MANI,DUAN ARLEY SEGOVIA MORENO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,82514
Concejo,CASANARE,MANI,EDWIN YOAN SOSA NARVAEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,82535
Concejo,CASANARE,MANI,ESLY ANTONIO LESMES ESGUERRA,PARTIDO COLOMBIA JUSTA LIBRES,82476
Concejo,CASANARE,MANI,EVARISTO  SALINAS RINCON,PARTIDO LIBERAL COLOMBIANO,82448
Concejo,CASANARE,MANI,EVELIA  GARCIA RONDON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,82507
Concejo,CASANARE,MANI,FABIAN ADALBER GONZALEZ BATANERO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,82509
Concejo,CASANARE,MANI,FABIAN ALBERTO ROMAN OLAYA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,82533
Concejo,CASANARE,MANI,FAYNORY  CASTRO BUSTAMANTE,PARTIDO CENTRO DEMOCRATICO,82462
Concejo,CASANARE,MANI,FREDY KINLEY AVILA CHAPARRO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,82523
Concejo,CASANARE,MANI,FRUCTUOSO  SANTOS REUTER,PARTIDO CENTRO DEMOCRATICO,82459
Concejo,CASANARE,MANI,GLORIA MARIA VARGAS ROA,PARTIDO LIBERAL COLOMBIANO,82449
Concejo,CASANARE,MANI,GUSTAVO EDUARDO PIEDRAHITA HIDALGO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82464
Concejo,CASANARE,MANI,HEISON  PATIÑO MONTAÑA,PARTIDO ALIANZA VERDE,82503
Concejo,CASANARE,MANI,HOLMER  CAMPUSANO OSORNO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,82506
Concejo,CASANARE,MANI,ISIDRO  TRIVIÑO ACOSTA,PARTIDO COLOMBIA RENACIENTE,82486
