corp,dpto,mpio,name,party,wp_no
Concejo,CASANARE,OROCUE,ABIGAIL  CASTRO CHAURA,PA LANTE OROCUE,82835
Concejo,CASANARE,OROCUE,ADOLFO  CASTRO ALARCON,PARTIDO CAMBIO RADICAL,82789
Concejo,CASANARE,OROCUE,ALEXANDER  CASTRO ORTIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,82812
Concejo,CASANARE,OROCUE,ALEXANDER  GARCEZ GUTIERREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82751
Concejo,CASANARE,OROCUE,ANA RITA AGUDELO RUIZ,PARTIDO CONSERVADOR COLOMBIANO,82781
Concejo,CASANARE,OROCUE,ANDERSON  BARRAGAN REYES,PARTIDO CENTRO DEMOCRATICO,82744
Concejo,CASANARE,OROCUE,ANDERSON  ROJAS GARCIA,PARTIDO ALIANZA VERDE,82800
Concejo,CASANARE,OROCUE,ANGEL ORLANDO TORRES ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,82807
Concejo,CASANARE,OROCUE,ARNULFO  YAVIMAY PONARE,PARTIDO COLOMBIA RENACIENTE,82760
Concejo,CASANARE,OROCUE,AURELIANO  URBANO UNDA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82757
Concejo,CASANARE,OROCUE,AURORA  AGUIRRE HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,82745
Concejo,CASANARE,OROCUE,AURORA  IBAÑEZ LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,82778
Concejo,CASANARE,OROCUE,BAYARDO  BURGOS SOGAMOSO,PARTIDO COLOMBIA RENACIENTE,82763
Concejo,CASANARE,OROCUE,BETUEL  VACCA MORALES,PARTIDO CONSERVADOR COLOMBIANO,82779
Concejo,CASANARE,OROCUE,CARLOS ALBERTO RUIZ PEREZ,PARTIDO CAMBIO RADICAL,82786
Concejo,CASANARE,OROCUE,CARLOS ANDRES CALDERON VARGAS,PARTIDO CAMBIO RADICAL,82792
Concejo,CASANARE,OROCUE,CARLOS ANDRES MALPICA HUMO,PARTIDO CONSERVADOR COLOMBIANO,82782
Concejo,CASANARE,OROCUE,CARLOS ERNESTO GOMEZ LUNA,PARTIDO CENTRO DEMOCRATICO,82746
Concejo,CASANARE,OROCUE,CESAR DIEGO SANCHEZ SANDOVAL,PARTIDO CONSERVADOR COLOMBIANO,82783
Concejo,CASANARE,OROCUE,CLARA VIDALIA MIJARES RODRIGUEZ,PARTIDO ALIANZA VERDE,82797
Concejo,CASANARE,OROCUE,CLAUDIA NORELYS ARCINIEGAS PIRIACHE,PARTIDO COLOMBIA RENACIENTE,82766
Concejo,CASANARE,OROCUE,CLAUDIA PATRICIA MALAVER RUIZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,82803
Concejo,CASANARE,OROCUE,CLOVIS RODOLFO PONARE ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82754
Concejo,CASANARE,OROCUE,CONCEPCION  MARTINEZ BOHORQUEZ,PARTIDO ALIANZA VERDE,82798
Concejo,CASANARE,OROCUE,DANIEL JOSE ROMERO BAREÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,82813
Concejo,CASANARE,OROCUE,DENYS YOLANDA UESCO HERRERA,PARTIDO CENTRO DEMOCRATICO,82747
