corp,dpto,mpio,name,party,wp_no
Concejo,CASANARE,PORE,ALBEIRO  PAREDES DEDIOS,PARTIDO COLOMBIA RENACIENTE,83019
Concejo,CASANARE,PORE,ALBERT ANTONIO CONTRERAS SILVA,PARTIDO ALIANZA VERDE,83032
Concejo,CASANARE,PORE,ALFA MARIA ORTIZ ECHENIQUE,PARTIDO CAMBIO RADICAL,83023
Concejo,CASANARE,PORE,ANA MILENA SANTOS ,PARTIDO LIBERAL COLOMBIANO,82976
Concejo,CASANARE,PORE,ANDERSON ALBEIRO PARRA SANABRIA,PARTIDO COLOMBIA JUSTA LIBRES,83007
Concejo,CASANARE,PORE,ANGIE PAOLA GACHA PORRAS,PARTIDO CAMBIO RADICAL,83024
Concejo,CASANARE,PORE,ANYI ANGELICA LOPEZ SILVA,PARTIDO ALIANZA VERDE,83037
Concejo,CASANARE,PORE,AURELIANO  MECHE COTINCHARA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83043
Concejo,CASANARE,PORE,BEISY TATIANA VELANDIA GUALDRON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82996
Concejo,CASANARE,PORE,BRICEYDA  VARGAS FERNANDEZ,PARTIDO CENTRO DEMOCRATICO,82993
Concejo,CASANARE,PORE,CARMENZA  BETANCOURT CHAPARRO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83041
Concejo,CASANARE,PORE,CLARA INES ANAYA ACEVEDO,PARTIDO ALIANZA VERDE,83029
Concejo,CASANARE,PORE,DIANA ELIZABETH JIMENEZ ROMERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83044
Concejo,CASANARE,PORE,DIANA STELLA SANABRIA PEREZ,PARTIDO ALIANZA VERDE,83034
Concejo,CASANARE,PORE,DOMITILA  ADAME VELASCO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82994
Concejo,CASANARE,PORE,DORALBA  PEREZ PIRAGAUTA,PARTIDO COLOMBIA JUSTA LIBRES,83010
Concejo,CASANARE,PORE,DUMAR JAIR ESCOBAR ATILUA,PARTIDO LIBERAL COLOMBIANO,82979
Concejo,CASANARE,PORE,DWILIAN  GUERRERO LEON,PARTIDO COLOMBIA JUSTA LIBRES,83006
Concejo,CASANARE,PORE,ELSA DIONILA RODRIGUEZ LOSADA,PARTIDO LIBERAL COLOMBIANO,82984
Concejo,CASANARE,PORE,ENNIMAREIDI  CARVAJAL FLORES,PARTIDO COLOMBIA RENACIENTE,83017
Concejo,CASANARE,PORE,EVERT FRANKLIN RINCON VARGAS,PARTIDO COLOMBIA RENACIENTE,83014
Concejo,CASANARE,PORE,FERNEY ALEXANDER ARAGON RAMIREZ,PARTIDO CENTRO DEMOCRATICO,82991
Concejo,CASANARE,PORE,FORTUL OLMEDO MARGFOY MARGFOY,PARTIDO POLO DEMOCRATICO ALTERNATIVO,83051
Concejo,CASANARE,PORE,GILDARDO  CUEVAS GUALDRON,PARTIDO LIBERAL COLOMBIANO,82980
Concejo,CASANARE,PORE,GUSTAVO  MORENO CRUZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82998
Concejo,CASANARE,PORE,HEBER  JIMENEZ GUEVARA,PARTIDO COLOMBIA JUSTA LIBRES,83003
Concejo,CASANARE,PORE,HECTOR FAVIO QUINCHE ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,83055
Concejo,CASANARE,PORE,HENRY  DEDIOS ORTIZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,83047
Concejo,CASANARE,PORE,HENRY ALBERTO LIBERATO ROA,PARTIDO ALIANZA VERDE,83033
Concejo,CASANARE,PORE,JAVIER ENRIQUE SANCHEZ GUANARO,PARTIDO CENTRO DEMOCRATICO,82985
Concejo,CASANARE,PORE,JESUS MARIA BALLENA ARGOTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83040
Concejo,CASANARE,PORE,JOAN DAVID GOMEZ ROMERO,PARTIDO COLOMBIA JUSTA LIBRES,83004
Concejo,CASANARE,PORE,JOHN BREINNER OROS COMAYAN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82995
Concejo,CASANARE,PORE,JORGE ALBERTO ALVAREZ ORTIZ,PARTIDO CAMBIO RADICAL,83020
Concejo,CASANARE,PORE,JOSE EFRAIN ORTEGA SALGADO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82997
Concejo,CASANARE,PORE,JOSE ORDENER TUMAY ORTIZ,PARTIDO LIBERAL COLOMBIANO,82982
Concejo,CASANARE,PORE,JOSE RAUL VARGAS FERNANDEZ,PARTIDO LIBERAL COLOMBIANO,82978
Concejo,CASANARE,PORE,JOSE YESID GARCIA PARADA,PARTIDO CENTRO DEMOCRATICO,82988
Concejo,CASANARE,PORE,JUAN CARLOS TUMAY HEREDIA,PARTIDO COLOMBIA JUSTA LIBRES,83008
Concejo,CASANARE,PORE,KATHERINE  NIÑO OSORIO,PARTIDO LIBERAL COLOMBIANO,82977
Concejo,CASANARE,PORE,LEDY FABIOLA ANZUETA VEGA,PARTIDO CENTRO DEMOCRATICO,82989
Concejo,CASANARE,PORE,LEONELA  MANCERA GONZALEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,82999
Concejo,CASANARE,PORE,LUIS ALEJANDRO CRUZ ACOSTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83045
Concejo,CASANARE,PORE,LUIS ANTONIO CAMELO PARRA,PARTIDO CAMBIO RADICAL,83026
Concejo,CASANARE,PORE,LUIS FERNANDO HURTADO RIVERA,PARTIDO ALIANZA VERDE,83035
Concejo,CASANARE,PORE,LUIS OCTAVIO MONTAÑA CASTRO,PARTIDO COLOMBIA JUSTA LIBRES,83005
Concejo,CASANARE,PORE,LUIS OVIDIO VIVAS MALDONADO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,83001
Concejo,CASANARE,PORE,LUISA  ARCHILA SILVA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,83000
Concejo,CASANARE,PORE,LUZ AMELIA INOCENCIO CACHAY,PARTIDO COLOMBIA JUSTA LIBRES,83009
Concejo,CASANARE,PORE,LUZ MARINA BURGOS SEGUA,PARTIDO COLOMBIA RENACIENTE,83015
Concejo,CASANARE,PORE,LUZ STELA TUMAY COLMENARES,PARTIDO CAMBIO RADICAL,83028
Concejo,CASANARE,PORE,MANUEL VICENTE RODRIGUEZ RODRIGUEZ,PARTIDO COLOMBIA RENACIENTE,83013
Concejo,CASANARE,PORE,MARCOS WBALDO CUEVAS PASTRANA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83039
Concejo,CASANARE,PORE,MARLY EDITH HUMO RINCON,PARTIDO COLOMBIA RENACIENTE,83018
Concejo,CASANARE,PORE,MELBYN  ORTIZ PIDIACHE,PARTIDO ALIANZA VERDE,83036
Concejo,CASANARE,PORE,NERY JOHANY GONZALEZ PARALES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83042
Concejo,CASANARE,PORE,NIRIO  MORALES INOCENCIO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,83053
Concejo,CASANARE,PORE,NUBIA  SIGUA LOMBANA,PARTIDO LIBERAL COLOMBIANO,82983
Concejo,CASANARE,PORE,OSCAR ANDRES RODRIGUEZ ESPINEL,PARTIDO COLOMBIA RENACIENTE,83011
Concejo,CASANARE,PORE,PEDRO ANTONIO SOCHA OLIVOS,PARTIDO COLOMBIA RENACIENTE,83012
Concejo,CASANARE,PORE,PEDRO JULIO GAITAN ,PARTIDO ALIANZA VERDE,83031
Concejo,CASANARE,PORE,RAFAEL ANTONIO BERNAL OROS,PARTIDO LIBERAL COLOMBIANO,82981
Concejo,CASANARE,PORE,RITA LEONOR BERNAL SEGUA,PARTIDO CAMBIO RADICAL,83025
Concejo,CASANARE,PORE,SAMUEL  TARACHE PINTO,PARTIDO CENTRO DEMOCRATICO,82987
Concejo,CASANARE,PORE,SERGIO IVAN DUARTE GUALDRON,PARTIDO CAMBIO RADICAL,83022
Concejo,CASANARE,PORE,SILVESTRE ARMANDO TABACO VIVAS,PARTIDO COLOMBIA RENACIENTE,83016
Concejo,CASANARE,PORE,TONY ALBERTO BOHORQUEZ CUEVAS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,83049
Concejo,CASANARE,PORE,VILMA  CELY ADAN,PARTIDO POLO DEMOCRATICO ALTERNATIVO,83050
Concejo,CASANARE,PORE,WALTER  FUENTES FUENTES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,83002
Concejo,CASANARE,PORE,WILMAR ALFONSO ALBARRACIN LEGUIZAMON,PARTIDO POLO DEMOCRATICO ALTERNATIVO,83054
Concejo,CASANARE,PORE,XIOMARA  ALFONSO PASTRANA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,83048
Concejo,CASANARE,PORE,YECIDT  TOVAR ACEVEDO,PARTIDO CENTRO DEMOCRATICO,82986
Concejo,CASANARE,PORE,YERALDIN  VILLADA MARIN,PARTIDO CENTRO DEMOCRATICO,82990
Concejo,CASANARE,PORE,YESID FELIPE CARACAS SALAMANCA,PARTIDO CAMBIO RADICAL,83027
Concejo,CASANARE,PORE,YEYNER DEYBY CARVAJAL BASTIDAS,PARTIDO CENTRO DEMOCRATICO,82992
Concejo,CASANARE,PORE,YOLMAN RAFAEL LOZADA ,PARTIDO ALIANZA VERDE,83030
Concejo,CASANARE,PORE,YONY OFREY TUAY GODOY,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83046
Concejo,CASANARE,PORE,YORLIBIA  SANABRIA POLANIA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,83052
Concejo,CASANARE,PORE,YOVANY ADIEL CETINA OROS,PARTIDO CAMBIO RADICAL,83021
Concejo,CASANARE,PORE,YULMA  ALVAREZ ORTIZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83038
