corp,dpto,mpio,name,party,wp_no
Concejo,CASANARE,SABANALARGA,BLANCA YASMIN BOHORQUEZ VACA,PARTIDO CAMBIO RADICAL,83115
Concejo,CASANARE,SABANALARGA,CAMILO ANDRES GUTIERREZ NARANJO,PARTIDO LIBERAL COLOMBIANO,83105
Concejo,CASANARE,SABANALARGA,CARLOS JULIO AVILA GAMBA,PARTIDO LIBERAL COLOMBIANO,83103
Concejo,CASANARE,SABANALARGA,CELIO ALBERTO SUAREZ RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,83126
Concejo,CASANARE,SABANALARGA,CESAR AIDER ARENAS CUBIDES,PARTIDO CAMBIO RADICAL,83113
Concejo,CASANARE,SABANALARGA,DANIEL  ULLOA SANCHEZ,PARTIDO CAMBIO RADICAL,83110
Concejo,CASANARE,SABANALARGA,DIANA MARCELA MAYA ESPINOSA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83118
Concejo,CASANARE,SABANALARGA,EDGAR ORLANDO LOPEZ FRANCO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83117
Concejo,CASANARE,SABANALARGA,ELDA YADISMA BOHORQUEZ CUESTA,PARTIDO CAMBIO RADICAL,83116
Concejo,CASANARE,SABANALARGA,HECTOR  PIÑEROS MEDINA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,83122
Concejo,CASANARE,SABANALARGA,HELMER FLORENTINO PERILLA MARTINEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83121
Concejo,CASANARE,SABANALARGA,JAIME FAUNER LARA VEGA,PARTIDO LIBERAL COLOMBIANO,83107
Concejo,CASANARE,SABANALARGA,JOAQUIN ANTONIO FARFAN RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,83109
Concejo,CASANARE,SABANALARGA,JORGE EDUARDO PEREZ GUTIERREZ,PARTIDO CAMBIO RADICAL,83111
Concejo,CASANARE,SABANALARGA,JOSE ANTONIO CASTRO ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,83124
Concejo,CASANARE,SABANALARGA,JOSE JACINTO CENDALES BARRETO,PARTIDO CAMBIO RADICAL,83114
Concejo,CASANARE,SABANALARGA,LAURA MARIA CASTELLANOS SILVA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,83125
Concejo,CASANARE,SABANALARGA,LIDETH MAYERLI MACIAS LEGUIZAMON,PARTIDO LIBERAL COLOMBIANO,83106
Concejo,CASANARE,SABANALARGA,LUZ MARINA GAMBA VILLAMIL,PARTIDO LIBERAL COLOMBIANO,83108
Concejo,CASANARE,SABANALARGA,MARIBEL  CONTRERAS LOPEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,83123
Concejo,CASANARE,SABANALARGA,MARTHA ELIZABETH VARGAS ROMERO,PARTIDO CAMBIO RADICAL,83112
Concejo,CASANARE,SABANALARGA,MARTHA GILMA LESMES MAHECHA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,83127
Concejo,CASANARE,SABANALARGA,OSCAR  CONTRERAS ROJAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83119
Concejo,CASANARE,SABANALARGA,YULIETH ANDREA SOSA ARENAS,PARTIDO LIBERAL COLOMBIANO,83104
Concejo,CASANARE,SABANALARGA,YURI JULIETA HOLGUIN GUTIERREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83120
