corp,dpto,mpio,name,party,wp_no
Concejo,CASANARE,SACAMA,ANDREA YOHANA PAREDES CACERES,PARTIDO LIBERAL COLOMBIANO,83133
Concejo,CASANARE,SACAMA,DARCY MARIANA BOTIA CELY,PARTIDO LIBERAL COLOMBIANO,83131
Concejo,CASANARE,SACAMA,DIANA MARCELA POVEDA ESPITIA,PARTIDO CONSERVADOR COLOMBIANO,83141
Concejo,CASANARE,SACAMA,ELSA MILENA ZAMBRANO PINZON,PARTIDO CONSERVADOR COLOMBIANO,83140
Concejo,CASANARE,SACAMA,FERLEY  HIPOLITO ,PARTIDO CAMBIO RADICAL,83145
Concejo,CASANARE,SACAMA,HECTOR RAMIRO CARRILLO OLARTE,PARTIDO CONSERVADOR COLOMBIANO,83137
Concejo,CASANARE,SACAMA,JAIDY NATALY SALON CACERES,PARTIDO CAMBIO RADICAL,83144
Concejo,CASANARE,SACAMA,LUIS DE JESUS LIZARAZO AVELLANEDA,PARTIDO LIBERAL COLOMBIANO,83134
Concejo,CASANARE,SACAMA,MAIROZENI  JAIMES CACERES,PARTIDO CAMBIO RADICAL,83146
Concejo,CASANARE,SACAMA,MARIA CARMEN ROSA MARTINEZ GAMBOA,PARTIDO ALIANZA VERDE,83151
Concejo,CASANARE,SACAMA,MARIELA  CERINZA ,PARTIDO CAMBIO RADICAL,83147
Concejo,CASANARE,SACAMA,MICHEL STIVEL VASQUEZ OCHOA,PARTIDO ALIANZA VERDE,83149
Concejo,CASANARE,SACAMA,MIGUEL ANTONIO ROJAS CETINA,PARTIDO ALIANZA VERDE,83150
Concejo,CASANARE,SACAMA,MONICA NAHYR LAYTON SALAZAR,PARTIDO CONSERVADOR COLOMBIANO,83138
Concejo,CASANARE,SACAMA,NEIDER FIDEL SALON CAMARGO,PARTIDO CAMBIO RADICAL,83143
Concejo,CASANARE,SACAMA,NIDIA ELIZABETH LOPEZ SOTELO,PARTIDO ALIANZA VERDE,83152
Concejo,CASANARE,SACAMA,OLGA YAZMIN AVELLANEDA ,PARTIDO LIBERAL COLOMBIANO,83130
Concejo,CASANARE,SACAMA,ORLANDO  COTRINA BARON,PARTIDO LIBERAL COLOMBIANO,83129
Concejo,CASANARE,SACAMA,ORLEY  CAMARGO SALON,PARTIDO CAMBIO RADICAL,83142
Concejo,CASANARE,SACAMA,RENE VIDAL RISCANEVO LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,83135
Concejo,CASANARE,SACAMA,RODRIGO  DIAZ RUIZ,PARTIDO LIBERAL COLOMBIANO,83132
Concejo,CASANARE,SACAMA,SEBASTIAN  VALDERRAMA VELANDIA,PARTIDO CONSERVADOR COLOMBIANO,83139
Concejo,CASANARE,SACAMA,WILLIAM FERNEY IZQUIERDO ARENAS,PARTIDO CONSERVADOR COLOMBIANO,83136
Concejo,CASANARE,SACAMA,WILLIAN ALEXANDER PARRA FUENTES,PARTIDO CAMBIO RADICAL,83148
Concejo,CASANARE,SACAMA,YECID ALBERTO MOJICA TOSCANO,PARTIDO LIBERAL COLOMBIANO,83128
