corp,dpto,mpio,name,party,wp_no
Concejo,CASANARE,TAMARA,ADELA  MENDIVELSO DEDIOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,83251
Concejo,CASANARE,TAMARA,AIDA MERCEDES SILVA MARTINEZ,PARTIDO LIBERAL COLOMBIANO,83236
Concejo,CASANARE,TAMARA,ALFONSO  PANQUEVA ABRIL,PARTIDO LIBERAL COLOMBIANO,83231
Concejo,CASANARE,TAMARA,ALIRIO  CACERES JAIMES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,83246
Concejo,CASANARE,TAMARA,CAREN PAOLA LEON BERNAL,PARTIDO ALIANZA VERDE,83267
Concejo,CASANARE,TAMARA,CIBEL  NAME MALDONADO,PARTIDO CENTRO DEMOCRATICO,83238
Concejo,CASANARE,TAMARA,CIRO ANTONIO NIÑO ORDUZ,PARTIDO CAMBIO RADICAL,83255
Concejo,CASANARE,TAMARA,CLAUDIA MARITZA COMAYAN GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,83277
Concejo,CASANARE,TAMARA,CLELIA  PEÑALOZA CORDOBA,PARTIDO CENTRO DEMOCRATICO,83239
Concejo,CASANARE,TAMARA,CLEMENTE  RAMIREZ CUEVAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,83274
Concejo,CASANARE,TAMARA,DELSY HERNANDO SIGUA ORTIZ,PARTIDO ALIANZA VERDE,83266
Concejo,CASANARE,TAMARA,DIDIER JOAQUIN CASTRO OVEJERO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,83248
Concejo,CASANARE,TAMARA,DISNEY  CARREÑO HEREDIA,PARTIDO CAMBIO RADICAL,83257
Concejo,CASANARE,TAMARA,EDER SEGUNDO PEREZ PELAYO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,83273
Concejo,CASANARE,TAMARA,EIDELBER  VELANDIA FORERO,PARTIDO CAMBIO RADICAL,83259
