corp,dpto,mpio,name,party,wp_no
Concejo,CASANARE,VILLANUEVA,ABRAHAM  AREVALO ARROYAVE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83562
Concejo,CASANARE,VILLANUEVA,AGUSTIN  TIQUE GUTIERREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,83510
Concejo,CASANARE,VILLANUEVA,ALEJANDRO  CAMPOS MARTINEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,83583
Concejo,CASANARE,VILLANUEVA,ALEJANDRO  DUEÑAS AGUIRRE,PARTIDO ALIANZA VERDE,83534
Concejo,CASANARE,VILLANUEVA,ALEX EDUARDO LARA CALVO,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,83597
Concejo,CASANARE,VILLANUEVA,ALEXANDER  CALDERON GAITAN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,83509
Concejo,CASANARE,VILLANUEVA,ALEXANDRA  CARRASQUILLA GOMEZ,PARTIDO CAMBIO RADICAL,83526
Concejo,CASANARE,VILLANUEVA,AMIRA  RODRIGUEZ VERGARA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,83505
Concejo,CASANARE,VILLANUEVA,ANDERSON YESID FIGUEREDO DAZA,PARTIDO CAMBIO RADICAL,83518
Concejo,CASANARE,VILLANUEVA,ANDRES FELIPE CASTAÑEDA SALAMANCA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,83561
Concejo,CASANARE,VILLANUEVA,ANDRES FERNANDO GAMEZ VANEGAS,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,83601
Concejo,CASANARE,VILLANUEVA,ANGELA ROSA VALENCIA MORENO,PARTIDO COLOMBIA JUSTA LIBRES,83514
Concejo,CASANARE,VILLANUEVA,ARLEY  RICO DAZA,PARTIDO CAMBIO RADICAL,83524
Concejo,CASANARE,VILLANUEVA,BEILER ANTONIO AMAYA VARGAS,PARTIDO LIBERAL COLOMBIANO,83488
Concejo,CASANARE,VILLANUEVA,BERTA LIBIA ECHEVERRI MESA,PARTIDO LIBERAL COLOMBIANO,83490
Concejo,CASANARE,VILLANUEVA,BLANCA INES ROJAS PEREZ,PARTIDO ALIANZA VERDE,83530
